,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Etiopija,0.055248618784530384,0.04419889502762431,0.0027624309392265192,0.1132596685082873,0.049723756906077346,0.13812154696132597,0.1685082872928177,0.03591160220994475,0.03591160220994475,0.12430939226519337
Europa,0.041666666666666664,0.01488095238095238,0.005952380952380952,0.07142857142857142,0.011904761904761904,0.13095238095238096,0.15476190476190477,0.023809523809523808,0.0,0.08333333333333333
Ukrajina,0.062111801242236024,0.049689440993788817,0.003105590062111801,0.10559006211180125,0.034161490683229816,0.11801242236024845,0.16149068322981366,0.031055900621118012,0.006211180124223602,0.14596273291925466
Sudan,0.05504587155963303,0.039755351681957186,0.04281345565749235,0.14678899082568808,0.027522935779816515,0.14984709480122324,0.1620795107033639,0.06116207951070336,0.012232415902140673,0.12232415902140673
Afganistan,0.08395061728395062,0.03950617283950617,0.044444444444444446,0.14320987654320988,0.019753086419753086,0.16790123456790124,0.15308641975308643,0.05185185185185185,0.009876543209876543,0.10123456790123457
Irak,0.1,0.03902439024390244,0.04878048780487805,0.1902439024390244,0.024390243902439025,0.22439024390243903,0.16585365853658537,0.08536585365853659,0.014634146341463415,0.11219512195121951
Jemen,0.08544303797468354,0.07911392405063292,0.0759493670886076,0.12025316455696203,0.06645569620253164,0.14556962025316456,0.2626582278481013,0.07278481012658228,0.0379746835443038,0.2088607594936709
Rusija,0.11924119241192412,0.05420054200542006,0.02168021680216802,0.11653116531165311,0.04607046070460705,0.17344173441734417,0.15718157181571815,0.04336043360433604,0.013550135501355014,0.12195121951219512
Italija,0.0755813953488372,0.04941860465116279,0.014534883720930232,0.09883720930232558,0.055232558139534885,0.15406976744186046,0.1686046511627907,0.020348837209302327,0.023255813953488372,0.11627906976744186
Somalija,0.06696428571428571,0.03125,0.029017857142857144,0.11607142857142858,0.04017857142857143,0.15848214285714285,0.13392857142857142,0.04241071428571429,0.03125,0.11607142857142858
Iran,0.10952380952380952,0.047619047619047616,0.05476190476190476,0.14285714285714285,0.04047619047619048,0.21904761904761905,0.20952380952380953,0.06666666666666667,0.023809523809523808,0.14761904761904762
Venezuela,0.04294478527607362,0.027607361963190184,0.02147239263803681,0.0950920245398773,0.02147239263803681,0.13803680981595093,0.1411042944785276,0.018404907975460124,0.006134969325153374,0.11349693251533742
Oman,0.06143344709897611,0.051194539249146756,0.040955631399317405,0.10238907849829351,0.05802047781569966,0.15699658703071673,0.22866894197952217,0.040955631399317405,0.034129692832764506,0.17064846416382254
Sirija,0.06638115631691649,0.03640256959314775,0.0021413276231263384,0.08993576017130621,0.029978586723768737,0.14132762312633834,0.16274089935760172,0.032119914346895075,0.027837259100642397,0.11349036402569593
Kina,0.0967741935483871,0.04105571847507331,0.04105571847507331,0.12023460410557185,0.03225806451612903,0.15835777126099707,0.16715542521994134,0.04105571847507331,0.005865102639296188,0.11436950146627566
Indija,0.04883720930232558,0.018604651162790697,0.009302325581395349,0.08837209302325581,0.027906976744186046,0.10232558139534884,0.15813953488372093,0.02558139534883721,0.03488372093023256,0.08837209302325581
Britanija,0.0575,0.04,0.0125,0.115,0.0275,0.1525,0.15,0.03,0.0175,0.12
Francuska,0.07142857142857142,0.054187192118226604,0.007389162561576354,0.08866995073891626,0.04187192118226601,0.15763546798029557,0.17980295566502463,0.03940886699507389,0.022167487684729065,0.13793103448275862
Grčka,0.09498680738786279,0.047493403693931395,0.023746701846965697,0.12928759894459102,0.03430079155672823,0.18997361477572558,0.12928759894459102,0.06068601583113457,0.036939313984168866,0.10026385224274406
Škotska,0.04178272980501393,0.0807799442896936,0.008356545961002786,0.0584958217270195,0.07242339832869081,0.08913649025069638,0.20055710306406685,0.03064066852367688,0.008356545961002786,0.1615598885793872
Paragvaj,0.04684317718940937,0.07535641547861507,0.038696537678207736,0.06517311608961303,0.07535641547861507,0.09775967413441955,0.21384928716904278,0.026476578411405296,0.03054989816700611,0.1425661914460285
Brazil,0.04611650485436893,0.0703883495145631,0.050970873786407765,0.050970873786407765,0.07281553398058252,0.1262135922330097,0.25,0.02912621359223301,0.012135922330097087,0.18932038834951456
Afrika,0.02564102564102564,0.029304029304029304,0.02197802197802198,0.07326007326007326,0.03296703296703297,0.09523809523809523,0.16117216117216118,0.03663003663003663,0.01098901098901099,0.10256410256410256
Jordan,0.07990314769975787,0.08716707021791767,0.03631961259079903,0.1162227602905569,0.06537530266343826,0.162227602905569,0.19854721549636803,0.06295399515738499,0.043583535108958835,0.18159806295399517
Indonezija,0.04142011834319527,0.038461538461538464,0.0029585798816568047,0.09171597633136094,0.047337278106508875,0.10650887573964497,0.15088757396449703,0.029585798816568046,0.01775147928994083,0.14497041420118342
Vijetnam,0.028409090909090908,0.08522727272727272,0.03125,0.06534090909090909,0.06534090909090909,0.07670454545454546,0.2727272727272727,0.022727272727272728,0.008522727272727272,0.20738636363636365
Pakistan,0.09162303664921466,0.08115183246073299,0.03926701570680628,0.112565445026178,0.0549738219895288,0.1806282722513089,0.23298429319371727,0.04450261780104712,0.015706806282722512,0.17277486910994763
Rumunjska,0.06162464985994398,0.022408963585434174,0.011204481792717087,0.0896358543417367,0.04481792717086835,0.12324929971988796,0.16246498599439776,0.036414565826330535,0.022408963585434174,0.12605042016806722
Ekvador,0.052924791086350974,0.04735376044568245,0.05013927576601671,0.12256267409470752,0.03899721448467967,0.15041782729805014,0.21727019498607242,0.04735376044568245,0.013927576601671309,0.16434540389972144
Meksiko,0.03950617283950617,0.08395061728395062,0.04938271604938271,0.05432098765432099,0.07160493827160494,0.11604938271604938,0.23950617283950618,0.03209876543209877,0.03209876543209877,0.17530864197530865
Portoriko,0.03561643835616438,0.07397260273972603,0.0136986301369863,0.057534246575342465,0.06301369863013699,0.057534246575342465,0.18356164383561643,0.0273972602739726,0.0027397260273972603,0.13424657534246576
Kamerun,0.05504587155963303,0.05733944954128441,0.052752293577981654,0.0871559633027523,0.052752293577981654,0.15825688073394495,0.23623853211009174,0.034403669724770644,0.016055045871559634,0.19724770642201836
Kenija,0.06459948320413436,0.06718346253229975,0.012919896640826873,0.082687338501292,0.05426356589147287,0.12661498708010335,0.19121447028423771,0.03875968992248062,0.01808785529715762,0.1731266149870801
Liberija,0.09041095890410959,0.03287671232876712,0.019178082191780823,0.1232876712328767,0.030136986301369864,0.1863013698630137,0.1726027397260274,0.043835616438356165,0.00821917808219178,0.1232876712328767
