,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
stariji,0.09738717339667459,0.10926365795724466,0.09501187648456057,0.1187648456057007,0.08076009501187649,0.2042755344418052,0.18527315914489312,0.1163895486935867,0.057007125890736345,0.14726840855106887
djeca,0.07860262008733625,0.043668122270742356,0.019650655021834062,0.08951965065502183,0.026200873362445413,0.13537117903930132,0.14847161572052403,0.05240174672489083,0.03711790393013101,0.048034934497816595
milenijalci,0.05507246376811594,0.020289855072463767,0.057971014492753624,0.06666666666666667,0.028985507246376812,0.12753623188405797,0.17391304347826086,0.034782608695652174,0.017391304347826087,0.08405797101449275
tinejdžeri,0.07524271844660194,0.10679611650485436,0.05339805825242718,0.10436893203883495,0.10922330097087378,0.17233009708737865,0.23300970873786409,0.08980582524271845,0.03640776699029126,0.1529126213592233
boomeri,0.05555555555555555,0.06481481481481481,0.03148148148148148,0.03888888888888889,0.07592592592592592,0.10925925925925926,0.2611111111111111,0.05,0.03148148148148148,0.13148148148148148
stari ljudi,0.04177545691906005,0.0835509138381201,0.06005221932114883,0.06266318537859007,0.08093994778067885,0.13315926892950392,0.20887728459530025,0.06788511749347259,0.028720626631853787,0.13838120104438642
starice,0.10207939508506617,0.05671077504725898,0.05103969754253308,0.07183364839319471,0.043478260869565216,0.12476370510396975,0.15879017013232513,0.022684310018903593,0.01890359168241966,0.0888468809073724
djeca,0.07860262008733625,0.043668122270742356,0.019650655021834062,0.08951965065502183,0.026200873362445413,0.13537117903930132,0.14847161572052403,0.05240174672489083,0.03711790393013101,0.048034934497816595
tinejdžeri,0.07524271844660194,0.10679611650485436,0.05339805825242718,0.10436893203883495,0.10922330097087378,0.17233009708737865,0.23300970873786409,0.08980582524271845,0.03640776699029126,0.1529126213592233
kćeri,0.09254498714652956,0.05398457583547558,0.061696658097686374,0.10796915167095116,0.04884318766066838,0.16966580976863754,0.1928020565552699,0.05141388174807198,0.030848329048843187,0.11053984575835475
sinovi,0.041916167664670656,0.08083832335329341,0.04790419161676647,0.06287425149700598,0.1317365269461078,0.0748502994011976,0.26646706586826346,0.03592814371257485,0.04491017964071856,0.19461077844311378
