,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsteri,0.08118811881188119,0.039603960396039604,0.04356435643564356,0.09108910891089109,0.07326732673267326,0.1782178217821782,0.22376237623762377,0.07326732673267326,0.027722772277227723,0.10495049504950495
štreberi,0.026168224299065422,0.056074766355140186,0.04299065420560748,0.03364485981308411,0.07476635514018691,0.08224299065420561,0.21869158878504674,0.029906542056074768,0.024299065420560748,0.1102803738317757
seljaci,0.07103825136612021,0.07377049180327869,0.08196721311475409,0.04644808743169399,0.09016393442622951,0.15846994535519127,0.22131147540983606,0.05737704918032787,0.030054644808743168,0.1912568306010929
beskućnici,0.08732394366197183,0.10140845070422536,0.07887323943661972,0.14929577464788732,0.0647887323943662,0.19154929577464788,0.2056338028169014,0.11267605633802817,0.02535211267605634,0.18591549295774648
feministice,0.1262135922330097,0.05501618122977346,0.05339805825242718,0.10355987055016182,0.038834951456310676,0.1941747572815534,0.18608414239482202,0.05016181229773463,0.025889967637540454,0.0825242718446602
bogataši,0.0702576112412178,0.09601873536299765,0.08196721311475409,0.07728337236533958,0.12177985948477751,0.15690866510538642,0.3231850117096019,0.0936768149882904,0.03747072599531616,0.25995316159250587
jadni ljudi,0.07386363636363637,0.06534090909090909,0.07954545454545454,0.05965909090909091,0.11647727272727272,0.15056818181818182,0.22727272727272727,0.09943181818181818,0.036931818181818184,0.16193181818181818
kriminalci,0.11320754716981132,0.054245283018867926,0.09905660377358491,0.16745283018867924,0.05188679245283019,0.24056603773584906,0.18867924528301888,0.12028301886792453,0.02122641509433962,0.12735849056603774
bratstva,0.055201698513800426,0.02335456475583864,0.008492569002123142,0.06157112526539278,0.027600849256900213,0.09978768577494693,0.18471337579617833,0.03397027600849257,0.025477707006369428,0.09341825902335456
dečki iz bratstva,0.05249343832020997,0.06299212598425197,0.047244094488188976,0.05249343832020997,0.07349081364829396,0.10498687664041995,0.26246719160104987,0.04461942257217848,0.01837270341207349,0.1942257217847769
djevojke iz sestrinstva,0.11175337186897881,0.055876685934489405,0.06165703275529865,0.08477842003853564,0.057803468208092484,0.1599229287090559,0.18882466281310212,0.05009633911368015,0.02697495183044316,0.10404624277456648
hipiji,0.05930470347648262,0.032719836400818,0.049079754601226995,0.06952965235173825,0.044989775051124746,0.14519427402862986,0.22903885480572597,0.05112474437627812,0.03680981595092025,0.08384458077709611
štreberi,0.026168224299065422,0.056074766355140186,0.04299065420560748,0.03364485981308411,0.07476635514018691,0.08224299065420561,0.21869158878504674,0.029906542056074768,0.024299065420560748,0.1102803738317757
gotičari,0.05929919137466307,0.05660377358490566,0.03504043126684636,0.03234501347708895,0.07816711590296496,0.12668463611859837,0.29649595687331537,0.0215633423180593,0.029649595687331536,0.16981132075471697
punkeri,0.05518394648829431,0.056856187290969896,0.013377926421404682,0.046822742474916385,0.08695652173913043,0.11538461538461539,0.2525083612040134,0.05016722408026756,0.04013377926421405,0.12207357859531773
Kalifornijci,0.03939393939393939,0.06060606060606061,0.051515151515151514,0.05757575757575758,0.08181818181818182,0.1484848484848485,0.23333333333333334,0.048484848484848485,0.021212121212121213,0.16666666666666666
slavne osobe,0.07678244972577697,0.056672760511883,0.05301645338208409,0.054844606946983544,0.06398537477148081,0.113345521023766,0.19378427787934185,0.02376599634369287,0.027422303473491772,0.11517367458866545
crvenokosi,0.03612167300380228,0.051330798479087454,0.04752851711026616,0.057034220532319393,0.06463878326996197,0.07984790874524715,0.20722433460076045,0.026615969581749048,0.03231939163498099,0.10836501901140684
