,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Ethiopia,0.06918238993710692,0.04716981132075472,0.04874213836477988,0.13050314465408805,0.050314465408805034,0.16037735849056603,0.15723270440251572,0.0770440251572327,0.018867924528301886,0.10220125786163523
Europe,0.06809078771695594,0.025367156208277702,0.05874499332443257,0.10947930574098798,0.030707610146862484,0.20293724966622162,0.16688918558077437,0.07076101468624833,0.022696929238985315,0.09879839786381843
Ukraine,0.10798816568047337,0.03106508875739645,0.07544378698224852,0.16420118343195267,0.04142011834319527,0.23964497041420119,0.14053254437869822,0.08727810650887574,0.038461538461538464,0.09171597633136094
Sudan,0.12653061224489795,0.050340136054421766,0.08979591836734693,0.20136054421768707,0.05442176870748299,0.2693877551020408,0.1619047619047619,0.12244897959183673,0.03537414965986395,0.10884353741496598
Afghanistan,0.13654096228868662,0.033810143042912875,0.0754226267880364,0.2340702210663199,0.04681404421326398,0.2847854356306892,0.16384915474642392,0.12613784135240572,0.04811443433029909,0.10663198959687907
Iraq,0.18571428571428572,0.04047619047619048,0.09047619047619047,0.27380952380952384,0.03571428571428571,0.3416666666666667,0.1380952380952381,0.14523809523809525,0.0630952380952381,0.08928571428571429
Yemen,0.17716535433070865,0.03674540682414698,0.0984251968503937,0.27296587926509186,0.03937007874015748,0.34776902887139105,0.12992125984251968,0.16010498687664043,0.05905511811023622,0.07611548556430446
Russia,0.09811827956989247,0.04838709677419355,0.06451612903225806,0.14381720430107528,0.038978494623655914,0.2271505376344086,0.1814516129032258,0.07123655913978495,0.04032258064516129,0.11155913978494623
Italy,0.05229793977812995,0.04754358161648178,0.0491283676703645,0.08082408874801902,0.07131537242472266,0.14421553090332806,0.15847860538827258,0.0491283676703645,0.01901743264659271,0.09350237717908082
Somalia,0.12482269503546099,0.029787234042553193,0.075177304964539,0.19290780141843972,0.05815602836879433,0.2581560283687943,0.16028368794326242,0.12198581560283688,0.03404255319148936,0.09645390070921986
Iran,0.16370106761565836,0.03558718861209965,0.08778173190984578,0.23368920521945433,0.04151838671411625,0.3274021352313167,0.17319098457888493,0.11269276393831554,0.0498220640569395,0.10794780545670225
Venezuela,0.09623430962343096,0.03905160390516039,0.07670850767085077,0.13807531380753138,0.05578800557880056,0.23709902370990238,0.19525801952580196,0.09483960948396095,0.030683403068340307,0.10460251046025104
Oman,0.13072625698324022,0.05698324022346369,0.0893854748603352,0.2100558659217877,0.06927374301675977,0.24692737430167597,0.2122905027932961,0.08826815642458101,0.049162011173184354,0.15307262569832403
Syria,0.21671018276762402,0.02741514360313316,0.11357702349869452,0.31592689295039167,0.028720626631853787,0.3877284595300261,0.11618798955613577,0.1671018276762402,0.07049608355091384,0.06788511749347259
China,0.06540880503144654,0.061635220125786164,0.05157232704402516,0.10440251572327044,0.06666666666666667,0.18742138364779873,0.23647798742138365,0.06792452830188679,0.031446540880503145,0.12830188679245283
India,0.04424778761061947,0.05056890012642225,0.04424778761061947,0.0922882427307206,0.05562579013906448,0.15170670037926676,0.2111251580278129,0.05562579013906448,0.018963337547408345,0.1213653603034134
Britain,0.0670886075949367,0.04810126582278481,0.05063291139240506,0.1291139240506329,0.05822784810126582,0.1911392405063291,0.19367088607594937,0.07088607594936709,0.02911392405063291,0.1291139240506329
France,0.07374631268436578,0.05604719764011799,0.05457227138643068,0.09734513274336283,0.06342182890855458,0.17256637168141592,0.1887905604719764,0.04424778761061947,0.02064896755162242,0.11651917404129794
Greece,0.06647398843930635,0.03757225433526012,0.06647398843930635,0.12138728323699421,0.059248554913294796,0.16473988439306358,0.157514450867052,0.07225433526011561,0.02167630057803468,0.08670520231213873
Scotland,0.03412073490813648,0.049868766404199474,0.03412073490813648,0.07611548556430446,0.06167979002624672,0.09973753280839895,0.17585301837270342,0.045931758530183726,0.015748031496062992,0.08661417322834646
Paraguay,0.05799151343705799,0.05233380480905234,0.06223479490806223,0.0876944837340877,0.07779349363507779,0.16407355021216408,0.2079207920792079,0.05374823196605375,0.026874115983026876,0.13295615275813297
Brazil,0.08442503639010189,0.053857350800582245,0.06404657933042213,0.10189228529839883,0.08151382823871907,0.1703056768558952,0.1965065502183406,0.05822416302765648,0.03056768558951965,0.11790393013100436
Africa,0.06353591160220995,0.04143646408839779,0.04696132596685083,0.106353591160221,0.052486187845303865,0.17955801104972377,0.18370165745856354,0.07458563535911603,0.019337016574585635,0.11049723756906077
Jordan,0.1162227602905569,0.07627118644067797,0.06174334140435835,0.16343825665859565,0.08837772397094432,0.19491525423728814,0.2506053268765133,0.07506053268765134,0.05084745762711865,0.14527845036319612
Indonesia,0.04950495049504951,0.041254125412541254,0.07260726072607261,0.10726072607260725,0.0462046204620462,0.19471947194719472,0.15346534653465346,0.06435643564356436,0.026402640264026403,0.08745874587458746
