,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsters,0.14205816554809844,0.0447427293064877,0.09731543624161074,0.14988814317673377,0.052572706935123045,0.2505592841163311,0.18791946308724833,0.09284116331096197,0.039149888143176735,0.06823266219239374
nerds,0.19325842696629214,0.051685393258426963,0.1662921348314607,0.250561797752809,0.0550561797752809,0.3898876404494382,0.14157303370786517,0.1449438202247191,0.05955056179775281,0.08426966292134831
rednecks,0.09854771784232365,0.04045643153526971,0.08817427385892117,0.14107883817427386,0.05705394190871369,0.1908713692946058,0.14730290456431536,0.08298755186721991,0.035269709543568464,0.08091286307053942
homeless people,0.17995169082125603,0.05434782608695652,0.12560386473429952,0.2826086956521739,0.06280193236714976,0.39371980676328505,0.17149758454106281,0.2572463768115942,0.043478260869565216,0.09782608695652174
feminists,0.22011834319526627,0.04142011834319527,0.1455621301775148,0.24378698224852072,0.05207100591715976,0.38461538461538464,0.20473372781065088,0.15621301775147928,0.05325443786982249,0.11715976331360947
rich people,0.11695906432748537,0.09239766081871345,0.10058479532163743,0.1649122807017544,0.10760233918128655,0.3298245614035088,0.2327485380116959,0.16374269005847952,0.04678362573099415,0.14502923976608187
poor people,0.14684466019417475,0.07645631067961164,0.12257281553398058,0.20752427184466019,0.09344660194174757,0.3422330097087379,0.1966019417475728,0.21844660194174756,0.05339805825242718,0.12014563106796117
criminals,0.25,0.059322033898305086,0.15466101694915255,0.3358050847457627,0.04449152542372881,0.4533898305084746,0.15148305084745764,0.1832627118644068,0.07097457627118645,0.12182203389830508
frats,0.04666666666666667,0.03111111111111111,0.05555555555555555,0.06444444444444444,0.03333333333333333,0.13555555555555557,0.12,0.04666666666666667,0.028888888888888888,0.09777777777777778
frat boys,0.09724770642201835,0.05504587155963303,0.07522935779816514,0.12293577981651377,0.07155963302752294,0.1926605504587156,0.1577981651376147,0.08073394495412844,0.04036697247706422,0.14495412844036698
sorority girls,0.1652593486127865,0.07478890229191798,0.1338962605548854,0.21592279855247287,0.10012062726176116,0.3112183353437877,0.18697225572979492,0.13872135102533173,0.05790108564535585,0.11821471652593486
hippies,0.21754385964912282,0.05497076023391813,0.18128654970760233,0.2783625730994152,0.06432748538011696,0.38362573099415204,0.1695906432748538,0.18596491228070175,0.06783625730994151,0.09239766081871345
geeks,0.16116248348745046,0.07397622192866579,0.13210039630118892,0.18229854689564068,0.09379128137384413,0.3368560105680317,0.17173051519154559,0.11492734478203434,0.05416116248348745,0.08586525759577279
goths,0.18149882903981265,0.05152224824355972,0.17681498829039813,0.22482435597189696,0.05152224824355972,0.35714285714285715,0.14168618266978922,0.12997658079625293,0.059718969555035126,0.09836065573770492
punks,0.2543103448275862,0.03987068965517242,0.15732758620689655,0.28771551724137934,0.04956896551724138,0.42887931034482757,0.16810344827586207,0.1810344827586207,0.07327586206896551,0.09698275862068965
Californians,0.10340909090909091,0.05227272727272727,0.10113636363636364,0.14886363636363636,0.08181818181818182,0.22045454545454546,0.19886363636363635,0.1159090909090909,0.03977272727272727,0.09545454545454546
celebrities,0.08646188850967008,0.09215017064846416,0.07508532423208192,0.09783845278725825,0.12514220705346984,0.17861205915813425,0.29806598407281,0.05233219567690557,0.04323094425483504,0.13310580204778158
redheads,0.18823529411764706,0.044919786096256686,0.14331550802139037,0.23101604278074866,0.047058823529411764,0.30802139037433157,0.1497326203208556,0.12085561497326203,0.06844919786096257,0.09304812834224599
