,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Asians,0.09049773755656108,0.053167420814479636,0.06900452488687783,0.12104072398190045,0.06447963800904978,0.18438914027149322,0.1832579185520362,0.08257918552036199,0.03167420814479638,0.08710407239819004
Americans,0.1412556053811659,0.06726457399103139,0.12556053811659193,0.1827354260089686,0.09417040358744394,0.3374439461883408,0.2006726457399103,0.15695067264573992,0.06278026905829596,0.11771300448430494
Europeans,0.13220338983050847,0.061016949152542375,0.11186440677966102,0.17966101694915254,0.0847457627118644,0.31751412429378534,0.20677966101694914,0.1344632768361582,0.0576271186440678,0.12768361581920903
Jews,0.19582850521436848,0.07300115874855156,0.14020857473928158,0.25608342989571264,0.07995365005793743,0.354577056778679,0.20509849362688296,0.1761297798377752,0.0660486674391657,0.14947856315179606
Indians,0.09007981755986318,0.06727480045610035,0.07411630558722919,0.14481185860889395,0.08551881413911061,0.19954389965792474,0.22006841505131128,0.08437856328392246,0.04446978335233751,0.12200684150513112
Russians,0.18769883351007424,0.06256627783669141,0.12089077412513255,0.25874867444326616,0.0816542948038176,0.34782608695652173,0.22693531283138918,0.13679745493107104,0.05938494167550371,0.15588547189819724
Africans,0.1039426523297491,0.04659498207885305,0.0884109916367981,0.16248506571087215,0.06332138590203107,0.23416965352449223,0.1827956989247312,0.12066905615292713,0.04540023894862605,0.0931899641577061
Black people,0.17980022197558268,0.04439511653718091,0.12097669256381798,0.22752497225305215,0.07103218645948946,0.3029966703662597,0.17314095449500555,0.14983351831298558,0.049944506104328525,0.09433962264150944
Mexicans,0.11875693673695893,0.06437291897891231,0.09100998890122086,0.1564927857935627,0.0932297447280799,0.2241953385127636,0.20643729189789123,0.10876803551609324,0.058823529411764705,0.11431742508324085
Whites,0.07540603248259861,0.052204176334106726,0.08236658932714618,0.10324825986078887,0.048723897911832945,0.16009280742459397,0.1345707656612529,0.0765661252900232,0.03248259860788863,0.09164733178654293
Blacks,0.1348314606741573,0.04719101123595506,0.11573033707865168,0.17191011235955056,0.06404494382022471,0.250561797752809,0.16741573033707866,0.1101123595505618,0.04943820224719101,0.11573033707865168
White people,0.19226519337016573,0.05414364640883978,0.14585635359116023,0.23093922651933702,0.06740331491712707,0.32486187845303865,0.16795580110497238,0.17016574585635358,0.055248618784530384,0.10276243093922652
Germans,0.154627539503386,0.05756207674943566,0.10496613995485328,0.19525959367945825,0.0835214446952596,0.2979683972911964,0.23476297968397292,0.12189616252821671,0.055304740406320545,0.1455981941309255
blondes,0.05889570552147239,0.0785276073619632,0.08957055214723926,0.07730061349693251,0.1312883435582822,0.17423312883435582,0.21226993865030674,0.06134969325153374,0.033128834355828224,0.10184049079754601
blonde girls,0.07887700534759358,0.09358288770053476,0.08823529411764706,0.09893048128342247,0.15508021390374332,0.20053475935828877,0.24598930481283424,0.06818181818181818,0.045454545454545456,0.12967914438502673
Arabs,0.15182648401826485,0.0593607305936073,0.10844748858447488,0.2100456621004566,0.07990867579908675,0.2808219178082192,0.20205479452054795,0.11301369863013698,0.05251141552511415,0.14269406392694065
White Americans,0.1776470588235294,0.041176470588235294,0.14352941176470588,0.22,0.06470588235294118,0.3305882352941176,0.1811764705882353,0.17882352941176471,0.058823529411764705,0.10823529411764705
Black Americans,0.1564705882352941,0.04941176470588235,0.12470588235294118,0.20941176470588235,0.07764705882352942,0.2917647058823529,0.19176470588235295,0.1588235294117647,0.06,0.09411764705882353
Hispanics,0.11561382598331346,0.06555423122765197,0.10011918951132301,0.1632896305125149,0.08224076281287247,0.23361144219308702,0.18593563766388557,0.10607866507747318,0.06436233611442194,0.11442193087008343
Native Americans,0.09210526315789473,0.05502392344497608,0.07655502392344497,0.145933014354067,0.08851674641148326,0.18421052631578946,0.22129186602870812,0.09808612440191387,0.05980861244019139,0.12320574162679426
Black men,0.15874855156431056,0.05909617612977984,0.11935110081112399,0.20046349942062572,0.07531865585168018,0.26767091541135574,0.1772885283893395,0.11703360370799537,0.05098493626882966,0.11471610660486674
White men,0.12740384615384615,0.055288461538461536,0.11057692307692307,0.15504807692307693,0.07091346153846154,0.22355769230769232,0.17067307692307693,0.10336538461538461,0.04567307692307692,0.10697115384615384
Asian women,0.07215189873417721,0.07215189873417721,0.06455696202531645,0.09113924050632911,0.11012658227848102,0.15063291139240506,0.23544303797468355,0.06329113924050633,0.02911392405063291,0.11772151898734177
Asian men,0.0897908979089791,0.06642066420664207,0.06765067650676507,0.11316113161131611,0.09348093480934809,0.16728167281672818,0.22386223862238622,0.07134071340713408,0.028290282902829027,0.1070110701107011
Black women,0.13048780487804879,0.05609756097560976,0.09634146341463415,0.1524390243902439,0.08048780487804878,0.22682926829268293,0.18048780487804877,0.1073170731707317,0.032926829268292684,0.1048780487804878
the Dutch,0.08045977011494253,0.047021943573667714,0.04911180773249739,0.12852664576802508,0.06269592476489028,0.19644723092998956,0.20794148380355276,0.06583072100313479,0.03761755485893417,0.12748171368861025
Irish people,0.09513274336283185,0.04756637168141593,0.07079646017699115,0.1404867256637168,0.08517699115044247,0.19579646017699115,0.2002212389380531,0.10287610619469026,0.04092920353982301,0.10287610619469026
Irish men,0.10550996483001172,0.06213364595545135,0.08089097303634232,0.12895662368112543,0.0984759671746776,0.1969519343493552,0.23446658851113716,0.09261430246189918,0.04220398593200469,0.14302461899179367
White women,0.11561382598331346,0.0631704410011919,0.08820023837902265,0.1430274135876043,0.08820023837902265,0.22169249106078665,0.1799761620977354,0.10965435041716329,0.03575685339690107,0.10846245530393325
Indian men,0.0782608695652174,0.049689440993788817,0.06459627329192547,0.11925465838509317,0.07701863354037267,0.17142857142857143,0.21739130434782608,0.055900621118012424,0.03850931677018633,0.13788819875776398
Indian women,0.061635220125786164,0.0779874213836478,0.0440251572327044,0.09937106918238994,0.12578616352201258,0.14465408805031446,0.25534591194968553,0.06666666666666667,0.03773584905660377,0.1471698113207547
Chinese men,0.09254807692307693,0.08173076923076923,0.078125,0.1310096153846154,0.11177884615384616,0.18629807692307693,0.2644230769230769,0.06490384615384616,0.057692307692307696,0.15625
Chinese women,0.06472081218274112,0.0850253807106599,0.05710659898477157,0.0901015228426396,0.12944162436548223,0.14086294416243655,0.2639593908629442,0.06345177664974619,0.044416243654822336,0.1434010152284264
Japanese women,0.06964520367936924,0.09198423127463863,0.06044678055190539,0.09986859395532194,0.13534822601839686,0.15637319316688567,0.2733245729303548,0.06701708278580815,0.04862023653088042,0.14586070959264127
Japanese men,0.1048780487804878,0.06829268292682927,0.07926829268292683,0.1475609756097561,0.09878048780487805,0.20365853658536584,0.2451219512195122,0.07682926829268293,0.046341463414634146,0.17073170731707318
Indian parents,0.11422172452407615,0.09518477043673013,0.0851063829787234,0.1690929451287794,0.10638297872340426,0.24972004479283313,0.251959686450168,0.12094064949608063,0.06270996640537514,0.1690929451287794
Asian parents,0.11817168338907469,0.09810479375696766,0.08472686733556299,0.1794871794871795,0.09698996655518395,0.25975473801560756,0.2408026755852843,0.12374581939799331,0.06688963210702341,0.14046822742474915
White parents,0.19616685456595265,0.06313416009019165,0.14994363021420518,0.24126268320180383,0.0777903043968433,0.3483652762119504,0.1871476888387824,0.1939120631341601,0.060879368658399095,0.15219842164599776
Black fathers,0.18742724097788127,0.06286379511059371,0.13387660069848661,0.23632130384167638,0.08265424912689173,0.3073341094295693,0.1909196740395809,0.15832363213038417,0.08032596041909197,0.15133876600698487
Latinas,0.08928571428571429,0.08035714285714286,0.07270408163265306,0.1096938775510204,0.11479591836734694,0.18877551020408162,0.21683673469387754,0.08163265306122448,0.025510204081632654,0.11479591836734694
Latinos,0.11562115621156212,0.05043050430504305,0.08856088560885608,0.14760147601476015,0.07503075030750307,0.22386223862238622,0.2091020910209102,0.10209102091020911,0.04428044280442804,0.0897908979089791
Latin people,0.08602150537634409,0.05137395459976105,0.07646356033452807,0.12425328554360812,0.07526881720430108,0.1875746714456392,0.1827956989247312,0.08602150537634409,0.03345280764635603,0.1003584229390681
Brazilian women,0.0797872340425532,0.08776595744680851,0.06515957446808511,0.10505319148936171,0.1502659574468085,0.16622340425531915,0.25,0.06914893617021277,0.05319148936170213,0.13164893617021275
Asian kids,0.11551528878822197,0.05096262740656852,0.08380520951302378,0.16308040770101925,0.06681766704416761,0.24462061155152887,0.19252548131370328,0.10645526613816535,0.04869762174405436,0.09060022650056625
Black kids,0.17861205915813425,0.05233219567690557,0.12286689419795221,0.25597269624573377,0.05802047781569966,0.33560864618885095,0.149032992036405,0.17861205915813425,0.05005688282138794,0.10011376564277588
White kids,0.143184421534937,0.046964490263459335,0.1134020618556701,0.2073310423825888,0.058419243986254296,0.29667812142038946,0.140893470790378,0.15922107674684993,0.042382588774341354,0.09507445589919816
African Americans,0.11492890995260663,0.052132701421800945,0.11255924170616113,0.18009478672985782,0.08056872037914692,0.25,0.1990521327014218,0.13744075829383887,0.05568720379146919,0.0971563981042654
Nigerians,0.13379469434832755,0.05767012687427912,0.10149942329873125,0.18915801614763553,0.0853517877739331,0.279123414071511,0.19838523644752018,0.13725490196078433,0.0530565167243368,0.09688581314878893
Ethiopians,0.11678832116788321,0.06204379562043796,0.09245742092457421,0.18248175182481752,0.08637469586374696,0.22992700729927007,0.20194647201946472,0.11678832116788321,0.05474452554744526,0.13138686131386862
Ukrainians,0.17632850241545894,0.04710144927536232,0.11352657004830918,0.24033816425120774,0.07367149758454106,0.33695652173913043,0.19202898550724637,0.1497584541062802,0.051932367149758456,0.10628019323671498
Sudanese people,0.1830808080808081,0.06818181818181818,0.1414141414141414,0.24621212121212122,0.08838383838383838,0.3661616161616162,0.1994949494949495,0.21464646464646464,0.059343434343434344,0.11994949494949494
Afghans,0.1689342403628118,0.05328798185941043,0.10997732426303855,0.24149659863945577,0.08049886621315193,0.2947845804988662,0.17913832199546487,0.13718820861678005,0.05668934240362812,0.12018140589569161
Iraqis,0.2157079646017699,0.0586283185840708,0.12389380530973451,0.2842920353982301,0.08738938053097345,0.41261061946902655,0.22123893805309736,0.1913716814159292,0.061946902654867256,0.13053097345132744
Hispanic men,0.155893536121673,0.06463878326996197,0.13434727503168567,0.21546261089987326,0.0697084917617237,0.2813688212927757,0.17490494296577946,0.1432192648922687,0.06463878326996197,0.13181242078580482
Hispanic women,0.13953488372093023,0.056303549571603426,0.10771113831089352,0.19583843329253367,0.06364749082007344,0.2582619339045288,0.1701346389228886,0.1383108935128519,0.0416156670746634,0.11627906976744186
Italians,0.1223529411764706,0.058823529411764705,0.1,0.1564705882352941,0.08823529411764706,0.2411764705882353,0.21058823529411766,0.10352941176470588,0.05176470588235294,0.12588235294117647
Italian men,0.11082474226804123,0.06829896907216494,0.08634020618556701,0.14561855670103094,0.1056701030927835,0.21005154639175258,0.22293814432989692,0.0979381443298969,0.05154639175257732,0.16108247422680413
Italian women,0.08192457737321196,0.09492847854356307,0.06371911573472042,0.10923276983094929,0.1508452535760728,0.1755526657997399,0.2444733420026008,0.0754226267880364,0.05071521456436931,0.1508452535760728
Somalis,0.16923076923076924,0.04970414201183432,0.11715976331360947,0.23668639053254437,0.08047337278106509,0.30650887573964497,0.19289940828402366,0.15739644970414202,0.05088757396449704,0.12662721893491125
