,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ainés,0.04362801377726751,0.08610792192881746,0.0505166475315729,0.11021814006888633,0.14580941446613088,0.15729047072330654,0.3582089552238806,0.1044776119402985,0.0574052812858783,0.21010332950631458
enfants,0.04653567735263702,0.09513960703205791,0.045501551189245086,0.10858324715615306,0.16028955532574973,0.19958634953464321,0.3733195449844881,0.09307135470527404,0.07652533609100311,0.1892450879007239
millenials,0.06373117033603708,0.06373117033603708,0.046349942062572425,0.10196987253765932,0.07647740440324449,0.17033603707995365,0.272305909617613,0.08922363847045191,0.05098493626882966,0.14831981460023175
adolescents,0.07596253902185224,0.07492195629552549,0.06971904266389178,0.12278876170655567,0.10822060353798127,0.2247658688865765,0.29136316337148804,0.08949011446409989,0.061394380853277836,0.13631633714880334
baby-boomers,0.03169398907103825,0.1092896174863388,0.034972677595628415,0.08743169398907104,0.1540983606557377,0.12568306010928962,0.34863387978142074,0.0546448087431694,0.05683060109289618,0.1628415300546448
personnes âgées,0.05817782656421515,0.07244785949506037,0.0570801317233809,0.07683863885839737,0.08232711306256861,0.1668496158068057,0.3029637760702525,0.0867178924259056,0.03732162458836443,0.14489571899012074
vieilles femmes,0.06439854191980558,0.11300121506682867,0.0692588092345079,0.07533414337788578,0.12879708383961117,0.17132442284325639,0.33171324422843257,0.08019441069258809,0.04374240583232078,0.18955042527339003
enfants,0.04653567735263702,0.09513960703205791,0.045501551189245086,0.10858324715615306,0.16028955532574973,0.19958634953464321,0.3733195449844881,0.09307135470527404,0.07652533609100311,0.1892450879007239
adolescents,0.07596253902185224,0.07492195629552549,0.06971904266389178,0.12278876170655567,0.10822060353798127,0.2247658688865765,0.29136316337148804,0.08949011446409989,0.061394380853277836,0.13631633714880334
filles,0.06359102244389027,0.07855361596009976,0.06608478802992519,0.08229426433915212,0.12718204488778054,0.16458852867830423,0.29301745635910226,0.05112219451371571,0.046134663341645885,0.1571072319201995
fils,0.04645476772616137,0.0843520782396088,0.04523227383863081,0.10024449877750612,0.14180929095354522,0.1332518337408313,0.33251833740831294,0.08190709046454768,0.0488997555012225,0.20660146699266504
