,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
L'Ethiopie,0.07931034482758621,0.04252873563218391,0.06091954022988506,0.10804597701149425,0.034482758620689655,0.18850574712643678,0.15862068965517243,0.09540229885057472,0.054022988505747126,0.10919540229885058
L'Europe,0.052572706935123045,0.03691275167785235,0.03243847874720358,0.07046979865771812,0.02348993288590604,0.14205816554809844,0.15100671140939598,0.05592841163310962,0.029082774049217,0.09060402684563758
L'Ukraine,0.08360128617363344,0.055734190782422297,0.04823151125401929,0.10610932475884244,0.04608788853161844,0.17256162915326903,0.1939978563772776,0.07609860664523044,0.04930332261521972,0.1264737406216506
Le Soudan,0.09949238578680203,0.06294416243654823,0.04568527918781726,0.10152284263959391,0.05786802030456853,0.1634517766497462,0.20304568527918782,0.06294416243654823,0.05685279187817259,0.15736040609137056
L'Afghanistan,0.11358811040339703,0.044585987261146494,0.06900212314225053,0.15074309978768577,0.041401273885350316,0.23036093418259024,0.18365180467091294,0.10934182590233546,0.06475583864118896,0.11358811040339703
L'Irak,0.1109979633401222,0.04378818737270876,0.0539714867617108,0.15784114052953158,0.04786150712830957,0.2158859470468432,0.19042769857433808,0.09266802443991853,0.06415478615071284,0.13136456211812628
Le Yémen,0.10269709543568464,0.05705394190871369,0.05186721991701245,0.11514522821576763,0.06016597510373444,0.18775933609958506,0.2074688796680498,0.08195020746887967,0.06016597510373444,0.1690871369294606
La Russie,0.10204081632653061,0.06428571428571428,0.05510204081632653,0.10918367346938776,0.05714285714285714,0.2030612244897959,0.20816326530612245,0.07755102040816327,0.06326530612244897,0.1489795918367347
L'Italie,0.07725321888412018,0.05472103004291846,0.048283261802575105,0.07832618025751073,0.05042918454935622,0.14377682403433475,0.2145922746781116,0.05150214592274678,0.043991416309012876,0.11373390557939914
La Somalie,0.09061488673139159,0.034519956850053934,0.05609492988133765,0.11758360302049622,0.02912621359223301,0.20280474649406688,0.1650485436893204,0.09600862998921252,0.04962243797195254,0.0970873786407767
L'Iran,0.10857763300760044,0.05646036916395222,0.06840390879478828,0.1748099891422367,0.0499457111834962,0.23344191096634093,0.19543973941368079,0.10314875135722042,0.06623235613463627,0.14115092290988057
Le Venezuela,0.09503239740820735,0.047516198704103674,0.0550755939524838,0.09719222462203024,0.05075593952483801,0.17278617710583152,0.18142548596112312,0.0755939524838013,0.056155507559395246,0.12526997840172785
L'Oman,0.10488676996424315,0.05363528009535161,0.07270560190703218,0.15494636471990464,0.05601907032181168,0.20500595947556616,0.21573301549463647,0.10011918951132301,0.06555423122765197,0.15494636471990464
La Syrie,0.11301715438950555,0.04339051463168517,0.05146316851664985,0.14833501513622604,0.024217961654894045,0.23814328960645811,0.1584258324924319,0.0958627648839556,0.06559031281533804,0.1029263370332997
La Chine,0.08737864077669903,0.043149946062567425,0.039913700107874865,0.09061488673139159,0.03559870550161812,0.16073354908306364,0.1725997842502697,0.04746494066882417,0.043149946062567425,0.11326860841423948
L'Inde,0.10567296996662959,0.05116796440489433,0.06451612903225806,0.13459399332591768,0.04671857619577308,0.19132369299221358,0.18242491657397109,0.0867630700778643,0.05672969966629588,0.1167964404894327
La Grande-Bretagne,0.03714565004887586,0.04398826979472141,0.021505376344086023,0.05083088954056696,0.04007820136852395,0.09970674486803519,0.19257086999022482,0.03225806451612903,0.026392961876832845,0.10752688172043011
La France,0.0854978354978355,0.04004329004329004,0.04004329004329004,0.07900432900432901,0.04220779220779221,0.1699134199134199,0.17207792207792208,0.06601731601731602,0.03571428571428571,0.1406926406926407
La Grèce,0.061068702290076333,0.04907306434023991,0.03707742639040349,0.0916030534351145,0.026172300981461286,0.1559432933478735,0.17993456924754633,0.05779716466739367,0.03489640130861505,0.10905125408942203
L'Écosse,0.0670995670995671,0.048701298701298704,0.048701298701298704,0.08116883116883117,0.04329004329004329,0.15367965367965367,0.18506493506493507,0.06168831168831169,0.050865800865800864,0.11363636363636363
Le Paraguay,0.052845528455284556,0.04369918699186992,0.03861788617886179,0.06402439024390244,0.056910569105691054,0.11382113821138211,0.19613821138211382,0.047764227642276426,0.039634146341463415,0.12804878048780488
Le Brésil,0.05694980694980695,0.06756756756756757,0.03571428571428571,0.07046332046332046,0.07046332046332046,0.11969111969111969,0.24324324324324326,0.0444015444015444,0.05308880308880309,0.14961389961389962
L'Afrique,0.042116630669546434,0.038876889848812095,0.026997840172786176,0.07991360691144708,0.029157667386609073,0.13606911447084233,0.16090712742980562,0.061555075593952485,0.03779697624190065,0.07883369330453564
La Jordan,0.09621621621621622,0.05081081081081081,0.04540540540540541,0.13297297297297297,0.06054054054054054,0.17513513513513512,0.1989189189189189,0.08540540540540541,0.06378378378378378,0.12864864864864864
L'Indonésie,0.07067510548523206,0.043248945147679324,0.04430379746835443,0.08860759493670886,0.027426160337552744,0.16139240506329114,0.17405063291139242,0.06434599156118144,0.04008438818565401,0.0981012658227848
Le Viêt Nam,0.0560081466395112,0.06619144602851323,0.03665987780040733,0.04786150712830957,0.06924643584521385,0.10081466395112017,0.2189409368635438,0.04276985743380855,0.04378818737270876,0.12525458248472504
Le Pakistan,0.09825997952917093,0.05322415557830092,0.05424769703172978,0.10542476970317298,0.052200614124872056,0.1985670419651996,0.18526100307062435,0.07983623336745138,0.06345957011258956,0.13101330603889458
La Roumanie,0.08771929824561403,0.06191950464396285,0.047471620227038186,0.09287925696594428,0.05159958720330237,0.17027863777089783,0.19814241486068113,0.06398348813209494,0.05572755417956656,0.13828689370485037
L'Équateur,0.08237547892720307,0.06321839080459771,0.045019157088122604,0.09003831417624521,0.05842911877394636,0.1752873563218391,0.21743295019157088,0.06704980842911877,0.06513409961685823,0.1503831417624521
Le Mexique,0.04895104895104895,0.06493506493506493,0.03896103896103896,0.059940059940059943,0.06693306693306693,0.1028971028971029,0.23076923076923078,0.03796203796203796,0.052947052947052944,0.1108891108891109
Le Porto Rico,0.046966731898238745,0.06164383561643835,0.03424657534246575,0.049902152641878667,0.07338551859099804,0.09295499021526418,0.24070450097847357,0.033268101761252444,0.049902152641878667,0.13209393346379647
Le Cameroun,0.08078817733990148,0.06305418719211822,0.04926108374384237,0.10443349753694581,0.05517241379310345,0.17438423645320197,0.20394088669950738,0.06896551724137931,0.05812807881773399,0.1566502463054187
Le Kenya,0.06666666666666667,0.036065573770491806,0.046994535519125684,0.08196721311475409,0.04480874316939891,0.14972677595628414,0.18469945355191256,0.07103825136612021,0.04371584699453552,0.11475409836065574
Le Libéria,0.09815950920245399,0.05623721881390593,0.05725971370143149,0.11247443762781185,0.044989775051124746,0.19427402862985685,0.17791411042944785,0.08282208588957055,0.06032719836400818,0.12474437627811862
La Sierra Léon,0.06707946336429309,0.04643962848297214,0.043343653250773995,0.08359133126934984,0.07017543859649122,0.13312693498452013,0.20123839009287925,0.0608875128998968,0.06191950464396285,0.11867905056759546
Le Qatar,0.07354345749761222,0.05635148042024833,0.034383954154727794,0.06685768863419293,0.06017191977077364,0.1318051575931232,0.2282712511938873,0.04393505253104107,0.05348615090735435,0.17000955109837632
La Syrie,0.11301715438950555,0.04339051463168517,0.05146316851664985,0.14833501513622604,0.024217961654894045,0.23814328960645811,0.1584258324924319,0.0958627648839556,0.06559031281533804,0.1029263370332997
Le Kenya,0.06666666666666667,0.036065573770491806,0.046994535519125684,0.08196721311475409,0.04480874316939891,0.14972677595628414,0.18469945355191256,0.07103825136612021,0.04371584699453552,0.11475409836065574
L'Arabie Saoudite,0.09138110072689512,0.05088265835929388,0.0529595015576324,0.11007268951194185,0.03842159916926272,0.17653167185877466,0.19418483904465214,0.07268951194184839,0.0529595015576324,0.1256490134994808
Le Liban,0.07415254237288135,0.048728813559322036,0.046610169491525424,0.09639830508474577,0.037076271186440676,0.15572033898305085,0.17796610169491525,0.06991525423728813,0.045550847457627115,0.11652542372881355
L'Afrique du Sud,0.04450757575757576,0.04450757575757576,0.03409090909090909,0.06439393939393939,0.04450757575757576,0.13636363636363635,0.17708333333333334,0.05587121212121212,0.04450757575757576,0.08712121212121213
La Corée,0.07778915046059365,0.06448311156601842,0.04094165813715456,0.09007164790174002,0.052200614124872056,0.14227226202661208,0.2047082906857728,0.05424769703172978,0.052200614124872056,0.13613101330603888
Singapour,0.03343166175024582,0.06588003933136677,0.02654867256637168,0.06588003933136677,0.06293018682399214,0.09734513274336283,0.2192723697148476,0.03736479842674533,0.046214355948869225,0.09046214355948869
L'Allemagne,0.06976744186046512,0.046511627906976744,0.039112050739957716,0.080338266384778,0.04334038054968287,0.1427061310782241,0.17864693446088795,0.05179704016913319,0.045454545454545456,0.11416490486257928
L'Irlande,0.05374077976817703,0.04847207586933614,0.02423603793466807,0.07692307692307693,0.040042149631190724,0.13066385669125394,0.19072708113804004,0.05268703898840885,0.04214963119072708,0.0916754478398314
Le Maroc,0.06097560975609756,0.057926829268292686,0.042682926829268296,0.07621951219512195,0.047764227642276426,0.13008130081300814,0.20121951219512196,0.044715447154471545,0.044715447154471545,0.11483739837398374
La Turquie,0.079002079002079,0.05301455301455302,0.04158004158004158,0.0945945945945946,0.04781704781704782,0.1683991683991684,0.19750519750519752,0.058212058212058215,0.0395010395010395,0.12785862785862787
Le Laos,0.09717868338557993,0.05956112852664577,0.05642633228840126,0.13479623824451412,0.05642633228840126,0.1974921630094044,0.19540229885057472,0.08986415882967608,0.05642633228840126,0.14942528735632185
