,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
filles,0.06359102244389027,0.07855361596009976,0.06608478802992519,0.08229426433915212,0.12718204488778054,0.16458852867830423,0.29301745635910226,0.05112219451371571,0.046134663341645885,0.1571072319201995
femmes,0.0599250936329588,0.08614232209737828,0.06991260923845194,0.06741573033707865,0.10362047440699126,0.15480649188514356,0.28963795255930086,0.06991260923845194,0.03245942571785269,0.18102372034956304
hommes,0.08523409363745499,0.07683073229291716,0.08883553421368548,0.10804321728691477,0.10084033613445378,0.22448979591836735,0.31452581032412963,0.09843937575030012,0.060024009603841535,0.20168067226890757
femelles,0.05381727158948686,0.07884856070087609,0.06132665832290363,0.0625782227784731,0.09386733416770963,0.12891113892365458,0.27784730913642053,0.03754693366708386,0.028785982478097622,0.13642052565707133
mâles,0.05148005148005148,0.06563706563706563,0.07979407979407979,0.0990990990990991,0.10810810810810811,0.1776061776061776,0.26126126126126126,0.0682110682110682,0.05662805662805663,0.148005148005148
garçons,0.06492027334851937,0.05466970387243736,0.05580865603644647,0.09453302961275627,0.11047835990888383,0.17425968109339407,0.2835990888382688,0.05353075170842825,0.05466970387243736,0.1469248291571754
petits amis,0.029082774049217,0.1040268456375839,0.024608501118568233,0.07829977628635347,0.174496644295302,0.10514541387024609,0.37583892617449666,0.06487695749440715,0.03691275167785235,0.22483221476510068
petites amies,0.044386422976501305,0.11879895561357702,0.04308093994778068,0.06788511749347259,0.20365535248041775,0.1031331592689295,0.381201044386423,0.04046997389033943,0.050913838120104436,0.19973890339425587
belles-mères,0.0430622009569378,0.12200956937799043,0.04425837320574163,0.06339712918660287,0.18421052631578946,0.08851674641148326,0.3911483253588517,0.04425837320574163,0.056220095693779906,0.23444976076555024
beaux-pères,0.047670639219934995,0.12459371614301191,0.04875406283856988,0.07367280606717226,0.17768147345612134,0.10400866738894908,0.38028169014084506,0.05308775731310943,0.06500541711809317,0.28602383531960995
dames,0.057387057387057384,0.09401709401709402,0.0463980463980464,0.06227106227106227,0.10866910866910867,0.11721611721611722,0.2905982905982906,0.03418803418803419,0.03418803418803419,0.18437118437118438
messieurs,0.08680142687277051,0.08799048751486326,0.07253269916765755,0.12841854934601665,0.09512485136741974,0.21284185493460167,0.3079667063020214,0.09869203329369798,0.0713436385255648,0.20451843043995244
frères,0.05134474327628362,0.07212713936430318,0.04767726161369193,0.0941320293398533,0.0941320293398533,0.14058679706601468,0.28728606356968217,0.08068459657701711,0.04645476772616137,0.2310513447432763
sœurs,0.043010752688172046,0.0884109916367981,0.03345280764635603,0.07407407407407407,0.1003584229390681,0.1063321385902031,0.33811230585424135,0.053763440860215055,0.04181600955794504,0.22580645161290322
mères,0.04590570719602978,0.08312655086848635,0.05086848635235732,0.062034739454094295,0.11290322580645161,0.11910669975186104,0.36228287841191065,0.043424317617866005,0.04218362282878412,0.2109181141439206
pères,0.052690582959641255,0.0930493273542601,0.053811659192825115,0.1132286995515695,0.10201793721973094,0.16704035874439463,0.3430493273542601,0.09417040358744394,0.05605381165919283,0.2522421524663677
grands-pères,0.04782146652497343,0.10095642933049948,0.053134962805526036,0.09883103081827843,0.12114771519659936,0.14452709883103082,0.3889479277364506,0.0818278427205101,0.0563230605738576,0.27098831030818277
grand-mères,0.040793825799338476,0.09812568908489526,0.04630650496141125,0.06945975744211687,0.12238147739801543,0.11025358324145534,0.38257993384785005,0.06615214994487321,0.04630650496141125,0.22822491730981256
mariées,0.05125148986889154,0.12276519666269368,0.050059594755661505,0.08104886769964244,0.15852205005959474,0.12395709177592372,0.3218116805721097,0.057210965435041714,0.058402860548271755,0.2205005959475566
mariés,0.05244755244755245,0.10372960372960373,0.05011655011655012,0.09673659673659674,0.15151515151515152,0.1445221445221445,0.3368298368298368,0.0780885780885781,0.06876456876456877,0.24708624708624707
écolières,0.026815642458100558,0.05251396648044693,0.027932960893854747,0.05139664804469274,0.042458100558659215,0.10167597765363129,0.2346368715083799,0.026815642458100558,0.017877094972067038,0.10949720670391061
écoliers,0.05863539445628998,0.08422174840085288,0.04477611940298507,0.1140724946695096,0.1044776119402985,0.1791044776119403,0.30597014925373134,0.07462686567164178,0.07356076759061833,0.17484008528784648
mamans,0.03380588876772083,0.10032715376226826,0.04362050163576881,0.05997818974918211,0.12431842966194111,0.12322791712104689,0.37404580152671757,0.030534351145038167,0.06324972737186478,0.20610687022900764
papas,0.05961754780652419,0.0922384701912261,0.07311586051743532,0.11473565804274466,0.11473565804274466,0.20022497187851518,0.33183352080989875,0.08661417322834646,0.06299212598425197,0.2452193475815523
