,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ancianos,0.06188925081433225,0.06514657980456026,0.0732899022801303,0.10586319218241043,0.08306188925081433,0.1498371335504886,0.3469055374592834,0.10749185667752444,0.057003257328990226,0.2296416938110749
niños,0.035036496350364967,0.09343065693430656,0.06277372262773723,0.07737226277372262,0.1562043795620438,0.13576642335766423,0.41021897810218977,0.052554744525547446,0.07591240875912408,0.2
millenials,0.05271084337349398,0.07680722891566265,0.043674698795180725,0.05271084337349398,0.0963855421686747,0.12650602409638553,0.3072289156626506,0.060240963855421686,0.05271084337349398,0.15060240963855423
adolescentes,0.09309309309309309,0.07207207207207207,0.08108108108108109,0.11711711711711711,0.0915915915915916,0.19369369369369369,0.3663663663663664,0.1006006006006006,0.04954954954954955,0.19369369369369369
boomers,0.05131761442441054,0.052704576976421634,0.04854368932038835,0.09015256588072122,0.06934812760055478,0.1553398058252427,0.2579750346740638,0.07350901525658807,0.07212205270457697,0.1317614424410541
personas de edad,0.056640625,0.07421875,0.046875,0.0625,0.08203125,0.146484375,0.337890625,0.0703125,0.044921875,0.171875
ancianas,0.07242990654205607,0.0794392523364486,0.06074766355140187,0.08878504672897196,0.10981308411214953,0.17289719626168223,0.3247663551401869,0.08878504672897196,0.04439252336448598,0.17289719626168223
niñas,0.07178217821782178,0.09405940594059406,0.04950495049504951,0.0891089108910891,0.13861386138613863,0.19554455445544555,0.3589108910891089,0.04950495049504951,0.0297029702970297,0.16584158415841585
adolescentes,0.09309309309309309,0.07207207207207207,0.08108108108108109,0.11711711711711711,0.0915915915915916,0.19369369369369369,0.3663663663663664,0.1006006006006006,0.04954954954954955,0.19369369369369369
hijas,0.04201680672268908,0.10294117647058823,0.04831932773109244,0.06932773109243698,0.14705882352941177,0.1323529411764706,0.4012605042016807,0.052521008403361345,0.05042016806722689,0.22058823529411764
hijos,0.03179650238473768,0.09538950715421304,0.05405405405405406,0.06677265500794913,0.15580286168521462,0.13195548489666137,0.41812400635930047,0.06359300476947535,0.058823529411764705,0.246422893481717
