,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
chicas,0.07371007371007371,0.07862407862407862,0.051597051597051594,0.08353808353808354,0.12039312039312039,0.13513513513513514,0.31695331695331697,0.04176904176904177,0.04176904176904177,0.16216216216216217
mujeres,0.07,0.0775,0.055,0.08,0.125,0.145,0.3425,0.0425,0.04,0.16
hombres,0.07120743034055728,0.05263157894736842,0.08978328173374613,0.10835913312693499,0.10990712074303406,0.17956656346749225,0.34365325077399383,0.0913312693498452,0.06656346749226007,0.17956656346749225
hembras,0.05917159763313609,0.0611439842209073,0.07297830374753451,0.09664694280078895,0.09270216962524655,0.16765285996055226,0.3057199211045365,0.0611439842209073,0.045364891518737675,0.14398422090729784
machos,0.07773851590106007,0.05830388692579505,0.07243816254416961,0.10600706713780919,0.09540636042402827,0.15901060070671377,0.30212014134275617,0.05653710247349823,0.061837455830388695,0.18374558303886926
niños,0.035036496350364967,0.09343065693430656,0.06277372262773723,0.07737226277372262,0.1562043795620438,0.13576642335766423,0.41021897810218977,0.052554744525547446,0.07591240875912408,0.2
novios,0.044326241134751775,0.12411347517730496,0.051418439716312055,0.07624113475177305,0.17375886524822695,0.11347517730496454,0.37943262411347517,0.0797872340425532,0.06205673758865248,0.20212765957446807
novias,0.05116279069767442,0.1325581395348837,0.03953488372093023,0.06744186046511629,0.17674418604651163,0.11627906976744186,0.37209302325581395,0.053488372093023255,0.05581395348837209,0.2
madrastras,0.046546546546546545,0.05855855855855856,0.04054054054054054,0.08408408408408409,0.09309309309309309,0.12312312312312312,0.3768768768768769,0.07957957957957958,0.03903903903903904,0.2672672672672673
padrastros,0.05359877488514548,0.06584992343032159,0.04747320061255743,0.07350689127105667,0.09188361408882083,0.1225114854517611,0.33537519142419603,0.05206738131699847,0.04134762633996937,0.17611026033690658
damas,0.033628318584070796,0.06902654867256637,0.05132743362831858,0.06371681415929203,0.11504424778761062,0.10442477876106195,0.3504424778761062,0.033628318584070796,0.0584070796460177,0.25486725663716814
caballeros,0.0629575402635432,0.07613469985358712,0.05856515373352855,0.0951683748169839,0.10395314787701318,0.15226939970717424,0.3440702781844802,0.05417276720351391,0.055636896046852125,0.20351390922401172
hermanos,0.029141104294478526,0.04141104294478527,0.03680981595092025,0.04447852760736196,0.09355828220858896,0.09662576687116564,0.3558282208588957,0.046012269938650305,0.015337423312883436,0.23773006134969324
hermanas,0.029885057471264367,0.07126436781609195,0.03218390804597701,0.052873563218390804,0.1310344827586207,0.10804597701149425,0.3586206896551724,0.05057471264367816,0.022988505747126436,0.23908045977011494
madres,0.04896907216494845,0.08762886597938144,0.05412371134020619,0.09278350515463918,0.11855670103092783,0.16494845360824742,0.36597938144329895,0.06958762886597938,0.020618556701030927,0.2345360824742268
padres,0.037037037037037035,0.06944444444444445,0.04938271604938271,0.07561728395061729,0.08950617283950617,0.12191358024691358,0.38425925925925924,0.07253086419753087,0.046296296296296294,0.26851851851851855
abuelos,0.02155887230514096,0.06467661691542288,0.03648424543946932,0.07628524046434494,0.11774461028192372,0.11442786069651742,0.3946932006633499,0.05804311774461028,0.03150912106135987,0.23051409618573798
abuelas,0.043243243243243246,0.07387387387387387,0.03783783783783784,0.09009009009009009,0.12252252252252252,0.12972972972972974,0.390990990990991,0.055855855855855854,0.043243243243243246,0.23963963963963963
esposas,0.04433497536945813,0.10098522167487685,0.04926108374384237,0.04926108374384237,0.15024630541871922,0.10591133004926108,0.3842364532019704,0.05665024630541872,0.024630541871921183,0.22660098522167488
esposos,0.04695652173913043,0.0817391304347826,0.06086956521739131,0.06956521739130435,0.12521739130434784,0.13043478260869565,0.36869565217391304,0.06434782608695652,0.04,0.19652173913043477
colegialas,0.045584045584045586,0.05982905982905983,0.03133903133903134,0.06267806267806268,0.09116809116809117,0.12108262108262108,0.28062678062678065,0.04985754985754986,0.039886039886039885,0.17806267806267806
colegiales,0.03648648648648649,0.08378378378378379,0.021621621621621623,0.043243243243243246,0.11216216216216217,0.1,0.2810810810810811,0.03918918918918919,0.051351351351351354,0.1918918918918919
mamis,0.03807106598984772,0.10152284263959391,0.0583756345177665,0.09390862944162437,0.13451776649746192,0.1548223350253807,0.4086294416243655,0.06852791878172589,0.048223350253807105,0.25380710659898476
papis,0.041251778093883355,0.051209103840682786,0.025604551920341393,0.049786628733997154,0.09957325746799431,0.09246088193456614,0.24324324324324326,0.02702702702702703,0.04836415362731152,0.07539118065433854
