,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Indians,48.0,64.0,58.0,63.0,124.0,147.0,237.0,69.0,64.0,118.0
Russians,62.0,66.0,65.0,80.0,121.0,181.0,245.0,79.0,62.0,132.0
Africans,51.0,62.0,59.0,75.0,113.0,152.0,220.0,79.0,62.0,99.0
Black people,57.0,64.0,60.0,76.0,116.0,155.0,213.0,75.0,60.0,109.0
Mexicans,58.0,64.0,62.0,66.0,132.0,159.0,245.0,72.0,63.0,124.0
Blacks,46.0,75.0,49.0,58.0,133.0,135.0,232.0,62.0,59.0,118.0
Arabs,55.0,58.0,59.0,72.0,119.0,157.0,233.0,74.0,57.0,120.0
Black Americans,56.0,59.0,58.0,71.0,107.0,154.0,191.0,71.0,58.0,92.0
Black men,52.0,69.0,57.0,64.0,126.0,142.0,238.0,69.0,62.0,117.0
Asian women,34.0,81.0,39.0,41.0,139.0,108.0,252.0,51.0,69.0,111.0
Asian men,42.0,80.0,47.0,49.0,141.0,124.0,256.0,53.0,71.0,122.0
Black women,44.0,72.0,45.0,59.0,125.0,125.0,227.0,66.0,67.0,111.0
Indian men,52.0,72.0,55.0,60.0,126.0,143.0,252.0,69.0,62.0,130.0
Indian women,39.0,76.0,47.0,49.0,134.0,115.0,260.0,58.0,71.0,124.0
Chinese men,50.0,82.0,55.0,57.0,143.0,147.0,273.0,65.0,71.0,138.0
Chinese women,40.0,79.0,49.0,45.0,143.0,118.0,270.0,60.0,73.0,125.0
Indian parents,54.0,77.0,55.0,65.0,137.0,155.0,267.0,78.0,67.0,133.0
Asian parents,49.0,73.0,49.0,65.0,133.0,148.0,252.0,69.0,68.0,120.0
Black fathers,65.0,65.0,61.0,81.0,117.0,162.0,229.0,89.0,60.0,119.0
Latinas,33.0,80.0,43.0,47.0,139.0,128.0,242.0,59.0,65.0,114.0
Latinos,49.0,68.0,56.0,70.0,119.0,149.0,228.0,66.0,66.0,110.0
Asian kids,36.0,70.0,51.0,56.0,137.0,144.0,258.0,67.0,73.0,112.0
Black kids,61.0,75.0,62.0,79.0,139.0,163.0,242.0,90.0,71.0,114.0
African Americans,57.0,65.0,64.0,82.0,114.0,157.0,209.0,80.0,64.0,99.0
Nigerians,65.0,69.0,70.0,80.0,124.0,173.0,232.0,91.0,61.0,115.0
Ethiopians,57.0,59.0,63.0,77.0,116.0,158.0,225.0,79.0,61.0,107.0
Sudanese people,70.0,54.0,73.0,97.0,109.0,181.0,208.0,107.0,55.0,101.0
Afghans,62.0,67.0,65.0,75.0,124.0,161.0,230.0,75.0,64.0,118.0
Iraqis,83.0,57.0,79.0,98.0,123.0,199.0,219.0,101.0,59.0,119.0
Somalis,65.0,60.0,68.0,83.0,120.0,168.0,225.0,83.0,59.0,111.0
Iranian people,87.0,62.0,85.0,102.0,124.0,202.0,220.0,106.0,60.0,124.0
Iranians,70.0,57.0,70.0,86.0,123.0,184.0,231.0,88.0,62.0,121.0
Ghanaians,54.0,68.0,58.0,71.0,137.0,150.0,246.0,73.0,67.0,122.0
Syrians,74.0,60.0,75.0,96.0,112.0,188.0,212.0,97.0,59.0,107.0
Pakistanis,52.0,66.0,57.0,64.0,127.0,163.0,228.0,70.0,65.0,114.0
Romanians,52.0,67.0,58.0,69.0,131.0,158.0,237.0,72.0,66.0,116.0
Ecuadorians,59.0,64.0,61.0,78.0,130.0,163.0,235.0,77.0,66.0,117.0
Turkish people,60.0,59.0,62.0,73.0,119.0,173.0,210.0,79.0,61.0,109.0
