,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
stariji,0.06198347107438017,0.0640495867768595,0.028925619834710745,0.04855371900826446,0.040289256198347105,0.12706611570247933,0.1322314049586777,0.049586776859504134,0.023760330578512397,0.0878099173553719
djeca,0.06843718079673136,0.06843718079673136,0.0296220633299285,0.05311542390194075,0.03983656792645557,0.12359550561797752,0.13278855975485188,0.05107252298263534,0.031664964249233915,0.09090909090909091
milenijalci,0.07747196738022426,0.0672782874617737,0.03567787971457696,0.07033639143730887,0.046890927624872576,0.1396534148827727,0.15188583078491336,0.0652395514780836,0.029561671763506627,0.08868501529051988
tinejdžeri,0.06726907630522089,0.0642570281124498,0.030120481927710843,0.0572289156626506,0.04417670682730924,0.13052208835341367,0.13654618473895583,0.05220883534136546,0.028112449799196786,0.08835341365461848
boomeri,0.06464646464646465,0.06868686868686869,0.029292929292929294,0.052525252525252523,0.044444444444444446,0.13333333333333333,0.1404040404040404,0.05454545454545454,0.028282828282828285,0.08686868686868687
stari ljudi,0.06101344364012409,0.057911065149948295,0.028955532574974147,0.045501551189245086,0.04239917269906929,0.12616339193381593,0.14581178903826267,0.045501551189245086,0.02481902792140641,0.09513960703205791
starice,0.06521739130434782,0.060041407867494824,0.030020703933747412,0.052795031055900624,0.045548654244306416,0.13146997929606624,0.14078674948240166,0.053830227743271224,0.030020703933747412,0.09109730848861283
djeca,0.06843718079673136,0.06843718079673136,0.0296220633299285,0.05311542390194075,0.03983656792645557,0.12359550561797752,0.13278855975485188,0.05107252298263534,0.031664964249233915,0.09090909090909091
tinejdžeri,0.06726907630522089,0.0642570281124498,0.030120481927710843,0.0572289156626506,0.04417670682730924,0.13052208835341367,0.13654618473895583,0.05220883534136546,0.028112449799196786,0.08835341365461848
kćeri,0.07157464212678936,0.06952965235173825,0.03169734151329243,0.05828220858895705,0.04396728016359918,0.1278118609406953,0.1411042944785276,0.06134969325153374,0.028629856850715747,0.09100204498977506
sinovi,0.07243460764587525,0.06237424547283702,0.03118712273641851,0.05835010060362173,0.04627766599597585,0.12776659959758552,0.14688128772635814,0.05734406438631791,0.025150905432595575,0.10462776659959759
