,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Etiopija,0.07597535934291581,0.06673511293634497,0.037987679671457907,0.07392197125256673,0.04106776180698152,0.13552361396303902,0.14681724845995894,0.07084188911704312,0.02566735112936345,0.08726899383983573
Europa,0.059487179487179485,0.07384615384615385,0.027692307692307693,0.06358974358974359,0.0441025641025641,0.11794871794871795,0.1517948717948718,0.055384615384615386,0.024615384615384615,0.09435897435897436
Ukrajina,0.07468879668049792,0.07157676348547717,0.035269709543568464,0.07157676348547717,0.04045643153526971,0.13278008298755187,0.1462655601659751,0.06535269709543569,0.022821576763485476,0.09336099585062241
Sudan,0.07507820646506778,0.06360792492179354,0.03753910323253389,0.06882168925964546,0.04171011470281543,0.13660062565172054,0.14077163712200208,0.06882168925964546,0.029197080291970802,0.08446298227320125
Afganistan,0.07377049180327869,0.06454918032786885,0.035860655737704916,0.07274590163934426,0.040983606557377046,0.13524590163934427,0.14549180327868852,0.0706967213114754,0.0235655737704918,0.0860655737704918
Irak,0.07636738906088751,0.07017543859649122,0.03715170278637771,0.07739938080495357,0.04024767801857585,0.14035087719298245,0.14963880288957687,0.07017543859649122,0.023735810113519093,0.09081527347781218
Jemen,0.07150259067357513,0.06839378238341969,0.039378238341968914,0.07150259067357513,0.04559585492227979,0.13678756476683937,0.15025906735751296,0.06735751295336788,0.025906735751295335,0.09430051813471503
Rusija,0.07090719499478623,0.0667361835245047,0.03232533889468196,0.06465067778936393,0.04483837330552659,0.12825860271115747,0.1553701772679875,0.06360792492179354,0.022940563086548488,0.09384775808133472
Italija,0.07127882599580712,0.06813417190775681,0.033542976939203356,0.06079664570230608,0.04716981132075472,0.1320754716981132,0.15618448637316562,0.0639412997903564,0.029350104821802937,0.09538784067085954
Somalija,0.07471852610030706,0.06550665301944729,0.037871033776867964,0.07267144319344933,0.04094165813715456,0.13510747185261002,0.14534288638689866,0.06960081883316274,0.02456499488229273,0.08700102354145343
Iran,0.07533539731682147,0.06914344685242518,0.038183694530443756,0.07430340557275542,0.04437564499484004,0.14035087719298245,0.15583075335397317,0.06604747162022703,0.023735810113519093,0.09184726522187822
Venezuela,0.06804123711340206,0.06701030927835051,0.03402061855670103,0.06701030927835051,0.04639175257731959,0.12783505154639174,0.15360824742268042,0.06907216494845361,0.027835051546391754,0.09381443298969072
Oman,0.06935817805383022,0.06728778467908902,0.036231884057971016,0.06832298136645963,0.045548654244306416,0.13768115942028986,0.15734989648033126,0.06418219461697723,0.026915113871635612,0.09730848861283643
Sirija,0.07660878447395301,0.07252298263534218,0.03881511746680286,0.07763023493360573,0.04290091930541369,0.14096016343207354,0.15321756894790603,0.06945863125638406,0.024514811031664963,0.09295199182839632
Kina,0.07334710743801653,0.06921487603305786,0.03512396694214876,0.07024793388429752,0.047520661157024795,0.1353305785123967,0.1487603305785124,0.06714876033057851,0.029958677685950414,0.0878099173553719
Indija,0.07113821138211382,0.06707317073170732,0.03556910569105691,0.07113821138211382,0.044715447154471545,0.13617886178861788,0.15040650406504066,0.07113821138211382,0.028455284552845527,0.08536585365853659
Britanija,0.061791967044284246,0.07106076210092688,0.026776519052523172,0.05870236869207003,0.04531410916580844,0.12358393408856849,0.15550978372811536,0.05458290422245108,0.02265705458290422,0.10092687950566426
Francuska,0.06557377049180328,0.06762295081967214,0.028688524590163935,0.05635245901639344,0.045081967213114756,0.12704918032786885,0.1567622950819672,0.05635245901639344,0.028688524590163935,0.09938524590163934
Grčka,0.07222787385554426,0.07324516785350967,0.03255340793489318,0.06612410986775177,0.04577822990844354,0.1353001017293998,0.1525940996948118,0.06408952187182096,0.028484231943031537,0.09155645981688708
Škotska,0.06967213114754098,0.06967213114754098,0.031762295081967214,0.06762295081967214,0.0430327868852459,0.13217213114754098,0.15368852459016394,0.06454918032786885,0.02459016393442623,0.09528688524590163
Paragvaj,0.07026476578411406,0.06619144602851323,0.03360488798370672,0.06619144602851323,0.04480651731160896,0.13441955193482688,0.1425661914460285,0.06924643584521385,0.028513238289205704,0.08655804480651731
Brazil,0.0668724279835391,0.06790123456790123,0.030864197530864196,0.059670781893004114,0.04526748971193416,0.12242798353909465,0.15123456790123457,0.06378600823045268,0.027777777777777776,0.08847736625514403
Afrika,0.06728778467908902,0.06728778467908902,0.034161490683229816,0.06935817805383022,0.041407867494824016,0.12939958592132506,0.14389233954451347,0.06314699792960662,0.024844720496894408,0.08281573498964803
Jordan,0.07312049433573635,0.06488156539649846,0.035015447991761074,0.06694129763130793,0.04325437693099897,0.13697219361483007,0.15036045314109167,0.06591143151390319,0.026776519052523172,0.08650875386199794
Indonezija,0.0663265306122449,0.06836734693877551,0.03163265306122449,0.058163265306122446,0.044897959183673466,0.12959183673469388,0.14591836734693878,0.0653061224489796,0.02857142857142857,0.08673469387755102
Vijetnam,0.06262833675564682,0.0728952772073922,0.030800821355236138,0.0646817248459959,0.043121149897330596,0.13039014373716631,0.1570841889117043,0.058521560574948665,0.023613963039014373,0.09753593429158111
Pakistan,0.07216494845360824,0.06597938144329897,0.03505154639175258,0.07010309278350516,0.04020618556701031,0.13814432989690723,0.14329896907216494,0.06494845360824743,0.023711340206185566,0.08556701030927835
Rumunjska,0.06653019447287616,0.06755373592630501,0.030706243602865915,0.06038894575230297,0.04196519959058342,0.12896622313203684,0.14943705220061412,0.0593654042988741,0.028659160696008188,0.0931422722620266
Ekvador,0.06945863125638406,0.06741573033707865,0.033707865168539325,0.06741573033707865,0.04290091930541369,0.1338100102145046,0.14504596527068436,0.06741573033707865,0.02553626149131767,0.08682328907048008
Meksiko,0.06415478615071284,0.06720977596741344,0.028513238289205704,0.062118126272912425,0.04480651731160896,0.12830957230142567,0.14663951120162932,0.06517311608961303,0.028513238289205704,0.08859470468431772
Portoriko,0.06605691056910569,0.06707317073170732,0.031504065040650404,0.059959349593495935,0.04573170731707317,0.12804878048780488,0.14735772357723578,0.06402439024390244,0.027439024390243903,0.09146341463414634
Kamerun,0.06488156539649846,0.07003089598352215,0.032955715756951595,0.06385169927909372,0.04531410916580844,0.12873326467559218,0.15345005149330587,0.0607621009268795,0.026776519052523172,0.09268795056642637
Kenija,0.07272727272727272,0.06868686868686869,0.03636363636363636,0.06666666666666667,0.046464646464646465,0.13131313131313133,0.15252525252525254,0.0696969696969697,0.02727272727272727,0.09292929292929293
Liberija,0.06784968684759916,0.06367432150313153,0.03549060542797495,0.06367432150313153,0.04175365344467641,0.12839248434237996,0.14926931106471816,0.061586638830897704,0.024008350730688934,0.08977035490605428
Sijera Leon,0.06808943089430894,0.06402439024390244,0.03353658536585366,0.06300813008130081,0.04369918699186992,0.133130081300813,0.14532520325203252,0.0701219512195122,0.028455284552845527,0.08943089430894309
Katar,0.06701570680628273,0.06492146596858639,0.03455497382198953,0.060732984293193716,0.04502617801047121,0.13298429319371727,0.14450261780104712,0.06282722513089005,0.028272251308900525,0.08272251308900523
Sirija,0.07660878447395301,0.07252298263534218,0.03881511746680286,0.07763023493360573,0.04290091930541369,0.14096016343207354,0.15321756894790603,0.06945863125638406,0.024514811031664963,0.09295199182839632
Kenija,0.07272727272727272,0.06868686868686869,0.03636363636363636,0.06666666666666667,0.046464646464646465,0.13131313131313133,0.15252525252525254,0.0696969696969697,0.02727272727272727,0.09292929292929293
Saudijska Arabija,0.07644628099173553,0.06818181818181818,0.03615702479338843,0.06921487603305786,0.042355371900826444,0.13739669421487602,0.15805785123966942,0.058884297520661155,0.02169421487603306,0.09194214876033058
Libanon,0.07128099173553719,0.07024793388429752,0.03615702479338843,0.07231404958677685,0.042355371900826444,0.14049586776859505,0.14979338842975207,0.06611570247933884,0.026859504132231406,0.08987603305785125
Južna Afrika,0.05846153846153846,0.07179487179487179,0.027692307692307693,0.06461538461538462,0.041025641025641026,0.11384615384615385,0.1517948717948718,0.055384615384615386,0.020512820512820513,0.09846153846153846
Koreja,0.07351460221550855,0.06948640483383686,0.03423967774420947,0.07049345417925479,0.044310171198388724,0.1339375629405841,0.15307150050352467,0.07150050352467271,0.028197381671701913,0.08962739174219536
Singapur,0.06481481481481481,0.06790123456790123,0.029835390946502057,0.05761316872427984,0.046296296296296294,0.1286008230452675,0.147119341563786,0.06584362139917696,0.030864197530864196,0.09053497942386832
Njemačka,0.0625,0.06666666666666667,0.029166666666666667,0.05625,0.041666666666666664,0.11979166666666667,0.15104166666666666,0.052083333333333336,0.021875,0.09583333333333334
Irska,0.06585612968591692,0.06889564336372847,0.031408308004052685,0.06484295845997974,0.0425531914893617,0.13069908814589665,0.1540020263424519,0.06281661600810537,0.025329280648429583,0.09219858156028368
Maroko,0.0655241935483871,0.06653225806451613,0.03326612903225806,0.059475806451612906,0.04536290322580645,0.12701612903225806,0.15625,0.06149193548387097,0.02721774193548387,0.08870967741935484
Turska,0.06960081883316274,0.06857727737973388,0.03172978505629478,0.06141248720573183,0.048106448311156604,0.12794268167860798,0.15660184237461616,0.06345957011258956,0.02968270214943705,0.09723643807574207
Laos,0.06955645161290322,0.06754032258064516,0.034274193548387094,0.06754032258064516,0.04334677419354839,0.1350806451612903,0.14516129032258066,0.0655241935483871,0.02721774193548387,0.08870967741935484
Bangladeš,0.06990881458966565,0.0668693009118541,0.03242147922998987,0.0668693009118541,0.040526849037487336,0.12968591691995948,0.14488348530901723,0.05977710233029382,0.02735562310030395,0.08915906788247213
Gvatemala,0.06680161943319839,0.06882591093117409,0.030364372469635626,0.06072874493927125,0.0465587044534413,0.12854251012145748,0.15384615384615385,0.06680161943319839,0.029352226720647773,0.09109311740890688
Gana,0.07150259067357513,0.06528497409326425,0.03212435233160622,0.06424870466321243,0.04455958549222798,0.1316062176165803,0.14404145077720207,0.06424870466321243,0.027979274611398965,0.08601036269430051
Nepal,0.07317073170731707,0.06707317073170732,0.034552845528455285,0.06605691056910569,0.041666666666666664,0.13414634146341464,0.14532520325203252,0.06605691056910569,0.028455284552845527,0.08638211382113821
Albanija,0.06797116374871266,0.0690010298661174,0.030895983522142123,0.061791967044284246,0.044284243048403706,0.12976313079299692,0.14418125643666324,0.06488156539649846,0.027806385169927908,0.09165808444902163
Španjolska,0.06537282941777324,0.06639427987742594,0.028600612870275793,0.05515832482124617,0.045965270684371805,0.12768130745658834,0.1511746680286006,0.06230847803881512,0.027579162410623085,0.09499489274770173
Švedska,0.057494866529774126,0.0728952772073922,0.026694045174537988,0.055441478439425054,0.045174537987679675,0.12217659137577003,0.1540041067761807,0.052361396303901436,0.026694045174537988,0.10061601642710473
Argentina,0.06666666666666667,0.06461538461538462,0.03076923076923077,0.05846153846153846,0.04512820512820513,0.12717948717948718,0.1476923076923077,0.06358974358974359,0.027692307692307693,0.08615384615384615
Čile,0.062186559679037114,0.07221664994984955,0.031093279839518557,0.06619859578736209,0.044132397191574725,0.12437311935807423,0.15045135406218657,0.05717151454363089,0.025075225677031094,0.09528585757271815
Tajvan,0.06781376518218624,0.06275303643724696,0.03137651821862348,0.06275303643724696,0.043522267206477734,0.13562753036437247,0.15182186234817813,0.06781376518218624,0.02834008097165992,0.08805668016194332
Finska,0.06666666666666667,0.06666666666666667,0.031313131313131314,0.05757575757575758,0.044444444444444446,0.12626262626262627,0.15252525252525254,0.06262626262626263,0.030303030303030304,0.09393939393939393
Australija,0.06451612903225806,0.06451612903225806,0.029233870967741934,0.06451612903225806,0.04334677419354839,0.12903225806451613,0.15120967741935484,0.0625,0.028225806451612902,0.08971774193548387
Egipat,0.07128099173553719,0.07128099173553719,0.03512396694214876,0.07231404958677685,0.042355371900826444,0.13739669421487602,0.14979338842975207,0.06611570247933884,0.025826446280991736,0.09400826446280992
Peru,0.0672182006204757,0.06825232678386763,0.033092037228541885,0.06204756980351603,0.045501551189245086,0.13236814891416754,0.14788004136504654,0.0641158221302999,0.02998965873836608,0.08996897621509824
Poljska,0.06776180698151951,0.06673511293634497,0.03182751540041068,0.061601642710472276,0.043121149897330596,0.13347022587268995,0.14476386036960986,0.060574948665297744,0.026694045174537988,0.09137577002053388
Kolumbija,0.06673511293634497,0.06570841889117043,0.030800821355236138,0.060574948665297744,0.04620123203285421,0.1273100616016427,0.1540041067761807,0.0646817248459959,0.027720739219712527,0.09034907597535935
Bolivija,0.07252298263534218,0.06741573033707865,0.03677221654749745,0.06945863125638406,0.045965270684371805,0.1338100102145046,0.1511746680286006,0.07048008171603677,0.028600612870275793,0.0888661899897855
Japan,0.06843718079673136,0.06639427987742594,0.0296220633299285,0.06435137895812053,0.045965270684371805,0.12972420837589377,0.15219611848825332,0.07048008171603677,0.0296220633299285,0.08784473953013279
Norveška,0.06741573033707865,0.06741573033707865,0.030643513789581207,0.054136874361593465,0.045965270684371805,0.12972420837589377,0.1501532175689479,0.0602655771195097,0.028600612870275793,0.09499489274770173
