,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
djevojke,0.07676969092721835,0.06580259222333001,0.03489531405782652,0.06281156530408774,0.045862412761714856,0.13958125623130607,0.13559322033898305,0.06281156530408774,0.027916251246261216,0.07876370887337986
žene,0.06756756756756757,0.06652806652806653,0.029106029106029108,0.057172557172557176,0.0446985446985447,0.1288981288981289,0.14241164241164242,0.05301455301455302,0.02598752598752599,0.0841995841995842
muškarci,0.06776180698151951,0.061601642710472276,0.029774127310061602,0.054414784394250515,0.043121149897330596,0.13141683778234087,0.13963039014373715,0.0513347022587269,0.027720739219712527,0.08726899383983573
ženske,0.07415036045314109,0.06488156539649846,0.03192584963954686,0.061791967044284246,0.044284243048403706,0.13285272914521112,0.13903192584963955,0.055612770339855816,0.025746652935118436,0.08135942327497425
mužjaci,0.06755373592630501,0.06141248720573183,0.030706243602865915,0.05527123848515865,0.04605936540429888,0.1299897645854657,0.13613101330603888,0.05015353121801433,0.02456499488229273,0.0849539406345957
dječaci,0.07385229540918163,0.0658682634730539,0.03293413173652695,0.05389221556886228,0.04590818363273453,0.12674650698602793,0.13373253493013973,0.05588822355289421,0.027944111776447105,0.09381237524950099
dečki,0.06802030456852792,0.05786802030456853,0.028426395939086295,0.05380710659898477,0.04060913705583756,0.12690355329949238,0.11878172588832488,0.05583756345177665,0.027411167512690356,0.07918781725888324
djevojke,0.07676969092721835,0.06580259222333001,0.03489531405782652,0.06281156530408774,0.045862412761714856,0.13958125623130607,0.13559322033898305,0.06281156530408774,0.027916251246261216,0.07876370887337986
maćehe,0.076,0.063,0.036,0.063,0.049,0.133,0.132,0.062,0.029,0.076
očuhi,0.07093596059113301,0.06502463054187192,0.030541871921182268,0.05714285714285714,0.042364532019704436,0.13004926108374384,0.1438423645320197,0.059113300492610835,0.030541871921182268,0.07980295566502463
dame,0.06218144750254842,0.06116207951070336,0.027522935779816515,0.047910295616717634,0.040774719673802244,0.11926605504587157,0.13761467889908258,0.04892966360856269,0.0254841997961264,0.07747196738022426
gospoda,0.062118126272912425,0.062118126272912425,0.028513238289205704,0.04073319755600815,0.04684317718940937,0.11914460285132383,0.14765784114052954,0.045824847250509164,0.028513238289205704,0.09572301425661914
braća,0.07327141382868937,0.058823529411764705,0.03199174406604747,0.058823529411764705,0.043343653250773995,0.12899896800825594,0.14138286893704852,0.05985552115583075,0.025799793601651185,0.09494324045407637
sestre,0.06762295081967214,0.06147540983606557,0.027663934426229508,0.05122950819672131,0.04405737704918033,0.12807377049180327,0.14241803278688525,0.05430327868852459,0.0235655737704918,0.09528688524590163
majke,0.06591143151390319,0.06591143151390319,0.029866117404737384,0.05149330587023687,0.05149330587023687,0.13285272914521112,0.15242018537590113,0.05149330587023687,0.026776519052523172,0.101956745623069
očevi,0.06597938144329897,0.061855670103092786,0.029896907216494847,0.04845360824742268,0.04742268041237113,0.12577319587628866,0.1422680412371134,0.04742268041237113,0.026804123711340205,0.09896907216494845
djedovi,0.06847935548841894,0.05740181268882175,0.032225579053373615,0.05236656596173213,0.04229607250755287,0.12386706948640483,0.12890231621349446,0.050352467270896276,0.025176233635448138,0.08962739174219536
bake,0.06526315789473684,0.06315789473684211,0.03263157894736842,0.05052631578947368,0.049473684210526316,0.12526315789473685,0.1431578947368421,0.05263157894736842,0.028421052631578948,0.09368421052631579
nevjeste,0.06327900287631831,0.07574304889741132,0.029721955896452542,0.05081495685522531,0.04122722914669223,0.11217641418983701,0.12751677852348994,0.05560882070949185,0.032598274209012464,0.08149568552253116
mladoženje,0.061938061938061936,0.06993006993006994,0.025974025974025976,0.054945054945054944,0.04395604395604396,0.12487512487512488,0.14385614385614387,0.04895104895104895,0.025974025974025976,0.0919080919080919
učenice,0.07415036045314109,0.07415036045314109,0.032955715756951595,0.055612770339855816,0.04325437693099897,0.13594232749742532,0.1431513903192585,0.0607621009268795,0.030895983522142123,0.0937178166838311
školarci,0.06735751295336788,0.07046632124352331,0.031088082901554404,0.04870466321243523,0.046632124352331605,0.12746113989637306,0.13989637305699482,0.0538860103626943,0.027979274611398965,0.09430051813471503
mamice,0.06589958158995816,0.06380753138075314,0.030334728033472803,0.04811715481171548,0.0502092050209205,0.12552301255230125,0.14644351464435146,0.049163179916317995,0.028242677824267783,0.09100418410041841
tatice,0.06707946336429309,0.05675954592363261,0.030959752321981424,0.04953560371517028,0.04437564499484004,0.13209494324045407,0.13725490196078433,0.05263157894736842,0.026831785345717233,0.09391124871001032
