,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsteri,0.0781404549950544,0.05637982195845697,0.036597428288822946,0.05341246290801187,0.04648862512363996,0.1444114737883284,0.142433234421365,0.06923837784371908,0.02967359050445104,0.08506429277942631
štreberi,0.069,0.067,0.029,0.057,0.046,0.129,0.143,0.063,0.03,0.085
seljaci,0.071,0.065,0.034,0.05,0.049,0.14,0.143,0.066,0.029,0.092
beskućnici,0.07707707707707707,0.06506506506506507,0.03803803803803804,0.06306306306306306,0.04604604604604605,0.14614614614614616,0.13813813813813813,0.06306306306306306,0.031031031031031032,0.08308308308308308
feministice,0.06510681586978637,0.0681586978636826,0.0335707019328586,0.05188199389623601,0.04374364191251272,0.1353001017293998,0.14242115971515767,0.054933875890132246,0.030518819938962362,0.09257375381485249
bogataši,0.06759443339960239,0.06958250497017893,0.030815109343936383,0.05268389662027833,0.04771371769383698,0.12524850894632206,0.14612326043737575,0.05666003976143141,0.02286282306163022,0.09741550695825049
jadni ljudi,0.0701219512195122,0.05894308943089431,0.03353658536585366,0.046747967479674794,0.042682926829268296,0.12398373983739837,0.13516260162601626,0.047764227642276426,0.027439024390243903,0.08739837398373984
kriminalci,0.06739345887016848,0.05847373637264618,0.03766105054509415,0.05550049554013875,0.03964321110009911,0.13280475718533202,0.13082259663032705,0.05450941526263627,0.023785926660059464,0.08622398414271557
bratstva,0.07171314741035857,0.07768924302788845,0.035856573705179286,0.061752988047808766,0.046812749003984064,0.12250996015936255,0.14641434262948208,0.06872509960159362,0.02888446215139442,0.0946215139442231
dečki iz bratstva,0.07653575025176233,0.06042296072507553,0.03423967774420947,0.05840886203423968,0.044310171198388724,0.1339375629405841,0.1309164149043303,0.05740181268882175,0.02920443101711984,0.08459214501510574
djevojke iz sestrinstva,0.0732196589769308,0.06820461384152457,0.034102306920762285,0.05917753259779338,0.05115346038114343,0.13039117352056168,0.1464393179538616,0.05917753259779338,0.029087261785356068,0.08124373119358075
hipiji,0.07207207207207207,0.06106106106106106,0.03303303303303303,0.05805805805805806,0.04704704704704705,0.13913913913913914,0.13813813813813813,0.06806806806806807,0.03203203203203203,0.07507507507507508
štreberi,0.069,0.067,0.029,0.057,0.046,0.129,0.143,0.063,0.03,0.085
gotičari,0.07373737373737374,0.06565656565656566,0.03333333333333333,0.05555555555555555,0.048484848484848485,0.13131313131313133,0.1484848484848485,0.0595959595959596,0.03434343434343434,0.0898989898989899
punkeri,0.07007007007007007,0.057057057057057055,0.03203203203203203,0.05105105105105105,0.04604604604604605,0.12912912912912913,0.13313313313313313,0.05905905905905906,0.03003003003003003,0.08108108108108109
Kalifornijci,0.07135470527404343,0.06618407445708377,0.03412616339193381,0.05894519131334023,0.04446742502585315,0.13547052740434332,0.14581178903826267,0.05894519131334023,0.028955532574974147,0.08996897621509824
slavne osobe,0.05279187817258883,0.0700507614213198,0.024365482233502538,0.046700507614213196,0.04467005076142132,0.10050761421319797,0.14822335025380712,0.04060913705583756,0.027411167512690356,0.08223350253807106
crvenokosi,0.072,0.065,0.034,0.056,0.045,0.131,0.145,0.063,0.029,0.082
