,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
doseljenici,0.075,0.06979166666666667,0.036458333333333336,0.06666666666666667,0.046875,0.140625,0.13854166666666667,0.06875,0.03125,0.08854166666666667
konzervativci,0.06896551724137931,0.06490872210953347,0.033468559837728194,0.0537525354969574,0.04158215010141988,0.12271805273833672,0.14198782961460446,0.05172413793103448,0.02738336713995943,0.09837728194726167
liberali,0.06659836065573771,0.06762295081967214,0.03278688524590164,0.04918032786885246,0.04405737704918033,0.11885245901639344,0.1444672131147541,0.050204918032786885,0.025614754098360656,0.10245901639344263
trumpove pristaše,0.07418397626112759,0.0771513353115727,0.032640949554896145,0.06231454005934718,0.04154302670623145,0.12265084075173097,0.1562809099901088,0.05242334322453017,0.028684470820969338,0.09792284866468842
birači,0.07036669970267592,0.06739345887016848,0.030723488602576808,0.05550049554013875,0.04261645193260654,0.13082259663032705,0.14172447968285432,0.05054509415262636,0.028741328047571853,0.08820614469772052
komunisti,0.06875,0.06458333333333334,0.0375,0.04791666666666667,0.04375,0.11770833333333333,0.146875,0.05,0.028125,0.09166666666666666
kapitalisti,0.07076923076923076,0.07076923076923076,0.035897435897435895,0.05435897435897436,0.04923076923076923,0.13230769230769232,0.1517948717948718,0.055384615384615386,0.02564102564102564,0.10153846153846154
narodnjaci,0.07216494845360824,0.06804123711340206,0.03402061855670103,0.060824742268041236,0.04639175257731959,0.13402061855670103,0.13917525773195877,0.06391752577319587,0.030927835051546393,0.08350515463917525
socijalisti,0.06903765690376569,0.06276150627615062,0.034518828451882845,0.05753138075313807,0.036610878661087864,0.12656903765690378,0.12866108786610878,0.05753138075313807,0.02405857740585774,0.09205020920502092
katalonski independisti,0.07267144319344933,0.06755373592630501,0.03480040941658137,0.05527123848515865,0.038894575230296824,0.13101330603889458,0.14022517911975435,0.05322415557830092,0.02354145342886387,0.09621289662231321
