,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Azijati,0.0650887573964497,0.03254437869822485,0.06804733727810651,0.11834319526627218,0.05029585798816568,0.15680473372781065,0.17751479289940827,0.020710059171597635,0.011834319526627219,0.12721893491124261
Amerikanci,0.10126582278481013,0.04556962025316456,0.09113924050632911,0.10632911392405063,0.060759493670886074,0.2481012658227848,0.22025316455696203,0.060759493670886074,0.02531645569620253,0.1518987341772152
Europljani,0.06907894736842106,0.06578947368421052,0.0756578947368421,0.07894736842105263,0.08552631578947369,0.19407894736842105,0.22697368421052633,0.0625,0.019736842105263157,0.16447368421052633
Židovi,0.10249307479224377,0.030470914127423823,0.09141274238227147,0.13850415512465375,0.060941828254847646,0.21052631578947367,0.18282548476454294,0.06925207756232687,0.0221606648199446,0.14127423822714683
Indijanci,0.034055727554179564,0.04953560371517028,0.05263157894736842,0.06191950464396285,0.07739938080495357,0.10835913312693499,0.21362229102167182,0.015479876160990712,0.01238390092879257,0.13003095975232198
Rusi,0.07874015748031496,0.05511811023622047,0.06299212598425197,0.11548556430446194,0.05774278215223097,0.2204724409448819,0.1968503937007874,0.05511811023622047,0.026246719160104987,0.15223097112860892
Afrikanci,0.04316546762589928,0.05755395683453238,0.07553956834532374,0.08273381294964029,0.07194244604316546,0.1366906474820144,0.20503597122302158,0.02877697841726619,0.017985611510791366,0.15827338129496402
Crnci,0.06563706563706563,0.023166023166023165,0.06563706563706563,0.09266409266409266,0.03861003861003861,0.11969111969111969,0.22393822393822393,0.03088803088803089,0.015444015444015444,0.15444015444015444
Meksikanci,0.03858520900321544,0.04501607717041801,0.06109324758842444,0.05787781350482315,0.0707395498392283,0.1189710610932476,0.2572347266881029,0.022508038585209004,0.01929260450160772,0.15112540192926044
Bijelci,0.05539358600583091,0.09912536443148688,0.052478134110787174,0.052478134110787174,0.06705539358600583,0.1282798833819242,0.22157434402332363,0.023323615160349854,0.029154518950437316,0.13411078717201166
