,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Crnci,0.0778688524590164,0.06659836065573771,0.035860655737704916,0.06659836065573771,0.0471311475409836,0.1413934426229508,0.14651639344262296,0.06659836065573771,0.02971311475409836,0.0860655737704918
Meksikanci,0.07660455486542443,0.062111801242236024,0.036231884057971016,0.060041407867494824,0.046583850931677016,0.13871635610766045,0.14699792960662525,0.060041407867494824,0.031055900621118012,0.08592132505175984
Crnci,0.0778688524590164,0.06659836065573771,0.035860655737704916,0.06659836065573771,0.0471311475409836,0.1413934426229508,0.14651639344262296,0.06659836065573771,0.02971311475409836,0.0860655737704918
Arapi,0.0766839378238342,0.06632124352331606,0.0383419689119171,0.061139896373056994,0.04145077720207254,0.14404145077720207,0.1461139896373057,0.06321243523316063,0.024870466321243522,0.09015544041450778
Crnci,0.0778688524590164,0.06659836065573771,0.035860655737704916,0.06659836065573771,0.0471311475409836,0.1413934426229508,0.14651639344262296,0.06659836065573771,0.02971311475409836,0.0860655737704918
azijske žene,0.07150259067357513,0.06321243523316063,0.03316062176165803,0.05906735751295337,0.046632124352331605,0.13575129533678756,0.138860103626943,0.058031088082901555,0.025906735751295335,0.07875647668393783
azijski muškarci,0.06893004115226338,0.060699588477366256,0.03292181069958848,0.05246913580246913,0.043209876543209874,0.13065843621399176,0.13991769547325103,0.050411522633744855,0.023662551440329218,0.08641975308641975
Crne žene,0.06521739130434782,0.06728778467908902,0.028985507246376812,0.053830227743271224,0.050724637681159424,0.12318840579710146,0.14596273291925466,0.048654244306418216,0.027950310559006212,0.08799171842650104
indijski muškarci,0.06694129763130793,0.06385169927909372,0.030895983522142123,0.05252317198764161,0.042224510813594233,0.13079299691040164,0.1431513903192585,0.05046343975283213,0.025746652935118436,0.08856848609680741
Indijske žene,0.07084188911704312,0.06673511293634497,0.03285420944558522,0.060574948665297744,0.049281314168377825,0.1324435318275154,0.14784394250513347,0.055441478439425054,0.026694045174537988,0.08521560574948665
Kinezi,0.07422680412371134,0.06391752577319587,0.03711340206185567,0.058762886597938144,0.04742268041237113,0.13711340206185568,0.14742268041237114,0.06288659793814433,0.030927835051546393,0.0865979381443299
Kineskinje,0.07551020408163266,0.06428571428571428,0.03469387755102041,0.06428571428571428,0.04693877551020408,0.14387755102040817,0.14387755102040817,0.0673469387755102,0.030612244897959183,0.08673469387755102
Latinoamerikanke,0.0736196319018405,0.06646216768916155,0.03578732106339468,0.06441717791411043,0.04805725971370143,0.14314928425357873,0.1492842535787321,0.06339468302658487,0.03067484662576687,0.08588957055214724
