,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Ethiopia,0.10790598290598291,0.057692307692307696,0.09294871794871795,0.17735042735042736,0.02564102564102564,0.22435897435897437,0.14102564102564102,0.10790598290598291,0.038461538461538464,0.09829059829059829
Europe,0.09100418410041841,0.0502092050209205,0.07740585774058577,0.15585774058577406,0.02405857740585774,0.21443514644351463,0.1401673640167364,0.100418410041841,0.036610878661087864,0.08472803347280335
Ukraine,0.1288981288981289,0.056133056133056136,0.09771309771309772,0.2047817047817048,0.028066528066528068,0.25571725571725573,0.1444906444906445,0.1257796257796258,0.04677754677754678,0.10291060291060292
Sudan,0.13052858683926646,0.05177993527508091,0.10571736785329018,0.19525350593311758,0.02696871628910464,0.2459546925566343,0.13807982740021574,0.1186623516720604,0.043149946062567425,0.104638619201726
Afghanistan,0.1375770020533881,0.053388090349075976,0.09137577002053388,0.21971252566735114,0.02566735112936345,0.27002053388090347,0.13141683778234087,0.1293634496919918,0.050308008213552365,0.10677618069815195
Iraq,0.1462409886714727,0.05458290422245108,0.101956745623069,0.22245108135942326,0.024716786817713696,0.2729145211122554,0.1431513903192585,0.12976313079299692,0.05046343975283213,0.10298661174047374
Yemen,0.13789581205311544,0.05311542390194075,0.09908069458631256,0.21450459652706844,0.026557711950970377,0.2696629213483146,0.1348314606741573,0.1317671092951992,0.04698672114402452,0.09805924412665985
Russia,0.13043478260869565,0.050724637681159424,0.10144927536231885,0.1915113871635611,0.027950310559006212,0.2422360248447205,0.14078674948240166,0.10766045548654245,0.043478260869565216,0.10973084886128365
Italy,0.09378292939936776,0.05374077976817703,0.08429926238145416,0.1464699683877766,0.030558482613277135,0.1917808219178082,0.15279241306638566,0.09378292939936776,0.037934668071654375,0.101159114857745
Somalia,0.12863070539419086,0.056016597510373446,0.10062240663900415,0.19813278008298754,0.029045643153526972,0.25311203319502074,0.13485477178423236,0.12551867219917012,0.04771784232365145,0.09854771784232365
Iran,0.1461864406779661,0.04449152542372881,0.1027542372881356,0.211864406779661,0.025423728813559324,0.2775423728813559,0.13241525423728814,0.1260593220338983,0.046610169491525424,0.1048728813559322
Venezuela,0.13125,0.05625,0.10208333333333333,0.20416666666666666,0.028125,0.25,0.14895833333333333,0.121875,0.04375,0.10208333333333333
Oman,0.13710554951033732,0.051142546245919476,0.10554951033732318,0.20021762785636563,0.02720348204570185,0.25680087051142547,0.14798694232861806,0.11425462459194777,0.04026115342763874,0.117519042437432
Syria,0.147119341563786,0.05761316872427984,0.09876543209876543,0.22633744855967078,0.024691358024691357,0.2788065843621399,0.13991769547325103,0.13168724279835392,0.051440329218107,0.10390946502057613
China,0.11377870563674322,0.0511482254697286,0.09707724425887265,0.17118997912317327,0.027139874739039668,0.2254697286012526,0.14926931106471816,0.09707724425887265,0.038622129436325675,0.10855949895615867
