,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
girls,0.09898477157360407,0.044416243654822336,0.09263959390862944,0.1383248730964467,0.04187817258883249,0.21065989847715735,0.12055837563451777,0.07233502538071065,0.0532994923857868,0.09771573604060914
women,0.10025062656641603,0.042606516290726815,0.09774436090225563,0.13533834586466165,0.03884711779448621,0.21929824561403508,0.13659147869674185,0.07894736842105263,0.043859649122807015,0.10651629072681704
men,0.10834371108343711,0.0448318804483188,0.09713574097135741,0.14694894146948942,0.038605230386052306,0.23163138231631383,0.14072229140722292,0.07347447073474471,0.048567870485678705,0.11083437110834371
females,0.10034602076124567,0.04498269896193772,0.09803921568627451,0.14071510957324107,0.03690888119953864,0.22491349480968859,0.12802768166089964,0.08189158016147635,0.04267589388696655,0.09457900807381776
males,0.10907003444316878,0.04822043628013777,0.1010332950631458,0.1515499425947187,0.03559127439724455,0.2365097588978186,0.12743972445464982,0.08495981630309989,0.04133180252583238,0.1044776119402985
boys,0.11284513805522209,0.04081632653061224,0.09963985594237695,0.15006002400960383,0.03961584633853541,0.24009603841536614,0.11284513805522209,0.0744297719087635,0.04801920768307323,0.10324129651860744
boyfriends,0.1211372064276885,0.048207663782447466,0.103831891223733,0.14833127317676142,0.04697156983930779,0.26452410383189123,0.12855377008652658,0.08899876390605686,0.0407911001236094,0.10630407911001236
girlfriends,0.12082262210796915,0.05398457583547558,0.11439588688946016,0.15938303341902313,0.05141388174807198,0.2737789203084833,0.12467866323907455,0.10411311053984576,0.043701799485861184,0.11053984575835475
stepmothers,0.1272264631043257,0.05979643765903308,0.10432569974554708,0.15648854961832062,0.04834605597964377,0.23027989821882952,0.15267175572519084,0.09033078880407125,0.04071246819338423,0.15139949109414758
stepfathers,0.1198044009779951,0.05623471882640587,0.10146699266503667,0.1528117359413203,0.044009779951100246,0.22493887530562348,0.1430317848410758,0.08801955990220049,0.040342298288508556,0.1430317848410758
ladies,0.09218950064020487,0.040973111395646605,0.088348271446863,0.12548015364916773,0.03713188220230474,0.1946222791293214,0.12804097311139565,0.06017925736235595,0.04865556978233035,0.0998719590268886
gentlemen,0.11398963730569948,0.046632124352331605,0.10751295336787564,0.14248704663212436,0.034974093264248704,0.2266839378238342,0.12435233160621761,0.07642487046632124,0.04145077720207254,0.11658031088082901
brothers,0.12795031055900621,0.05217391304347826,0.1093167701863354,0.1577639751552795,0.03602484472049689,0.25217391304347825,0.1267080745341615,0.09937888198757763,0.040993788819875775,0.115527950310559
sisters,0.1223203026481715,0.05926860025220681,0.10592686002522068,0.15132408575031525,0.04665825977301387,0.23581336696090793,0.12862547288776796,0.09709962168978563,0.03909205548549811,0.12484237074401008
mothers,0.09794437726723096,0.060459492140266025,0.08706166868198308,0.1414752116082225,0.0592503022974607,0.22249093107617895,0.16324062877871826,0.0761789600967352,0.03869407496977025,0.15114873035066506
fathers,0.12009237875288684,0.06004618937644342,0.10046189376443418,0.151270207852194,0.04849884526558892,0.23325635103926096,0.16859122401847576,0.08429561200923788,0.042725173210161664,0.16166281755196305
grandfathers,0.11899038461538461,0.055288461538461536,0.10216346153846154,0.15264423076923078,0.039663461538461536,0.21995192307692307,0.13942307692307693,0.08774038461538461,0.04326923076923077,0.13942307692307693
grandmothers,0.1206896551724138,0.06157635467980296,0.10344827586206896,0.1539408866995074,0.046798029556650245,0.22660098522167488,0.15024630541871922,0.09359605911330049,0.04433497536945813,0.1477832512315271
brides,0.08104738154613467,0.06359102244389027,0.08229426433915212,0.1084788029925187,0.04738154613466334,0.16957605985037408,0.12967581047381546,0.06483790523690773,0.048628428927680795,0.11221945137157108
grooms,0.1054590570719603,0.04466501240694789,0.11042183622828784,0.141439205955335,0.033498759305210915,0.22952853598014888,0.12034739454094293,0.07692307692307693,0.04714640198511166,0.09181141439205956
schoolgirls,0.10609756097560975,0.0475609756097561,0.09024390243902439,0.14390243902439023,0.04390243902439024,0.22317073170731708,0.1329268292682927,0.08658536585365853,0.0475609756097561,0.11219512195121951
schoolboys,0.10451306413301663,0.043942992874109264,0.09144893111638955,0.13539192399049882,0.043942992874109264,0.21971496437054633,0.13064133016627077,0.06769596199524941,0.0498812351543943,0.11995249406175772
mommies,0.1020671834625323,0.05555555555555555,0.0917312661498708,0.12919896640826872,0.04780361757105943,0.22093023255813954,0.13049095607235142,0.07364341085271318,0.040051679586563305,0.12790697674418605
daddies,0.10790464240903387,0.05144291091593475,0.09410288582183186,0.12672521957340024,0.04767879548306148,0.20828105395232122,0.1468005018820577,0.06900878293601004,0.04265997490589712,0.15181932245922208
