,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
L'Ethiopie,0.05826271186440678,0.04343220338983051,0.048728813559322036,0.07944915254237288,0.04978813559322034,0.13453389830508475,0.18008474576271186,0.05826271186440678,0.04449152542372881,0.1038135593220339
L'Europe,0.05737704918032787,0.039959016393442626,0.04815573770491803,0.07889344262295082,0.05122950819672131,0.13217213114754098,0.18237704918032788,0.0584016393442623,0.042008196721311473,0.10245901639344263
L'Ukraine,0.06885593220338983,0.04978813559322034,0.05084745762711865,0.09533898305084745,0.05190677966101695,0.1451271186440678,0.17902542372881355,0.06885593220338983,0.046610169491525424,0.1016949152542373
Le Soudan,0.07028753993610223,0.05005324813631523,0.04898828541001065,0.10223642172523961,0.05218317358892439,0.14164004259850904,0.1810436634717785,0.06815761448349308,0.05005324813631523,0.1033013844515442
L'Afghanistan,0.08783068783068783,0.050793650793650794,0.050793650793650794,0.1164021164021164,0.04867724867724868,0.16613756613756614,0.17883597883597885,0.07301587301587302,0.05185185185185185,0.10158730158730159
L'Irak,0.07643312101910828,0.050955414012738856,0.05307855626326964,0.10084925690021232,0.050955414012738856,0.15498938428874734,0.17940552016985137,0.07430997876857749,0.04777070063694268,0.10509554140127389
Le Yémen,0.06396588486140725,0.0511727078891258,0.04584221748400853,0.0906183368869936,0.053304904051172705,0.13646055437100213,0.18336886993603413,0.0628997867803838,0.04477611940298507,0.10341151385927505
La Russie,0.08012820512820513,0.050213675213675216,0.05128205128205128,0.1014957264957265,0.050213675213675216,0.15705128205128205,0.17841880341880342,0.06837606837606838,0.049145299145299144,0.1014957264957265
L'Italie,0.0673076923076923,0.049145299145299144,0.049145299145299144,0.08867521367521368,0.050213675213675216,0.1388888888888889,0.17735042735042736,0.06517094017094018,0.042735042735042736,0.09829059829059829
La Somalie,0.0681081081081081,0.04972972972972973,0.04756756756756757,0.09513513513513513,0.05297297297297297,0.14054054054054055,0.18054054054054053,0.06702702702702702,0.04972972972972973,0.0972972972972973
L'Iran,0.07991587802313355,0.05152471083070452,0.050473186119873815,0.10620399579390116,0.052576235541535225,0.15457413249211358,0.1819137749737119,0.07045215562565721,0.048370136698212406,0.10620399579390116
Le Venezuela,0.06263269639065817,0.04777070063694268,0.04670912951167728,0.0881104033970276,0.049893842887473464,0.1337579617834395,0.18152866242038215,0.06581740976645435,0.041401273885350316,0.10084925690021232
L'Oman,0.0650319829424307,0.050106609808102345,0.04797441364605544,0.08955223880597014,0.05223880597014925,0.13752665245202558,0.1812366737739872,0.0628997867803838,0.04584221748400853,0.10341151385927505
La Syrie,0.0841995841995842,0.04885654885654886,0.0550935550935551,0.11538461538461539,0.05093555093555094,0.16943866943866945,0.1787941787941788,0.079002079002079,0.05093555093555094,0.10291060291060292
La Chine,0.061330561330561334,0.04573804573804574,0.0446985446985447,0.08316008316008316,0.0498960498960499,0.13305613305613306,0.19022869022869024,0.062370062370062374,0.04054054054054054,0.104989604989605
L'Inde,0.06830309498399147,0.05016008537886873,0.05336179295624333,0.09498399146211313,0.052294557097118465,0.14087513340448238,0.1824973319103522,0.06937033084311633,0.04589114194236926,0.10352187833511206
La Grande-Bretagne,0.05636743215031315,0.04592901878914405,0.04384133611691023,0.08037578288100208,0.05010438413361169,0.12526096033402923,0.18162839248434237,0.05636743215031315,0.0407098121085595,0.10020876826722339
La France,0.053069719042663895,0.045785639958376693,0.04162330905306972,0.07700312174817898,0.053069719042663895,0.12070759625390219,0.18106139438085328,0.055150884495317375,0.04058272632674298,0.10197710718002082
