,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
personnes Noirs,0.056842105263157895,0.04,0.045263157894736845,0.06736842105263158,0.042105263157894736,0.12631578947368421,0.18105263157894738,0.04631578947368421,0.037894736842105266,0.10210526315789474
Mexicains,0.060935799782372145,0.051142546245919476,0.04787812840043525,0.07399347116430903,0.05223068552774755,0.1294885745375408,0.1838955386289445,0.05331882480957562,0.03808487486398259,0.10337323177366703
Noirs,0.06183368869936034,0.04157782515991471,0.04797441364605544,0.08315565031982942,0.046908315565031986,0.13646055437100213,0.17484008528784648,0.05970149253731343,0.04371002132196162,0.10127931769722814
Arabes,0.07934782608695652,0.04565217391304348,0.04891304347826087,0.10326086956521739,0.04565217391304348,0.15434782608695652,0.175,0.06847826086956521,0.04673913043478261,0.10434782608695652
femmes asiatiques,0.06278538812785388,0.04223744292237443,0.0502283105022831,0.06621004566210045,0.05593607305936073,0.1278538812785388,0.1860730593607306,0.04794520547945205,0.030821917808219176,0.10388127853881278
femmes noires,0.06759656652360516,0.0536480686695279,0.05150214592274678,0.07296137339055794,0.05150214592274678,0.13197424892703863,0.1888412017167382,0.0536480686695279,0.0407725321888412,0.1072961373390558
hommes indiens,0.0570801317233809,0.04500548847420417,0.042810098792535674,0.07025246981339188,0.048298572996706916,0.1163556531284303,0.19099890230515917,0.04500548847420417,0.03293084522502744,0.10428100987925357
femmes indiennes,0.06469920544835414,0.043132803632236094,0.049943246311010214,0.07264472190692395,0.053348467650397274,0.12939841089670828,0.18501702610669693,0.049943246311010214,0.032917139614074914,0.10896708286038592
hommes chinois,0.061068702290076333,0.04143947655398037,0.04143947655398037,0.0697928026172301,0.04689203925845147,0.12104689203925845,0.19738276990185388,0.05125408942202835,0.030534351145038167,0.10687022900763359
femmes chinoises,0.061224489795918366,0.03968253968253968,0.046485260770975055,0.06689342403628118,0.05328798185941043,0.12131519274376418,0.19160997732426305,0.048752834467120185,0.030612244897959183,0.10657596371882086
Latines,0.06090808416389812,0.03986710963455149,0.048726467331118496,0.06755260243632337,0.046511627906976744,0.12403100775193798,0.1893687707641196,0.046511627906976744,0.036544850498338874,0.09966777408637874
latinos,0.05997818974918211,0.03271537622682661,0.04580152671755725,0.061068702290076333,0.04471101417666303,0.12104689203925845,0.17884405670665213,0.04471101417666303,0.03816793893129771,0.09487459105779716
enfants noirs,0.07684210526315789,0.05157894736842105,0.06315789473684211,0.07894736842105263,0.056842105263157895,0.14526315789473684,0.20210526315789473,0.056842105263157895,0.04,0.10842105263157895
Afro-américains,0.07119386637458927,0.03614457831325301,0.04928806133625411,0.07886089813800658,0.03943044906900329,0.13253012048192772,0.1796276013143483,0.05147864184008762,0.04271631982475356,0.08762322015334063
Afghans,0.09081081081081081,0.04864864864864865,0.055135135135135134,0.12,0.04756756756756757,0.17189189189189188,0.1772972972972973,0.0745945945945946,0.055135135135135134,0.09837837837837837
Irakiens,0.08963282937365011,0.047516198704103674,0.052915766738660906,0.1101511879049676,0.04859611231101512,0.16630669546436286,0.1771058315334773,0.07019438444924406,0.0550755939524838,0.10043196544276457
peuple iranien,0.07438894792773645,0.04144527098831031,0.04675876726886291,0.09564293304994687,0.03825717321997875,0.14452709883103082,0.1689691817215728,0.07013815090329437,0.04144527098831031,0.09776833156216791
Iraniens,0.08450704225352113,0.04875406283856988,0.05200433369447454,0.10509209100758396,0.05200433369447454,0.16034669555796316,0.18418201516793067,0.06933911159263272,0.05200433369447454,0.10617551462621885
Syriens,0.09416581371545547,0.04196519959058342,0.05629477993858751,0.12487205731832139,0.03480040941658137,0.18219037871033777,0.1647901740020471,0.08597748208802457,0.052200614124872056,0.08802456499488229
Pakistanais,0.06734006734006734,0.04489337822671156,0.04264870931537598,0.0819304152637486,0.04826038159371493,0.13692480359147025,0.18069584736251404,0.05723905723905724,0.04152637485970819,0.10886644219977554
Roumains,0.06222707423580786,0.05240174672489083,0.0425764192139738,0.08078602620087336,0.055676855895196505,0.12882096069868995,0.18668122270742357,0.056768558951965066,0.043668122270742356,0.10589519650655022
Turcs,0.07011866235167206,0.05501618122977346,0.045307443365695796,0.0895361380798274,0.05070118662351672,0.14563106796116504,0.18770226537216828,0.06472491909385113,0.042071197411003236,0.11003236245954692
musulmans,0.08360836083608361,0.0462046204620462,0.04950495049504951,0.10231023102310231,0.0429042904290429,0.15291529152915292,0.17491749174917492,0.06820682068206821,0.045104510451045104,0.10451045104510451
mormons,0.08636836628511967,0.046826222684703434,0.06347554630593132,0.09469302809573361,0.04058272632674298,0.16337148803329865,0.17793964620187305,0.06659729448491156,0.054110301768990635,0.09261186264308012
immigrants,0.06330472103004292,0.03111587982832618,0.04184549356223176,0.07296137339055794,0.03540772532188841,0.13090128755364808,0.16952789699570817,0.0536480686695279,0.043991416309012876,0.09227467811158799
homosexuels,0.07897664071190211,0.035595105672969966,0.058954393770856504,0.08120133481646273,0.04338153503893215,0.15350389321468297,0.17686318131256953,0.054505005561735265,0.0389321468298109,0.08898776418242492
lesbiennes,0.0757238307349666,0.0467706013363029,0.05790645879732739,0.0757238307349666,0.053452115812917596,0.16146993318485522,0.19042316258351893,0.05902004454342984,0.0400890868596882,0.09242761692650334
queers,0.07236842105263158,0.03728070175438596,0.05043859649122807,0.08442982456140351,0.041666666666666664,0.15021929824561403,0.16557017543859648,0.06030701754385965,0.04057017543859649,0.08662280701754387
gays,0.08030803080308031,0.03850385038503851,0.0594059405940594,0.08360836083608361,0.04400440044004401,0.1573157315731573,0.17491749174917492,0.0594059405940594,0.045104510451045104,0.0924092409240924
pédés,0.07025246981339188,0.04610318331503842,0.048298572996706916,0.08232711306256861,0.04939626783754116,0.1394072447859495,0.18111964873765093,0.059275521405049394,0.042810098792535674,0.09989023051591657
tapettes,0.06829765545361875,0.0254841997961264,0.05708460754332314,0.07951070336391437,0.03567787971457696,0.1437308868501529,0.15494393476044852,0.06931702344546381,0.029561671763506627,0.07951070336391437
