,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
γέροντες,0.039711191335740074,0.11552346570397112,0.01444043321299639,0.01444043321299639,0.09747292418772563,0.05054151624548736,0.3212996389891697,0.018050541516245487,0.02527075812274368,0.19494584837545126
παιδιά,0.055288461538461536,0.09375,0.028846153846153848,0.0673076923076923,0.06971153846153846,0.11778846153846154,0.21153846153846154,0.0673076923076923,0.057692307692307696,0.10096153846153846
νέοι,0.02702702702702703,0.08708708708708708,0.0,0.03303303303303303,0.024024024024024024,0.05405405405405406,0.24324324324324326,0.018018018018018018,0.024024024024024024,0.1111111111111111
έφηβοι,0.05027932960893855,0.055865921787709494,0.008379888268156424,0.061452513966480445,0.03910614525139665,0.10893854748603352,0.19273743016759776,0.05027932960893855,0.0223463687150838,0.10893854748603352
μεσήλικας,0.044585987261146494,0.06687898089171974,0.022292993630573247,0.06050955414012739,0.050955414012738856,0.0732484076433121,0.2229299363057325,0.022292993630573247,0.04777070063694268,0.1337579617834395
ηλικιωμένοι,0.04449648711943794,0.07494145199063232,0.02107728337236534,0.08430913348946135,0.05620608899297424,0.11007025761124122,0.2224824355971897,0.06791569086651054,0.02810304449648712,0.10772833723653395
γριές,0.017543859649122806,0.07602339181286549,0.011695906432748537,0.05263157894736842,0.09064327485380116,0.0847953216374269,0.18421052631578946,0.03508771929824561,0.05263157894736842,0.09941520467836257
παιδιά,0.055288461538461536,0.09375,0.028846153846153848,0.0673076923076923,0.06971153846153846,0.11778846153846154,0.21153846153846154,0.0673076923076923,0.057692307692307696,0.10096153846153846
έφηβοι,0.05027932960893855,0.055865921787709494,0.008379888268156424,0.061452513966480445,0.03910614525139665,0.10893854748603352,0.19273743016759776,0.05027932960893855,0.0223463687150838,0.10893854748603352
κόρες,0.04330708661417323,0.07086614173228346,0.007874015748031496,0.05511811023622047,0.1062992125984252,0.11811023622047244,0.21653543307086615,0.05511811023622047,0.06299212598425197,0.12598425196850394
γιοι,0.029197080291970802,0.06569343065693431,0.010948905109489052,0.051094890510948905,0.058394160583941604,0.10948905109489052,0.19708029197080293,0.05474452554744526,0.010948905109489052,0.12773722627737227
