,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
κορίτσια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
γυναίκες,0.0,0.0,0.0,0.0,0.3076923076923077,0.07692307692307693,0.38461538461538464,0.0,0.0,0.0
άνδρες,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
θηλυκά,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.3157894736842105,0.2631578947368421,0.05263157894736842,0.10526315789473684,0.10526315789473684
αρσενικά,0.2,0.13333333333333333,0.2,0.26666666666666666,0.16666666666666666,0.4,0.3333333333333333,0.2,0.13333333333333333,0.16666666666666666
αγόρια,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693
φίλοι,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333
φίλες,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μητριές,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333
πατριοί,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0
Κυρίες,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.1,0.0,0.0
Κύριοι,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.0,0.38461538461538464,0.0,0.07692307692307693,0.07692307692307693,0.0
αδελφοί,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
αδελφές,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μητέρες,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0
πατέρες,0.0,0.0,0.0,0.0,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.0,0.0,0.0
παππούδες,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0
γιαγιάδες,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,0.0,0.1111111111111111,0.0,0.0
νύφες,0.2631578947368421,0.05263157894736842,0.21052631578947367,0.3157894736842105,0.10526315789473684,0.47368421052631576,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.0
γαμπροί,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0
μαθήτριες,0.05,0.05,0.05,0.05,0.25,0.3,0.4,0.05,0.05,0.2
μαθητές,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0
μαμάδες,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μπαμπάδες,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.0,0.0,0.0
