,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
χίπστερ,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.09523809523809523,0.42857142857142855,0.23809523809523808,0.14285714285714285,0.09523809523809523,0.09523809523809523
σπασίκλες,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0
βλάχοι,0.125,0.0,0.125,0.125,0.0,0.375,0.0,0.125,0.0,0.0
άστεγοι,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.5,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142
φεμινίστριες,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.35294117647058826,0.17647058823529413,0.35294117647058826,0.058823529411764705,0.058823529411764705,0.058823529411764705
πλούσιοι,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667
φτωχοί,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.05263157894736842,0.05263157894736842,0.05263157894736842
εγκληματίες,0.23076923076923078,0.038461538461538464,0.23076923076923078,0.38461538461538464,0.038461538461538464,0.5384615384615384,0.15384615384615385,0.07692307692307693,0.19230769230769232,0.07692307692307693
aδελφότητες,0.25,0.0,0.25,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0
μέλος aδελφότητας,0.1388888888888889,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.3611111111111111,0.3055555555555556,0.1111111111111111,0.08333333333333333,0.1388888888888889
μέλος aδελφότητας,0.1388888888888889,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.3611111111111111,0.3055555555555556,0.1111111111111111,0.08333333333333333,0.1388888888888889
χίπιδες,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0
φυτά,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0
γκοθ,0.1,0.05,0.1,0.15,0.1,0.4,0.2,0.1,0.1,0.05
πανκ,0.25,0.09375,0.21875,0.28125,0.125,0.40625,0.1875,0.1875,0.125,0.09375
Καλιφορνέζοι,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
διασημότητες,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.23809523809523808,0.14285714285714285,0.047619047619047616,0.09523809523809523
κοκκινομάλλες,0.125,0.0,0.125,0.125,0.0,0.25,0.0,0.125,0.0,0.0
