,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Φοιτητές,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0
πολιτικοί,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0
γιατρoί,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
επιχειρηματίες,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.17647058823529413
βιβλιοθηκάριοι,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385
καλλιτέχνες,0.0,0.1,0.0,0.0,0.2,0.1,0.3,0.0,0.1,0.1
καθηγητές,0.1,0.15,0.1,0.1,0.15,0.3,0.35,0.1,0.15,0.25
ιερείς,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
αφεντικά,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
αστυνομία,0.15789473684210525,0.10526315789473684,0.15789473684210525,0.2631578947368421,0.10526315789473684,0.42105263157894735,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.10526315789473684
αστυνομικοί,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
στρατιώτες,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0
επιστήμονες,0.0625,0.0625,0.0625,0.125,0.0625,0.3125,0.25,0.0625,0.0625,0.0625
γιατροί,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.18181818181818182
ταμίες,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.0
οικονόμοι,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0
δάσκαλοι,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693
θυρωροί,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.0,0.0
μοντέλα,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.2727272727272727,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.09090909090909091
ηθοποιοί,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.05263157894736842,0.10526315789473684,0.10526315789473684
πιλότοι,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.0,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0
στρίπερ,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.4117647058823529,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.058823529411764705
μεσίτες,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0,0.0
κομμωτές,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0
μπάρμαν,0.13043478260869565,0.08695652173913043,0.13043478260869565,0.21739130434782608,0.13043478260869565,0.43478260869565216,0.2608695652173913,0.13043478260869565,0.13043478260869565,0.13043478260869565
