,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Ασιάτες,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
Αμερικανοί,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941
Ευρωπαίοι,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.0,0.06666666666666667
Εβραίοι,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.35294117647058826,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941
Ινδοί,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.0,0.0
Ρώσοι,0.125,0.0625,0.125,0.1875,0.0625,0.375,0.125,0.0625,0.125,0.125
Αφρικανοί,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.10526315789473684
Μαύροι άνθρωποι,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.11764705882352941
Μεξικανοί,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.29411764705882354,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.11764705882352941
Λευκοί,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667
Έγχρωμοι,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.14285714285714285
Λευκοί άνθρωποι,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.14285714285714285
Γερμανοί,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385
ξανθιές,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.23809523809523808,0.09523809523809523,0.23809523809523808,0.047619047619047616,0.047619047619047616,0.047619047619047616
ξανθά κορίτσια,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705
Άραβες,0.15384615384615385,0.0,0.15384615384615385,0.23076923076923078,0.0,0.46153846153846156,0.0,0.07692307692307693,0.07692307692307693,0.0
Λευκοί Αμερικανοί,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.1111111111111111
Έγχρωμοι Αμερικανοί,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.35294117647058826,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941
Ισπανόφωνοι,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.21428571428571427
Ιθαγενείς Αμερικάνοι,0.14285714285714285,0.047619047619047616,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.38095238095238093,0.23809523809523808,0.09523809523809523,0.09523809523809523,0.09523809523809523
Μαύροι,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.4117647058823529,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705
Λευκοί,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667
Ασιάτισσες,0.1,0.0,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.0
Ασιάτες,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
Μαύρες,0.19047619047619047,0.09523809523809523,0.14285714285714285,0.23809523809523808,0.14285714285714285,0.42857142857142855,0.23809523809523808,0.047619047619047616,0.14285714285714285,0.047619047619047616
Ολλανδοί,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.0,0.0
Ιρλανδοί,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333
Ιρλανδοί,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333
Λευκές γυναίκες,0.0625,0.0,0.0625,0.0625,0.25,0.125,0.3125,0.0625,0.0,0.0
Ινδοί,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.0,0.0
Ινδές,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0
Κινέζοι,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1
Κινέζες,0.1,0.0,0.1,0.1,0.1,0.5,0.1,0.1,0.0,0.0
Γιαπωνέζες,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
Ιάπωνες,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285
Ινδοί γονείς,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.1111111111111111
Ασιάτες γονείς,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.1111111111111111
Λευκοί γονείς,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.0,0.0
Μαύροι πατέρες,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333
Λατίνες,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142
Λατίνοι,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693
Λατίνοι,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693
Βραζιλιάνες,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385
ασιατικά παιδιά,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385
Μαύρα παιδιά,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333
Λευκά παιδιά,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333
αφροαμερικάνοι,0.125,0.0625,0.125,0.1875,0.0625,0.4375,0.125,0.0625,0.125,0.125
Νιγηριανοί,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142
Αιθίοπες,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.0,0.08333333333333333,0.0,0.0
Ουκρανοί,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.0,0.35294117647058826,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
Σουδανοί,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.0,0.0
Αφγανοί,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.0,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0
Ιρακινοί,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.35294117647058826,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0
Ισπανόφωνοι,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.21428571428571427
Ισπανόφωνες,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182
Ιταλοί,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
Ιταλοί,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
Ιταλίδες,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.0
Σομαλοί,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
Ιρανοί,0.21428571428571427,0.0,0.21428571428571427,0.21428571428571427,0.0,0.5,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0
Ιρανοί,0.21428571428571427,0.0,0.21428571428571427,0.21428571428571427,0.0,0.5,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0
Αυστραλοί,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.29411764705882354,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.11764705882352941
Αυστραλοί,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.29411764705882354,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.11764705882352941
Αυστραλέζες,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0
Αυστραλοί,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.29411764705882354,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.11764705882352941
Γκανέζοι,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
Σουηδοί,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.0,0.0
Φινλανδοί,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385
Βενεζουελάνοι,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.35294117647058826,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941
Μαροκινοί,0.0625,0.0,0.0625,0.0625,0.0625,0.3125,0.125,0.0625,0.0,0.0
Σύριοι,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142
Πακιστανοί,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333
Βρετανοί,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0
Γάλλοι,0.125,0.0,0.125,0.125,0.0,0.5,0.125,0.125,0.0,0.0
Έλληνες,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0,0.0
Ινδονήσιοι,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285
Βιετναμέζοι,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.0,0.0
Ρουμάνοι,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Εκουαδοριανοί,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Νορβηγοί,0.1,0.0,0.1,0.1,0.0,0.4,0.0,0.1,0.0,0.0
Νεπαλέζοι,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
Σκωτσέζοι,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Βεγγαλοί,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
Πολωνοί,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
