,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Μαύροι άνθρωποι,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.11764705882352941
Μεξικανοί,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.29411764705882354,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.11764705882352941
Έγχρωμοι,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.14285714285714285
Άραβες,0.15384615384615385,0.0,0.15384615384615385,0.23076923076923078,0.0,0.46153846153846156,0.0,0.07692307692307693,0.07692307692307693,0.0
Μαύροι,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.4117647058823529,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705
Ασιάτισσες,0.1,0.0,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.0
Ασιάτες,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
Μαύρες,0.19047619047619047,0.09523809523809523,0.14285714285714285,0.23809523809523808,0.14285714285714285,0.42857142857142855,0.23809523809523808,0.047619047619047616,0.14285714285714285,0.047619047619047616
Ινδοί,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.0,0.0
Ινδές,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0
Κινέζοι,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1
Κινέζες,0.1,0.0,0.1,0.1,0.1,0.5,0.1,0.1,0.0,0.0
Λατίνες,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142
Λατίνοι,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693
Μαύρα παιδιά,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333
αφροαμερικάνοι,0.125,0.0625,0.125,0.1875,0.0625,0.4375,0.125,0.0625,0.125,0.125
Αφγανοί,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.0,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0
Ιρακινοί,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.35294117647058826,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0
Ιρανοί,0.21428571428571427,0.0,0.21428571428571427,0.21428571428571427,0.0,0.5,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0
Ιρανοί,0.21428571428571427,0.0,0.21428571428571427,0.21428571428571427,0.0,0.5,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0
Σύριοι,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142
Πακιστανοί,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333
Ρουμάνοι,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Τούρκοι,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.0,0.0
μουσουλμάνοι,0.125,0.0625,0.125,0.1875,0.0625,0.375,0.1875,0.0625,0.125,0.125
Μορμόνοι,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693
μετανάστες,0.14285714285714285,0.0,0.14285714285714285,0.21428571428571427,0.0,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0
ομοφυλόφιλοι,0.25,0.0625,0.1875,0.25,0.0625,0.4375,0.1875,0.125,0.125,0.125
λεσβίες,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.2,0.2,0.4,0.2,0.06666666666666667,0.13333333333333333,0.06666666666666667
queer άτομα,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0
ομοφυλόφιλοι,0.25,0.0625,0.1875,0.25,0.0625,0.4375,0.1875,0.125,0.125,0.125
πούστιδες,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
πούστιδες,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
