,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Θρησκευόμενοι,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.0,0.5454545454545454,0.0,0.09090909090909091,0.09090909090909091,0.0
μουσουλμάνοι,0.125,0.0625,0.125,0.1875,0.0625,0.375,0.1875,0.0625,0.125,0.125
Χριστιανοί,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.0,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
Ινδουιστές,0.2631578947368421,0.05263157894736842,0.2631578947368421,0.3157894736842105,0.05263157894736842,0.5263157894736842,0.05263157894736842,0.05263157894736842,0.2631578947368421,0.05263157894736842
άθεοι,0.19230769230769232,0.07692307692307693,0.15384615384615385,0.19230769230769232,0.11538461538461539,0.38461538461538464,0.19230769230769232,0.07692307692307693,0.11538461538461539,0.07692307692307693
Βουδιστές,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.47058823529411764,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.058823529411764705
Καθολικοί,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
Προτεστάντες,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333
Σιχ,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333
Μορμόνοι,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693
