,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ancianos,0.07329842931937172,0.07591623036649214,0.049738219895287955,0.09162303664921466,0.0549738219895288,0.15968586387434555,0.2094240837696335,0.04842931937172775,0.04581151832460733,0.13481675392670156
niños,0.06746031746031746,0.06349206349206349,0.05423280423280423,0.08994708994708994,0.04365079365079365,0.164021164021164,0.19047619047619047,0.046296296296296294,0.041005291005291,0.10978835978835978
millenials,0.06919060052219321,0.06788511749347259,0.04308093994778068,0.08224543080939947,0.04699738903394256,0.16057441253263707,0.19321148825065274,0.048302872062663184,0.04046997389033943,0.1174934725848564
adolescentes,0.07509881422924901,0.06455862977602109,0.052700922266139656,0.09090909090909091,0.043478260869565216,0.16469038208168643,0.2002635046113307,0.05138339920948617,0.04216073781291173,0.11462450592885376
boomers,0.06390977443609022,0.06516290726817042,0.041353383458646614,0.07769423558897243,0.042606516290726815,0.15037593984962405,0.19674185463659147,0.03884711779448621,0.03634085213032581,0.12280701754385964
personas de edad,0.06361323155216285,0.061068702290076333,0.043256997455470736,0.0648854961832061,0.04071246819338423,0.14631043256997456,0.1946564885496183,0.04961832061068702,0.039440203562340966,0.089058524173028
ancianas,0.0777479892761394,0.0777479892761394,0.05093833780160858,0.0871313672922252,0.058981233243967826,0.15013404825737264,0.21447721179624665,0.04423592493297587,0.049597855227882036,0.14343163538873996
niñas,0.06758620689655172,0.05931034482758621,0.05517241379310345,0.08551724137931034,0.044137931034482755,0.16,0.19586206896551725,0.05103448275862069,0.034482758620689655,0.1103448275862069
adolescentes,0.07509881422924901,0.06455862977602109,0.052700922266139656,0.09090909090909091,0.043478260869565216,0.16469038208168643,0.2002635046113307,0.05138339920948617,0.04216073781291173,0.11462450592885376
hijas,0.07212205270457697,0.06934812760055478,0.05547850208044383,0.09153952843273232,0.05131761442441054,0.16920943134535368,0.20110957004160887,0.056865464632454926,0.04299583911234397,0.1276005547850208
hijos,0.07417582417582418,0.07005494505494506,0.0521978021978022,0.09615384615384616,0.050824175824175824,0.1662087912087912,0.1978021978021978,0.057692307692307696,0.04532967032967033,0.12774725274725274
