,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Etiopía,0.06832298136645963,0.07204968944099378,0.0484472049689441,0.08944099378881988,0.05093167701863354,0.15403726708074533,0.20496894409937888,0.04472049689440994,0.04596273291925466,0.14037267080745341
Europa,0.07591623036649214,0.061518324607329845,0.051047120418848166,0.09554973821989529,0.04842931937172775,0.15968586387434555,0.21335078534031413,0.04581151832460733,0.03664921465968586,0.13481675392670156
Ucrania,0.06426735218508997,0.06940874035989718,0.05012853470437018,0.08868894601542417,0.04884318766066838,0.15552699228791775,0.2120822622107969,0.04627249357326478,0.04498714652956298,0.13881748071979436
Sudán,0.0793854033290653,0.06530089628681178,0.04865556978233035,0.09859154929577464,0.05377720870678617,0.15492957746478872,0.21895006402048656,0.05121638924455826,0.04225352112676056,0.13700384122919335
Afganistán,0.0792838874680307,0.07289002557544758,0.049872122762148335,0.10613810741687979,0.04603580562659847,0.16751918158567775,0.21739130434782608,0.05754475703324808,0.04731457800511509,0.14705882352941177
Irak,0.07480314960629922,0.06824146981627296,0.051181102362204724,0.09580052493438321,0.047244094488188976,0.16535433070866143,0.2020997375328084,0.048556430446194225,0.04199475065616798,0.13385826771653545
Yemen,0.07170795306388526,0.0651890482398957,0.04954367666232073,0.09256844850065189,0.048239895697522815,0.1590612777053455,0.20860495436766624,0.04563233376792699,0.03911342894393742,0.13820078226857888
Rusia,0.06961178045515395,0.07095046854082998,0.0535475234270415,0.09370816599732262,0.05220883534136546,0.1566265060240964,0.20615796519410978,0.04819277108433735,0.0428380187416332,0.1392235609103079
Italia,0.06955380577427822,0.06561679790026247,0.049868766404199474,0.08661417322834646,0.051181102362204724,0.15354330708661418,0.21128608923884515,0.04068241469816273,0.03674540682414698,0.14041994750656167
Somalia,0.06973684210526315,0.06710526315789474,0.05,0.09078947368421053,0.05,0.15789473684210525,0.20526315789473684,0.04736842105263158,0.042105263157894736,0.1355263157894737
Irán,0.08118556701030928,0.07731958762886598,0.05670103092783505,0.09922680412371133,0.04896907216494845,0.16237113402061856,0.21520618556701032,0.05154639175257732,0.04768041237113402,0.14432989690721648
Venezuela,0.06827309236947791,0.07362784471218206,0.050870147255689425,0.09370816599732262,0.0535475234270415,0.15528781793842034,0.21151271753681392,0.04819277108433735,0.04417670682730924,0.1392235609103079
Omán,0.07672634271099744,0.06649616368286446,0.049872122762148335,0.0959079283887468,0.05115089514066496,0.1585677749360614,0.20971867007672634,0.04859335038363171,0.04092071611253197,0.14066496163682865
Siria,0.07190412782956059,0.0692410119840213,0.05059920106524634,0.09187749667110519,0.05059920106524634,0.15978695073235685,0.20905459387483355,0.04660452729693742,0.041278295605858856,0.1384820239680426
Porcelana,0.06402048655569782,0.06914212548015365,0.04865556978233035,0.088348271446863,0.05377720870678617,0.14852752880921896,0.20614596670934698,0.04481434058898848,0.04737516005121639,0.14084507042253522
India,0.0703851261620186,0.06905710491367861,0.049136786188579015,0.09163346613545817,0.05046480743691899,0.1593625498007968,0.20849933598937584,0.04249667994687915,0.0398406374501992,0.1394422310756972
Gran Bretaña,0.06766917293233082,0.07017543859649122,0.047619047619047616,0.09147869674185463,0.05012531328320802,0.15664160401002505,0.20050125313283207,0.047619047619047616,0.045112781954887216,0.13659147869674185
Francia,0.07255936675461741,0.06728232189973615,0.052770448548812667,0.08970976253298153,0.051451187335092345,0.158311345646438,0.20448548812664907,0.04353562005277045,0.03825857519788918,0.13324538258575197
Grecia,0.07047872340425532,0.0678191489361702,0.04920212765957447,0.09042553191489362,0.05319148936170213,0.15691489361702127,0.21409574468085107,0.0425531914893617,0.0398936170212766,0.13962765957446807
Escocia,0.06777493606138107,0.06905370843989769,0.04603580562659847,0.08951406649616368,0.05370843989769821,0.14705882352941177,0.20460358056265984,0.04475703324808184,0.04475703324808184,0.13938618925831203
Paraguay,0.07160804020100503,0.07160804020100503,0.05025125628140704,0.09170854271356783,0.05150753768844221,0.15954773869346733,0.20477386934673367,0.05025125628140704,0.0414572864321608,0.13819095477386933
Brasil,0.07554417413572344,0.0678617157490397,0.0499359795134443,0.09475032010243278,0.05121638924455826,0.15492957746478872,0.2112676056338028,0.046094750320102434,0.03841229193341869,0.13956466069142126
África,0.07339449541284404,0.06290956749672345,0.04980340760157274,0.09305373525557012,0.05111402359108781,0.15858453473132372,0.21100917431192662,0.047182175622542594,0.03800786369593709,0.12844036697247707
