,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
asiáticos,0.07460732984293193,0.07722513089005235,0.051047120418848166,0.08900523560209424,0.0549738219895288,0.1518324607329843,0.2081151832460733,0.04842931937172775,0.04712041884816754,0.13481675392670156
americanos,0.07069408740359898,0.07455012853470437,0.05141388174807198,0.08611825192802057,0.05012853470437018,0.15295629820051415,0.1953727506426735,0.04755784061696658,0.04498714652956298,0.12596401028277635
europeos,0.06363636363636363,0.07012987012987013,0.046753246753246755,0.08311688311688312,0.05194805194805195,0.15454545454545454,0.2077922077922078,0.046753246753246755,0.04285714285714286,0.12727272727272726
judios,0.07824933687002653,0.08222811671087533,0.05305039787798409,0.09018567639257294,0.050397877984084884,0.15915119363395225,0.20822281167108753,0.04907161803713528,0.05172413793103448,0.1419098143236074
indios,0.06973684210526315,0.07368421052631578,0.04473684210526316,0.0881578947368421,0.05131578947368421,0.15657894736842104,0.2026315789473684,0.04473684210526316,0.042105263157894736,0.12894736842105264
rusos,0.07343124165554073,0.0814419225634179,0.0534045393858478,0.09345794392523364,0.0520694259012016,0.1628838451268358,0.205607476635514,0.04806408544726302,0.050734312416555405,0.14018691588785046
africanos,0.07352941176470588,0.0748663101604278,0.04679144385026738,0.09358288770053476,0.04946524064171123,0.15508021390374332,0.19786096256684493,0.045454545454545456,0.0427807486631016,0.12834224598930483
personas de color,0.0703851261620186,0.07171314741035857,0.05179282868525897,0.07436918990703852,0.05312084993359894,0.1460823373173971,0.19787516600265603,0.04780876494023904,0.043824701195219126,0.11553784860557768
mexicanos,0.06463878326996197,0.07097591888466413,0.045627376425855515,0.07984790874524715,0.048162230671736375,0.14195183776932827,0.18377693282636248,0.046894803548795945,0.043092522179974654,0.1267427122940431
blancos,0.07197943444730077,0.07197943444730077,0.04627249357326478,0.07969151670951156,0.05269922879177378,0.14524421593830333,0.2069408740359897,0.04498714652956298,0.04627249357326478,0.13110539845758354
negros,0.07642487046632124,0.07642487046632124,0.04922279792746114,0.08160621761658031,0.04922279792746114,0.15544041450777202,0.20207253886010362,0.046632124352331605,0.04792746113989637,0.13082901554404144
