,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
stariji,0.04262295081967213,0.06885245901639345,0.022950819672131147,0.04426229508196721,0.03770491803278689,0.08524590163934426,0.13278688524590163,0.04426229508196721,0.02459016393442623,0.14262295081967213
djeca,0.03262955854126679,0.05566218809980806,0.02111324376199616,0.036468330134357005,0.04222648752399232,0.0671785028790787,0.15355086372360843,0.03838771593090211,0.02111324376199616,0.12092130518234165
milenijalci,0.03322784810126582,0.07278481012658228,0.028481012658227847,0.03639240506329114,0.03639240506329114,0.08544303797468354,0.12974683544303797,0.03955696202531646,0.02689873417721519,0.12341772151898735
tinejdžeri,0.03715670436187399,0.05815831987075929,0.022617124394184167,0.0420032310177706,0.029079159935379646,0.07592891760904685,0.13408723747980614,0.048465266558966075,0.017770597738287562,0.12277867528271405
boomeri,0.0440251572327044,0.06918238993710692,0.02830188679245283,0.03930817610062893,0.03930817610062893,0.09748427672955975,0.139937106918239,0.04874213836477988,0.0330188679245283,0.13050314465408805
stari ljudi,0.04567699836867863,0.05872756933115824,0.02773246329526917,0.048939641109298535,0.03262642740619902,0.09135399673735727,0.14355628058727568,0.04730831973898858,0.024469820554649267,0.12071778140293637
starice,0.03622047244094488,0.07086614173228346,0.01889763779527559,0.047244094488188976,0.03622047244094488,0.07874015748031496,0.14645669291338584,0.04409448818897638,0.028346456692913385,0.13385826771653545
djeca,0.03262955854126679,0.05566218809980806,0.02111324376199616,0.036468330134357005,0.04222648752399232,0.0671785028790787,0.15355086372360843,0.03838771593090211,0.02111324376199616,0.12092130518234165
tinejdžeri,0.03715670436187399,0.05815831987075929,0.022617124394184167,0.0420032310177706,0.029079159935379646,0.07592891760904685,0.13408723747980614,0.048465266558966075,0.017770597738287562,0.12277867528271405
kćeri,0.037162162162162164,0.0625,0.02364864864864865,0.03885135135135135,0.03547297297297297,0.0777027027027027,0.15033783783783783,0.04391891891891892,0.02195945945945946,0.13851351351351351
sinovi,0.041050903119868636,0.07389162561576355,0.027914614121510674,0.04433497536945813,0.042692939244663386,0.090311986863711,0.1510673234811166,0.04926108374384237,0.026272577996715927,0.1330049261083744
