,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Etiopija,0.03484320557491289,0.06794425087108014,0.024390243902439025,0.03484320557491289,0.04006968641114982,0.08013937282229965,0.13763066202090593,0.04355400696864112,0.020905923344947737,0.13588850174216027
Europa,0.03356890459363958,0.05830388692579505,0.02120141342756184,0.03356890459363958,0.03356890459363958,0.07243816254416961,0.13957597173144876,0.038869257950530034,0.019434628975265017,0.13957597173144876
Ukrajina,0.03558718861209965,0.060498220640569395,0.023131672597864767,0.03558718861209965,0.03558718861209965,0.0711743772241993,0.1387900355871886,0.037366548042704624,0.014234875444839857,0.12633451957295375
Sudan,0.03198653198653199,0.06228956228956229,0.025252525252525252,0.03367003367003367,0.037037037037037035,0.07575757575757576,0.1414141414141414,0.04040404040404041,0.02356902356902357,0.13131313131313133
Afganistan,0.03220338983050847,0.06949152542372881,0.023728813559322035,0.03220338983050847,0.03898305084745763,0.07796610169491526,0.14067796610169492,0.04406779661016949,0.020338983050847456,0.12542372881355932
Irak,0.03893805309734513,0.05309734513274336,0.023008849557522124,0.04070796460176991,0.035398230088495575,0.07964601769911504,0.13805309734513274,0.04601769911504425,0.01415929203539823,0.13628318584070798
Jemen,0.0392156862745098,0.06045751633986928,0.029411764705882353,0.03594771241830065,0.03594771241830065,0.08333333333333333,0.12745098039215685,0.042483660130718956,0.027777777777777776,0.12091503267973856
Rusija,0.03098106712564544,0.06884681583476764,0.020654044750430294,0.03098106712564544,0.043029259896729774,0.07056798623063683,0.14285714285714285,0.043029259896729774,0.0189328743545611,0.14113597246127366
Italija,0.03486238532110092,0.05137614678899083,0.02018348623853211,0.03669724770642202,0.03486238532110092,0.07889908256880734,0.12477064220183487,0.04220183486238532,0.012844036697247707,0.13027522935779817
Somalija,0.037037037037037035,0.0723905723905724,0.025252525252525252,0.03535353535353535,0.04040404040404041,0.07912457912457913,0.13636363636363635,0.045454545454545456,0.026936026936026935,0.13636363636363635
Iran,0.03372681281618887,0.06239460370994941,0.02023608768971332,0.03035413153456998,0.03372681281618887,0.07588532883642496,0.13659359190556492,0.04047217537942664,0.013490725126475547,0.13322091062394603
Venezuela,0.030508474576271188,0.05423728813559322,0.01864406779661017,0.03389830508474576,0.03389830508474576,0.07627118644067797,0.13220338983050847,0.0423728813559322,0.013559322033898305,0.13050847457627118
Oman,0.038525963149078725,0.06030150753768844,0.018425460636515914,0.038525963149078725,0.02847571189279732,0.07370184254606366,0.11892797319932999,0.04020100502512563,0.02512562814070352,0.10720268006700168
Sirija,0.03859060402684564,0.07214765100671142,0.025167785234899327,0.03523489932885906,0.04194630872483222,0.08053691275167785,0.13590604026845637,0.04194630872483222,0.028523489932885907,0.1325503355704698
Kina,0.033216783216783216,0.057692307692307696,0.019230769230769232,0.03146853146853147,0.027972027972027972,0.07517482517482517,0.12937062937062938,0.038461538461538464,0.017482517482517484,0.13286713286713286
Indija,0.03535353535353535,0.05723905723905724,0.021885521885521887,0.03198653198653199,0.03535353535353535,0.0723905723905724,0.13131313131313133,0.03872053872053872,0.02356902356902357,0.132996632996633
Britanija,0.0274442538593482,0.0686106346483705,0.024013722126929673,0.03430531732418525,0.044596912521440824,0.0686106346483705,0.15265866209262435,0.03773584905660377,0.0274442538593482,0.1457975986277873
Francuska,0.03130148270181219,0.06919275123558484,0.02471169686985173,0.02800658978583196,0.042833607907743,0.07413509060955518,0.14991762767710048,0.03789126853377265,0.032948929159802305,0.13838550247116968
Grčka,0.041050903119868636,0.06568144499178982,0.022988505747126436,0.03940886699507389,0.0361247947454844,0.07881773399014778,0.1412151067323481,0.04433497536945813,0.024630541871921183,0.1297208538587849
Škotska,0.04340836012861737,0.07395498392282958,0.027331189710610933,0.03697749196141479,0.03697749196141479,0.07877813504823152,0.13504823151125403,0.04501607717041801,0.028938906752411574,0.12861736334405144
Paragvaj,0.03902439024390244,0.06341463414634146,0.027642276422764227,0.03902439024390244,0.030894308943089432,0.08455284552845528,0.13495934959349593,0.04715447154471545,0.024390243902439025,0.13008130081300814
Brazil,0.029605263157894735,0.05921052631578947,0.019736842105263157,0.03289473684210526,0.04111842105263158,0.0756578947368421,0.14309210526315788,0.04276315789473684,0.013157894736842105,0.14144736842105263
Afrika,0.03231597845601436,0.07001795332136446,0.02333931777378815,0.03590664272890485,0.04308797127468582,0.07540394973070018,0.14542190305206462,0.04308797127468582,0.026929982046678635,0.13285457809694792
Jordan,0.040453074433656956,0.06472491909385113,0.014563106796116505,0.03559870550161812,0.0372168284789644,0.0744336569579288,0.15048543689320387,0.045307443365695796,0.01779935275080906,0.13268608414239483
Indonezija,0.03484320557491289,0.0627177700348432,0.02613240418118467,0.03484320557491289,0.04006968641114982,0.08188153310104529,0.1289198606271777,0.047038327526132406,0.020905923344947737,0.12717770034843207
Vijetnam,0.03987240829346093,0.06698564593301436,0.022328548644338118,0.03189792663476874,0.03349282296650718,0.07177033492822966,0.13237639553429026,0.03827751196172249,0.02711323763955343,0.12759170653907495
Pakistan,0.03859060402684564,0.06543624161073826,0.02181208053691275,0.03355704697986577,0.03523489932885906,0.07885906040268456,0.12919463087248323,0.04865771812080537,0.016778523489932886,0.13087248322147652
Rumunjska,0.038397328881469114,0.07512520868113523,0.025041736227045076,0.04006677796327212,0.038397328881469114,0.09181969949916527,0.1352253756260434,0.05175292153589316,0.028380634390651086,0.1302170283806344
Ekvador,0.041401273885350316,0.0589171974522293,0.02388535031847134,0.03980891719745223,0.030254777070063694,0.07484076433121019,0.12738853503184713,0.044585987261146494,0.01910828025477707,0.12261146496815287
Meksiko,0.03389830508474576,0.04915254237288136,0.022033898305084745,0.04406779661016949,0.03898305084745763,0.08644067796610169,0.13050847457627118,0.05254237288135593,0.022033898305084745,0.1271186440677966
Portoriko,0.0392156862745098,0.06372549019607843,0.021241830065359478,0.03758169934640523,0.03431372549019608,0.08169934640522876,0.13071895424836602,0.049019607843137254,0.026143790849673203,0.12254901960784313
Kamerun,0.03986710963455149,0.0664451827242525,0.029900332225913623,0.03322259136212625,0.03986710963455149,0.08471760797342193,0.12790697674418605,0.046511627906976744,0.024916943521594685,0.1378737541528239
Kenija,0.03865546218487395,0.06554621848739496,0.021848739495798318,0.040336134453781515,0.040336134453781515,0.08571428571428572,0.13949579831932774,0.04873949579831933,0.025210084033613446,0.13949579831932774
Liberija,0.03833333333333333,0.07,0.021666666666666667,0.03833333333333333,0.03833333333333333,0.07666666666666666,0.13333333333333333,0.041666666666666664,0.025,0.13333333333333333
Sijera Leon,0.040336134453781515,0.06050420168067227,0.021848739495798318,0.040336134453781515,0.031932773109243695,0.09411764705882353,0.11596638655462185,0.052100840336134456,0.01680672268907563,0.12773109243697478
Katar,0.03583617747440273,0.06143344709897611,0.025597269624573378,0.032423208191126277,0.03583617747440273,0.08020477815699659,0.12286689419795221,0.042662116040955635,0.013651877133105802,0.13651877133105803
Sirija,0.03859060402684564,0.07214765100671142,0.025167785234899327,0.03523489932885906,0.04194630872483222,0.08053691275167785,0.13590604026845637,0.04194630872483222,0.028523489932885907,0.1325503355704698
Kenija,0.03865546218487395,0.06554621848739496,0.021848739495798318,0.040336134453781515,0.040336134453781515,0.08571428571428572,0.13949579831932774,0.04873949579831933,0.025210084033613446,0.13949579831932774
Saudijska Arabija,0.034482758620689655,0.0706896551724138,0.022413793103448276,0.03793103448275862,0.04310344827586207,0.07758620689655173,0.15344827586206897,0.041379310344827586,0.017241379310344827,0.14655172413793102
Libanon,0.036605657237936774,0.0632279534109817,0.02329450915141431,0.03161397670549085,0.033277870216306155,0.06821963394342762,0.1314475873544093,0.03494176372712146,0.021630615640599003,0.12312811980033278
Južna Afrika,0.03620689655172414,0.05862068965517241,0.022413793103448276,0.032758620689655175,0.039655172413793106,0.06724137931034482,0.14310344827586208,0.032758620689655175,0.02413793103448276,0.13620689655172413
Koreja,0.03966942148760331,0.06446280991735537,0.023140495867768594,0.03140495867768595,0.03471074380165289,0.07272727272727272,0.1305785123966942,0.03305785123966942,0.026446280991735537,0.1256198347107438
Singapur,0.03365384615384615,0.052884615384615384,0.02403846153846154,0.028846153846153848,0.028846153846153848,0.08173076923076923,0.13141025641025642,0.04326923076923077,0.016025641025641024,0.1330128205128205
Njemačka,0.03130434782608696,0.057391304347826085,0.020869565217391306,0.036521739130434785,0.03304347826086956,0.07478260869565218,0.15130434782608695,0.036521739130434785,0.02434782608695652,0.1356521739130435
Irska,0.03496503496503497,0.06293706293706294,0.022727272727272728,0.04195804195804196,0.04195804195804196,0.08216783216783216,0.14160839160839161,0.04895104895104895,0.019230769230769232,0.13286713286713286
Maroko,0.04065040650406504,0.06829268292682927,0.024390243902439025,0.03414634146341464,0.04065040650406504,0.08292682926829269,0.13170731707317074,0.04552845528455285,0.026016260162601626,0.12520325203252033
Turska,0.037300177619893425,0.06927175843694494,0.02486678507992895,0.03019538188277087,0.04440497335701599,0.08170515097690942,0.1438721136767318,0.04085257548845471,0.023090586145648313,0.13854351687388988
Laos,0.043689320388349516,0.061488673139158574,0.022653721682847898,0.038834951456310676,0.032362459546925564,0.07766990291262135,0.12135922330097088,0.042071197411003236,0.02750809061488673,0.11812297734627832
Bangladeš,0.03793626707132018,0.054628224582701064,0.024279210925644917,0.030349013657056147,0.03186646433990895,0.08497723823975721,0.11987860394537178,0.04704097116843703,0.025796661608497723,0.10318664643399089
