,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsteri,0.0441400304414003,0.060882800608828,0.0258751902587519,0.045662100456621,0.0350076103500761,0.1050228310502283,0.1339421613394216,0.0517503805175038,0.0258751902587519,0.1263318112633181
štreberi,0.03273322422258593,0.060556464811783964,0.02618657937806874,0.03927986906710311,0.031096563011456628,0.0851063829787234,0.1276595744680851,0.04746317512274959,0.024549918166939442,0.12274959083469722
seljaci,0.0436241610738255,0.06879194630872483,0.028523489932885907,0.04194630872483222,0.040268456375838924,0.09731543624161074,0.14093959731543623,0.05201342281879195,0.028523489932885907,0.13926174496644295
beskućnici,0.0333889816360601,0.07345575959933222,0.02671118530884808,0.035058430717863104,0.04006677796327212,0.08681135225375626,0.13856427378964942,0.04674457429048414,0.021702838063439065,0.12520868113522537
feministice,0.03834355828220859,0.0736196319018405,0.02147239263803681,0.04141104294478527,0.04294478527607362,0.0843558282208589,0.14877300613496933,0.04294478527607362,0.027607361963190184,0.13803680981595093
bogataši,0.04574132492113565,0.06309148264984227,0.02365930599369085,0.04258675078864353,0.03943217665615142,0.0946372239747634,0.138801261829653,0.0473186119873817,0.025236593059936908,0.13249211356466878
jadni ljudi,0.04258675078864353,0.0694006309148265,0.02996845425867508,0.04258675078864353,0.03785488958990536,0.08675078864353312,0.138801261829653,0.04416403785488959,0.025236593059936908,0.12145110410094637
kriminalci,0.03966942148760331,0.0628099173553719,0.02975206611570248,0.03801652892561983,0.03636363636363636,0.09256198347107437,0.14710743801652892,0.047933884297520664,0.019834710743801654,0.13388429752066117
bratstva,0.041666666666666664,0.06327160493827161,0.029320987654320986,0.037037037037037035,0.030864197530864196,0.0787037037037037,0.13117283950617284,0.037037037037037035,0.024691358024691357,0.11882716049382716
dečki iz bratstva,0.040310077519379844,0.06046511627906977,0.024806201550387597,0.046511627906976744,0.027906976744186046,0.08217054263565891,0.13798449612403102,0.04186046511627907,0.024806201550387597,0.11782945736434108
djevojke iz sestrinstva,0.03927492447129909,0.0649546827794562,0.0256797583081571,0.045317220543806644,0.03323262839879154,0.07854984894259819,0.14501510574018128,0.04380664652567976,0.030211480362537766,0.12537764350453173
hipiji,0.043076923076923075,0.06307692307692307,0.024615384615384615,0.04153846153846154,0.033846153846153845,0.09846153846153846,0.12923076923076923,0.04923076923076923,0.024615384615384615,0.11846153846153847
štreberi,0.03273322422258593,0.060556464811783964,0.02618657937806874,0.03927986906710311,0.031096563011456628,0.0851063829787234,0.1276595744680851,0.04746317512274959,0.024549918166939442,0.12274959083469722
gotičari,0.04213938411669368,0.06645056726094004,0.024311183144246355,0.04213938411669368,0.03565640194489465,0.0940032414910859,0.1280388978930308,0.04538087520259319,0.029173419773095625,0.12317666126418152
punkeri,0.03987240829346093,0.0733652312599681,0.025518341307814992,0.0430622009569378,0.04146730462519936,0.09569377990430622,0.1419457735247209,0.051036682615629984,0.023923444976076555,0.1339712918660287
Kalifornijci,0.031598513011152414,0.07063197026022305,0.022304832713754646,0.03531598513011153,0.04275092936802974,0.0724907063197026,0.14869888475836432,0.04275092936802974,0.024163568773234202,0.1449814126394052
slavne osobe,0.04484304932735426,0.07324364723467862,0.02391629297458894,0.04633781763826607,0.04035874439461883,0.08520179372197309,0.15396113602391628,0.04633781763826607,0.025411061285500747,0.13153961136023917
crvenokosi,0.037520391517128875,0.0734094616639478,0.03262642740619902,0.040783034257748776,0.037520391517128875,0.0929853181076672,0.1533442088091354,0.04567699836867863,0.022838499184339316,0.13866231647634583
