,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Azijati,0.03770491803278689,0.060655737704918035,0.021311475409836064,0.03770491803278689,0.03114754098360656,0.07540983606557378,0.12622950819672132,0.03934426229508197,0.03114754098360656,0.1180327868852459
Amerikanci,0.034220532319391636,0.0741444866920152,0.022813688212927757,0.03612167300380228,0.049429657794676805,0.0779467680608365,0.155893536121673,0.04182509505703422,0.028517110266159697,0.16730038022813687
Europljani,0.034782608695652174,0.07478260869565218,0.02608695652173913,0.03304347826086956,0.043478260869565216,0.07652173913043478,0.14608695652173914,0.043478260869565216,0.029565217391304348,0.1426086956521739
Židovi,0.04222648752399232,0.06525911708253358,0.026871401151631478,0.04222648752399232,0.036468330134357005,0.08061420345489444,0.1362763915547025,0.04222648752399232,0.023032629558541268,0.12284069097888675
Indijanci,0.03942652329749104,0.07526881720430108,0.026881720430107527,0.035842293906810034,0.03942652329749104,0.08422939068100359,0.14336917562724014,0.04838709677419355,0.026881720430107527,0.14157706093189965
Rusi,0.037848605577689244,0.06573705179282868,0.02390438247011952,0.0398406374501992,0.037848605577689244,0.08167330677290836,0.14342629482071714,0.049800796812749,0.021912350597609563,0.14342629482071714
Afrikanci,0.038314176245210725,0.06896551724137931,0.03065134099616858,0.03639846743295019,0.0421455938697318,0.08812260536398467,0.14942528735632185,0.04789272030651341,0.02490421455938697,0.14559386973180077
Crnci,0.035781544256120526,0.07156308851224105,0.02448210922787194,0.03954802259887006,0.035781544256120526,0.0847457627118644,0.13559322033898305,0.047080979284369114,0.030131826741996232,0.13559322033898305
Meksikanci,0.03512014787430684,0.06284658040665435,0.025878003696857672,0.038817005545286505,0.04621072088724584,0.09057301293900184,0.14417744916820702,0.04436229205175601,0.022181146025878003,0.14602587800369685
Bijelci,0.035398230088495575,0.07079646017699115,0.02654867256637168,0.03893805309734513,0.03893805309734513,0.0831858407079646,0.14513274336283186,0.04247787610619469,0.02654867256637168,0.13982300884955753
Crnci,0.035781544256120526,0.07156308851224105,0.02448210922787194,0.03954802259887006,0.035781544256120526,0.0847457627118644,0.13559322033898305,0.047080979284369114,0.030131826741996232,0.13559322033898305
bijelci,0.040257648953301126,0.07246376811594203,0.028985507246376812,0.04830917874396135,0.03542673107890499,0.09339774557165861,0.14170692431561996,0.05314009661835749,0.028985507246376812,0.1320450885668277
Nijemci,0.03642987249544627,0.07468123861566485,0.0273224043715847,0.03460837887067395,0.04553734061930783,0.08743169398907104,0.15300546448087432,0.04735883424408015,0.0273224043715847,0.14571948998178508
plavuše,0.03201219512195122,0.06859756097560976,0.022865853658536585,0.0350609756097561,0.0350609756097561,0.07469512195121951,0.13414634146341464,0.036585365853658534,0.03201219512195122,0.11432926829268293
plavokose djevojke,0.04833836858006042,0.0770392749244713,0.030211480362537766,0.04833836858006042,0.0377643504531722,0.08761329305135952,0.15256797583081572,0.045317220543806644,0.03323262839879154,0.12386706948640483
Arapi,0.03896103896103896,0.06679035250463822,0.025974025974025976,0.03710575139146568,0.03710575139146568,0.08719851576994433,0.137291280148423,0.04823747680890538,0.025974025974025976,0.13543599257884972
Bijeli Amerikanci,0.031423290203327174,0.06839186691312385,0.024029574861367836,0.03512014787430684,0.04621072088724584,0.07948243992606285,0.14972273567467653,0.04436229205175601,0.031423290203327174,0.14417744916820702
Crni Amerikanci,0.03177570093457944,0.07102803738317758,0.022429906542056073,0.03364485981308411,0.044859813084112146,0.08224299065420561,0.15140186915887852,0.04672897196261682,0.024299065420560748,0.15700934579439252
Hispanjolci,0.03553299492385787,0.06937394247038917,0.02707275803722504,0.04060913705583756,0.03553299492385787,0.08460236886632826,0.12859560067681894,0.04568527918781726,0.025380710659898477,0.12521150592216582
Američki domoroci,0.0351493848857645,0.070298769771529,0.03163444639718805,0.03690685413005272,0.0421792618629174,0.0913884007029877,0.14586994727592267,0.0492091388400703,0.03163444639718805,0.13708260105448156
Crnci,0.035781544256120526,0.07156308851224105,0.02448210922787194,0.03954802259887006,0.035781544256120526,0.0847457627118644,0.13559322033898305,0.047080979284369114,0.030131826741996232,0.13559322033898305
Bijelci,0.035398230088495575,0.07079646017699115,0.02654867256637168,0.03893805309734513,0.03893805309734513,0.0831858407079646,0.14513274336283186,0.04247787610619469,0.02654867256637168,0.13982300884955753
azijske žene,0.040310077519379844,0.06976744186046512,0.018604651162790697,0.04961240310077519,0.040310077519379844,0.08992248062015504,0.16124031007751938,0.04961240310077519,0.024806201550387597,0.13643410852713178
azijski muškarci,0.04159733777038269,0.07986688851913477,0.028286189683860232,0.04658901830282862,0.04492512479201331,0.09151414309484193,0.1497504159733777,0.05324459234608985,0.03161397670549085,0.13477537437603992
Crne žene,0.04081632653061224,0.07312925170068027,0.02040816326530612,0.04591836734693878,0.04251700680272109,0.08503401360544217,0.14625850340136054,0.05102040816326531,0.030612244897959183,0.141156462585034
Nizozemac,0.03865546218487395,0.06722689075630252,0.025210084033613446,0.03865546218487395,0.03865546218487395,0.08739495798319327,0.1411764705882353,0.0453781512605042,0.030252100840336135,0.13277310924369748
Irci,0.03626943005181347,0.0690846286701209,0.025906735751295335,0.03281519861830743,0.037996545768566495,0.08117443868739206,0.14162348877374784,0.04317789291882556,0.02936096718480138,0.13644214162348878
Irski muškarci,0.04498269896193772,0.07612456747404844,0.029411764705882353,0.050173010380622836,0.039792387543252594,0.10034602076124567,0.1453287197231834,0.06228373702422145,0.0328719723183391,0.1384083044982699
Bijele žene,0.04019292604501608,0.06591639871382636,0.02090032154340836,0.05144694533762058,0.04019292604501608,0.09485530546623794,0.14469453376205788,0.05466237942122187,0.03054662379421222,0.13665594855305466
indijski muškarci,0.047540983606557376,0.07540983606557378,0.027868852459016394,0.05081967213114754,0.04426229508196721,0.1,0.14098360655737704,0.05901639344262295,0.029508196721311476,0.1377049180327869
Indijske žene,0.038397328881469114,0.08180300500834725,0.021702838063439065,0.045075125208681135,0.05008347245409015,0.08180300500834725,0.1636060100166945,0.04674457429048414,0.03005008347245409,0.15692821368948248
Kinezi,0.042801556420233464,0.07198443579766536,0.0311284046692607,0.042801556420233464,0.042801556420233464,0.0914396887159533,0.14980544747081712,0.05058365758754864,0.0311284046692607,0.1556420233463035
Kineskinje,0.040257648953301126,0.061191626409017714,0.02576489533011272,0.040257648953301126,0.0322061191626409,0.08695652173913043,0.13043478260869565,0.043478260869565216,0.033816425120772944,0.12399355877616747
Japanke,0.03608247422680412,0.06701030927835051,0.022336769759450172,0.0429553264604811,0.037800687285223365,0.08934707903780069,0.13745704467353953,0.05326460481099656,0.03436426116838488,0.1323024054982818
Japanci,0.035916824196597356,0.06805293005671077,0.024574669187145556,0.03780718336483932,0.03969754253308128,0.08506616257088846,0.14366729678638943,0.04725897920604915,0.026465028355387523,0.13988657844990549
Indijanski roditelji,0.040955631399317405,0.07337883959044368,0.027303754266211604,0.040955631399317405,0.042662116040955635,0.09044368600682594,0.14334470989761092,0.051194539249146756,0.025597269624573378,0.1348122866894198
azijski roditelji,0.04220779220779221,0.0698051948051948,0.027597402597402596,0.04383116883116883,0.03896103896103896,0.08766233766233766,0.14285714285714285,0.05194805194805195,0.024350649350649352,0.13636363636363635
Bijeli roditelji,0.038461538461538464,0.07190635451505016,0.026755852842809364,0.04013377926421405,0.043478260869565216,0.0903010033444816,0.13712374581939799,0.048494983277591976,0.021739130434782608,0.13712374581939799
Crni očevi,0.03350083752093802,0.06700167504187604,0.021775544388609715,0.04020100502512563,0.04020100502512563,0.07202680067001675,0.152428810720268,0.04522613065326633,0.023450586264656615,0.1423785594639866
Latinoamerikanke,0.04258675078864353,0.06466876971608833,0.025236593059936908,0.04100946372239748,0.03943217665615142,0.08832807570977919,0.13249211356466878,0.04574132492113565,0.031545741324921134,0.1277602523659306
Latinoamerikanci,0.04063604240282685,0.0636042402826855,0.026501766784452298,0.0353356890459364,0.03356890459363958,0.09187279151943463,0.13250883392226148,0.04063604240282685,0.024734982332155476,0.13604240282685512
