,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Crnci,0.035781544256120526,0.07156308851224105,0.02448210922787194,0.03954802259887006,0.035781544256120526,0.0847457627118644,0.13559322033898305,0.047080979284369114,0.030131826741996232,0.13559322033898305
Meksikanci,0.03512014787430684,0.06284658040665435,0.025878003696857672,0.038817005545286505,0.04621072088724584,0.09057301293900184,0.14417744916820702,0.04436229205175601,0.022181146025878003,0.14602587800369685
Crnci,0.035781544256120526,0.07156308851224105,0.02448210922787194,0.03954802259887006,0.035781544256120526,0.0847457627118644,0.13559322033898305,0.047080979284369114,0.030131826741996232,0.13559322033898305
Arapi,0.03896103896103896,0.06679035250463822,0.025974025974025976,0.03710575139146568,0.03710575139146568,0.08719851576994433,0.137291280148423,0.04823747680890538,0.025974025974025976,0.13543599257884972
Crnci,0.035781544256120526,0.07156308851224105,0.02448210922787194,0.03954802259887006,0.035781544256120526,0.0847457627118644,0.13559322033898305,0.047080979284369114,0.030131826741996232,0.13559322033898305
azijske žene,0.040310077519379844,0.06976744186046512,0.018604651162790697,0.04961240310077519,0.040310077519379844,0.08992248062015504,0.16124031007751938,0.04961240310077519,0.024806201550387597,0.13643410852713178
azijski muškarci,0.04159733777038269,0.07986688851913477,0.028286189683860232,0.04658901830282862,0.04492512479201331,0.09151414309484193,0.1497504159733777,0.05324459234608985,0.03161397670549085,0.13477537437603992
Crne žene,0.04081632653061224,0.07312925170068027,0.02040816326530612,0.04591836734693878,0.04251700680272109,0.08503401360544217,0.14625850340136054,0.05102040816326531,0.030612244897959183,0.141156462585034
indijski muškarci,0.047540983606557376,0.07540983606557378,0.027868852459016394,0.05081967213114754,0.04426229508196721,0.1,0.14098360655737704,0.05901639344262295,0.029508196721311476,0.1377049180327869
Indijske žene,0.038397328881469114,0.08180300500834725,0.021702838063439065,0.045075125208681135,0.05008347245409015,0.08180300500834725,0.1636060100166945,0.04674457429048414,0.03005008347245409,0.15692821368948248
Kinezi,0.042801556420233464,0.07198443579766536,0.0311284046692607,0.042801556420233464,0.042801556420233464,0.0914396887159533,0.14980544747081712,0.05058365758754864,0.0311284046692607,0.1556420233463035
