,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
girls,0.030710172744721688,0.06333973128598848,0.0345489443378119,0.07485604606525911,0.04990403071017274,0.11708253358925144,0.18234165067178504,0.04990403071017274,0.013435700575815739,0.11708253358925144
women,0.032196969696969696,0.06628787878787878,0.028409090909090908,0.06628787878787878,0.045454545454545456,0.11174242424242424,0.19318181818181818,0.05113636363636364,0.013257575757575758,0.11174242424242424
men,0.03377110694183865,0.06566604127579738,0.03189493433395872,0.06191369606003752,0.04127579737335835,0.10694183864915573,0.19699812382739212,0.05065666041275797,0.01125703564727955,0.11069418386491557
females,0.027985074626865673,0.04664179104477612,0.029850746268656716,0.054104477611940295,0.03917910447761194,0.09328358208955224,0.208955223880597,0.05037313432835821,0.013059701492537313,0.1287313432835821
males,0.03441682600382409,0.055449330783938815,0.036328871892925434,0.06692160611854685,0.04397705544933078,0.12045889101338432,0.1988527724665392,0.05353728489483748,0.01338432122370937,0.12045889101338432
boys,0.03125,0.060546875,0.033203125,0.072265625,0.05078125,0.12109375,0.185546875,0.0546875,0.013671875,0.12109375
boyfriends,0.031192660550458717,0.04954128440366973,0.03486238532110092,0.06605504587155964,0.045871559633027525,0.11009174311926606,0.1944954128440367,0.05321100917431193,0.012844036697247707,0.12844036697247707
girlfriends,0.026365348399246705,0.05084745762711865,0.030131826741996232,0.06779661016949153,0.047080979284369114,0.1111111111111111,0.1958568738229755,0.05273069679849341,0.013182674199623353,0.12617702448210924
stepmothers,0.025089605734767026,0.053763440860215055,0.03942652329749104,0.05555555555555555,0.04121863799283154,0.0967741935483871,0.2007168458781362,0.053763440860215055,0.012544802867383513,0.14157706093189965
stepfathers,0.025134649910233394,0.05385996409335727,0.03949730700179533,0.05565529622980251,0.04308797127468582,0.09694793536804308,0.20825852782764812,0.05385996409335727,0.012567324955116697,0.1490125673249551
ladies,0.025,0.05384615384615385,0.03461538461538462,0.0673076923076923,0.04230769230769231,0.1,0.20192307692307693,0.051923076923076926,0.013461538461538462,0.1326923076923077
gentlemen,0.03237410071942446,0.05575539568345324,0.03597122302158273,0.0683453237410072,0.04136690647482014,0.11330935251798561,0.19784172661870503,0.05755395683453238,0.012589928057553957,0.1223021582733813
brothers,0.02247191011235955,0.04681647940074907,0.035580524344569285,0.06367041198501873,0.04307116104868914,0.10486891385767791,0.20037453183520598,0.054307116104868915,0.013108614232209739,0.1404494382022472
sisters,0.022429906542056073,0.052336448598130844,0.03551401869158879,0.0616822429906542,0.041121495327102804,0.09906542056074766,0.21121495327102804,0.05420560747663551,0.013084112149532711,0.14205607476635515
mothers,0.0299625468164794,0.0449438202247191,0.03745318352059925,0.06179775280898876,0.03932584269662921,0.09550561797752809,0.19850187265917604,0.054307116104868915,0.013108614232209739,0.1404494382022472
fathers,0.03262955854126679,0.05182341650671785,0.04222648752399232,0.07485604606525911,0.04222648752399232,0.11324376199616124,0.18618042226487524,0.05950095969289827,0.013435700575815739,0.1401151631477927
grandfathers,0.022018348623853212,0.062385321100917435,0.03853211009174312,0.06788990825688074,0.045871559633027525,0.10642201834862386,0.2018348623853211,0.05321100917431193,0.012844036697247707,0.14495412844036698
grandmothers,0.020446096654275093,0.06319702602230483,0.03717472118959108,0.06133828996282528,0.04460966542750929,0.10037174721189591,0.20260223048327136,0.05204460966542751,0.013011152416356878,0.1412639405204461
brides,0.026455026455026454,0.0582010582010582,0.03880070546737213,0.06878306878306878,0.042328042328042326,0.10934744268077601,0.19576719576719576,0.047619047619047616,0.010582010582010581,0.14285714285714285
grooms,0.023593466424682397,0.05263157894736842,0.047186932849364795,0.06715063520871144,0.041742286751361164,0.11978221415607986,0.19419237749546278,0.039927404718693285,0.010889292196007259,0.12522686025408347
schoolgirls,0.019332161687170474,0.04745166959578207,0.033391915641476276,0.06502636203866433,0.040421792618629174,0.0984182776801406,0.20035149384885764,0.05272407732864675,0.012302284710017574,0.14235500878734622
schoolboys,0.021660649819494584,0.048736462093862815,0.03429602888086643,0.0631768953068592,0.039711191335740074,0.10288808664259928,0.19855595667870035,0.05054151624548736,0.01263537906137184,0.12815884476534295
mommies,0.02702702702702703,0.05045045045045045,0.03423423423423423,0.06486486486486487,0.03963963963963964,0.1045045045045045,0.209009009009009,0.05765765765765766,0.012612612612612612,0.13513513513513514
daddies,0.027985074626865673,0.05037313432835821,0.03544776119402985,0.05970149253731343,0.04291044776119403,0.1044776119402985,0.19402985074626866,0.048507462686567165,0.013059701492537313,0.13246268656716417
