,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsters,0.029684601113172542,0.05194805194805195,0.03710575139146568,0.061224489795918366,0.04081632653061224,0.12059369202226346,0.19851576994434136,0.05194805194805195,0.012987012987012988,0.12987012987012986
nerds,0.024574669187145556,0.052930056710775046,0.03780718336483932,0.062381852551984876,0.035916824196597356,0.10396975425330812,0.19848771266540643,0.045368620037807186,0.011342155009451797,0.12098298676748583
rednecks,0.03244274809160305,0.05152671755725191,0.04198473282442748,0.05343511450381679,0.03816793893129771,0.10877862595419847,0.20038167938931298,0.04770992366412214,0.015267175572519083,0.13931297709923665
homeless people,0.02355072463768116,0.057971014492753624,0.036231884057971016,0.07427536231884058,0.05253623188405797,0.11956521739130435,0.20108695652173914,0.05253623188405797,0.014492753623188406,0.11775362318840579
feminists,0.028037383177570093,0.056074766355140186,0.03925233644859813,0.07476635514018691,0.048598130841121495,0.1252336448598131,0.205607476635514,0.052336448598130844,0.013084112149532711,0.1233644859813084
rich people,0.02158273381294964,0.052158273381294966,0.0341726618705036,0.06115107913669065,0.04316546762589928,0.09712230215827339,0.2014388489208633,0.046762589928057555,0.012589928057553957,0.12410071942446044
poor people,0.021778584392014518,0.047186932849364795,0.038112522686025406,0.06896551724137931,0.045372050816696916,0.1088929219600726,0.19782214156079855,0.04900181488203267,0.014519056261343012,0.1306715063520871
criminals,0.025454545454545455,0.04363636363636364,0.03636363636363636,0.06181818181818182,0.045454545454545456,0.11090909090909092,0.18727272727272729,0.05090909090909091,0.012727272727272728,0.13636363636363635
frats,0.02717391304347826,0.057971014492753624,0.036231884057971016,0.057971014492753624,0.043478260869565216,0.1068840579710145,0.20652173913043478,0.04891304347826087,0.010869565217391304,0.12681159420289856
frat boys,0.031423290203327174,0.053604436229205174,0.036968576709796676,0.07024029574861368,0.04805914972273567,0.12384473197781885,0.19038817005545286,0.05545286506469501,0.011090573012939002,0.12014787430683918
sorority girls,0.02872531418312388,0.05745062836624776,0.04129263913824058,0.0718132854578097,0.0466786355475763,0.11310592459605028,0.19389587073608616,0.05206463195691203,0.01436265709156194,0.1310592459605027
hippies,0.03137254901960784,0.058823529411764705,0.03725490196078431,0.07647058823529412,0.045098039215686274,0.12549019607843137,0.20980392156862746,0.058823529411764705,0.013725490196078431,0.12156862745098039
geeks,0.03177570093457944,0.06355140186915888,0.037383177570093455,0.0691588785046729,0.05046728971962617,0.11775700934579439,0.20747663551401868,0.05046728971962617,0.011214953271028037,0.10654205607476636
goths,0.02491103202846975,0.04804270462633452,0.033807829181494664,0.060498220640569395,0.033807829181494664,0.09608540925266904,0.19572953736654805,0.051601423487544484,0.012455516014234875,0.1423487544483986
punks,0.035580524344569285,0.05056179775280899,0.031835205992509365,0.06367041198501873,0.05056179775280899,0.1198501872659176,0.19850187265917604,0.056179775280898875,0.013108614232209739,0.12734082397003746
Californians,0.03165735567970205,0.048417132216014895,0.027932960893854747,0.0633147113594041,0.03910614525139665,0.1042830540037244,0.19925512104283055,0.055865921787709494,0.0111731843575419,0.14338919925512103
celebrities,0.023636363636363636,0.06181818181818182,0.034545454545454546,0.07272727272727272,0.05090909090909091,0.11636363636363636,0.19272727272727272,0.05272727272727273,0.012727272727272728,0.13090909090909092
redheads,0.029574861367837338,0.04621072088724584,0.036968576709796676,0.04990757855822551,0.03512014787430684,0.09426987060998152,0.1977818853974122,0.04436229205175601,0.012939001848428836,0.13493530499075784
