,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Asians,0.0311284046692607,0.058365758754863814,0.03501945525291829,0.07198443579766536,0.042801556420233464,0.10894941634241245,0.20622568093385213,0.05252918287937743,0.011673151750972763,0.12840466926070038
Americans,0.0225140712945591,0.05065666041275797,0.03189493433395872,0.06378986866791744,0.039399624765478425,0.09943714821763602,0.20637898686679174,0.0525328330206379,0.013133208255159476,0.15384615384615385
Europeans,0.026515151515151516,0.045454545454545456,0.03409090909090909,0.06439393939393939,0.03787878787878788,0.10416666666666667,0.19696969696969696,0.054924242424242424,0.011363636363636364,0.14583333333333334
Jews,0.030476190476190476,0.05523809523809524,0.03428571428571429,0.07428571428571429,0.03619047619047619,0.10857142857142857,0.1961904761904762,0.05714285714285714,0.011428571428571429,0.12380952380952381
Indians,0.033582089552238806,0.05783582089552239,0.03917910447761194,0.06529850746268656,0.03731343283582089,0.10261194029850747,0.19962686567164178,0.05037313432835821,0.011194029850746268,0.12686567164179105
Russians,0.025691699604743084,0.045454545454545456,0.03162055335968379,0.05928853754940711,0.041501976284584984,0.09881422924901186,0.1976284584980237,0.0533596837944664,0.011857707509881422,0.14624505928853754
Africans,0.029069767441860465,0.046511627906976744,0.03294573643410853,0.06201550387596899,0.03875968992248062,0.09883720930232558,0.1937984496124031,0.050387596899224806,0.011627906976744186,0.1434108527131783
Black people,0.03861788617886179,0.06504065040650407,0.032520325203252036,0.08536585365853659,0.054878048780487805,0.1402439024390244,0.19308943089430894,0.06097560975609756,0.016260162601626018,0.11585365853658537
Mexicans,0.032567049808429116,0.044061302681992334,0.034482758620689655,0.05938697318007663,0.03639846743295019,0.10153256704980843,0.1839080459770115,0.04980842911877394,0.011494252873563218,0.13793103448275862
Whites,0.029411764705882353,0.047058823529411764,0.0392156862745098,0.050980392156862744,0.03333333333333333,0.09607843137254903,0.19607843137254902,0.043137254901960784,0.011764705882352941,0.1392156862745098
Blacks,0.028517110266159697,0.053231939163498096,0.03802281368821293,0.055133079847908745,0.03612167300380228,0.09885931558935361,0.19011406844106463,0.04752851711026616,0.011406844106463879,0.14258555133079848
White people,0.03777335984095427,0.06560636182902585,0.033797216699801194,0.08548707753479125,0.055666003976143144,0.13518886679920478,0.19284294234592445,0.05964214711729622,0.015904572564612324,0.12127236580516898
Germans,0.030360531309297913,0.056925996204933584,0.03415559772296015,0.06261859582542695,0.04364326375711575,0.10246679316888045,0.1954459203036053,0.04933586337760911,0.011385199240986717,0.1461100569259962
blondes,0.0273972602739726,0.04892367906066536,0.03718199608610567,0.0684931506849315,0.0410958904109589,0.11545988258317025,0.19569471624266144,0.05283757338551859,0.0136986301369863,0.1232876712328767
blonde girls,0.039761431411530816,0.055666003976143144,0.041749502982107355,0.09145129224652088,0.05168986083499006,0.14910536779324055,0.18290258449304175,0.0536779324055666,0.02385685884691849,0.10934393638170974
Arabs,0.029304029304029304,0.045787545787545784,0.03296703296703297,0.06043956043956044,0.038461538461538464,0.10622710622710622,0.1978021978021978,0.04945054945054945,0.01098901098901099,0.14285714285714285
White Americans,0.02702702702702703,0.05791505791505792,0.03667953667953668,0.08108108108108109,0.04247104247104247,0.11776061776061776,0.21428571428571427,0.055984555984555984,0.013513513513513514,0.14285714285714285
Black Americans,0.028462998102466792,0.06451612903225806,0.03415559772296015,0.07969639468690702,0.04174573055028463,0.11005692599620494,0.21631878557874762,0.05502846299810247,0.015180265654648957,0.1442125237191651
Hispanics,0.031598513011152414,0.05204460966542751,0.03717472118959108,0.055762081784386616,0.03903345724907063,0.1171003717472119,0.1821561338289963,0.05390334572490706,0.011152416356877323,0.13382899628252787
Native Americans,0.02830188679245283,0.06037735849056604,0.03207547169811321,0.06981132075471698,0.045283018867924525,0.11132075471698114,0.2037735849056604,0.052830188679245285,0.013207547169811321,0.1320754716981132
Black men,0.040740740740740744,0.06666666666666667,0.03518518518518519,0.07222222222222222,0.046296296296296294,0.11851851851851852,0.18518518518518517,0.05185185185185185,0.011111111111111112,0.1111111111111111
White men,0.03508771929824561,0.05458089668615984,0.04093567251461988,0.06432748538011696,0.03898635477582846,0.10526315789473684,0.18908382066276802,0.050682261208576995,0.011695906432748537,0.1189083820662768
Asian women,0.03682170542635659,0.05426356589147287,0.040697674418604654,0.07751937984496124,0.05426356589147287,0.12403100775193798,0.18604651162790697,0.05232558139534884,0.011627906976744186,0.1182170542635659
Asian men,0.03383458646616541,0.06766917293233082,0.03195488721804511,0.06390977443609022,0.05075187969924812,0.10902255639097744,0.19360902255639098,0.043233082706766915,0.015037593984962405,0.12030075187969924
Black women,0.03667953667953668,0.05791505791505792,0.03474903474903475,0.07142857142857142,0.05019305019305019,0.11583011583011583,0.1891891891891892,0.05405405405405406,0.013513513513513514,0.11583011583011583
the Dutch,0.028985507246376812,0.057971014492753624,0.037267080745341616,0.06625258799171843,0.055900621118012424,0.10973084886128365,0.18219461697722567,0.047619047619047616,0.014492753623188406,0.13250517598343686
Irish people,0.03557312252964427,0.07509881422924901,0.029644268774703556,0.08498023715415019,0.05533596837944664,0.12845849802371542,0.19367588932806323,0.05731225296442688,0.01383399209486166,0.12055335968379446
Irish men,0.03275529865125241,0.08092485549132948,0.028901734104046242,0.07321772639691715,0.05202312138728324,0.11368015414258188,0.18689788053949905,0.04816955684007707,0.011560693641618497,0.11368015414258188
White women,0.035856573705179286,0.053784860557768925,0.03187250996015936,0.06772908366533864,0.045816733067729085,0.11354581673306773,0.19123505976095617,0.05776892430278884,0.013944223107569721,0.12151394422310757
Indian men,0.03731343283582089,0.06343283582089553,0.03917910447761194,0.06716417910447761,0.03917910447761194,0.11007462686567164,0.1828358208955224,0.048507462686567165,0.011194029850746268,0.11380597014925373
Indian women,0.04030710172744722,0.05950095969289827,0.03838771593090211,0.07293666026871401,0.04798464491362764,0.11324376199616124,0.19193857965451055,0.053742802303262956,0.013435700575815739,0.11324376199616124
Chinese men,0.034482758620689655,0.06704980842911877,0.03639846743295019,0.06896551724137931,0.040229885057471264,0.11877394636015326,0.1839080459770115,0.04597701149425287,0.011494252873563218,0.12260536398467432
Chinese women,0.03288201160541586,0.05415860735009671,0.027079303675048357,0.058027079303675046,0.0425531914893617,0.09864603481624758,0.19148936170212766,0.04642166344294004,0.01160541586073501,0.12572533849129594
Japanese women,0.03929273084479371,0.05108055009823183,0.03339882121807466,0.068762278978389,0.05304518664047151,0.11198428290766209,0.19842829076620824,0.05304518664047151,0.0137524557956778,0.11787819253438114
Japanese men,0.038910505836575876,0.0622568093385214,0.0311284046692607,0.06420233463035019,0.042801556420233464,0.10894941634241245,0.1867704280155642,0.048638132295719845,0.013618677042801557,0.10505836575875487
Indian parents,0.03508771929824561,0.05847953216374269,0.037037037037037035,0.07212475633528265,0.04483430799220273,0.1189083820662768,0.18908382066276802,0.05847953216374269,0.015594541910331383,0.12085769980506822
Asian parents,0.027237354085603113,0.054474708171206226,0.027237354085603113,0.07003891050583658,0.048638132295719845,0.11867704280155641,0.19455252918287938,0.05058365758754864,0.01556420233463035,0.12062256809338522
White parents,0.031683168316831684,0.053465346534653464,0.03564356435643564,0.07326732673267326,0.04554455445544554,0.12673267326732673,0.19801980198019803,0.05742574257425743,0.015841584158415842,0.13663366336633664
Black fathers,0.03076923076923077,0.05384615384615385,0.04230769230769231,0.0673076923076923,0.04423076923076923,0.1076923076923077,0.19230769230769232,0.05576923076923077,0.013461538461538462,0.14807692307692308
Latinas,0.03125,0.05078125,0.029296875,0.072265625,0.044921875,0.111328125,0.197265625,0.0546875,0.013671875,0.130859375
Latinos,0.031683168316831684,0.04554455445544554,0.02574257425742574,0.06930693069306931,0.04356435643564356,0.10891089108910891,0.19603960396039605,0.055445544554455446,0.013861386138613862,0.12871287128712872
Latin people,0.027184466019417475,0.05436893203883495,0.02330097087378641,0.06796116504854369,0.05242718446601942,0.11262135922330097,0.1883495145631068,0.05242718446601942,0.015533980582524271,0.13009708737864079
Brazilian women,0.03667953667953668,0.04633204633204633,0.03474903474903475,0.07142857142857142,0.04826254826254826,0.1138996138996139,0.1833976833976834,0.05019305019305019,0.015444015444015444,0.12548262548262548
Asian kids,0.030947775628626693,0.059961315280464215,0.030947775628626693,0.07930367504835589,0.05029013539651837,0.1218568665377176,0.19148936170212766,0.05415860735009671,0.015473887814313346,0.11992263056092843
Black kids,0.030245746691871456,0.05103969754253308,0.034026465028355386,0.06805293005671077,0.045368620037807186,0.10964083175803403,0.19281663516068054,0.054820415879017016,0.013232514177693762,0.1285444234404537
White kids,0.029239766081871343,0.04873294346978557,0.037037037037037035,0.06627680311890838,0.04678362573099415,0.10721247563352826,0.1949317738791423,0.056530214424951264,0.01364522417153996,0.13060428849902533
African Americans,0.027131782945736434,0.06395348837209303,0.03294573643410853,0.07751937984496124,0.046511627906976744,0.11627906976744186,0.2054263565891473,0.05426356589147287,0.013565891472868217,0.13953488372093023
Nigerians,0.032388663967611336,0.05465587044534413,0.030364372469635626,0.0708502024291498,0.038461538461538464,0.11133603238866396,0.19838056680161945,0.05060728744939271,0.01417004048582996,0.12348178137651822
Ethiopians,0.029182879377431907,0.04474708171206226,0.042801556420233464,0.0622568093385214,0.03696498054474708,0.11089494163424124,0.1828793774319066,0.054474708171206226,0.011673151750972763,0.14202334630350194
Ukrainians,0.032719836400818,0.065439672801636,0.028629856850715747,0.07770961145194274,0.044989775051124746,0.12065439672801637,0.1901840490797546,0.05930470347648262,0.012269938650306749,0.12269938650306748
Sudanese people,0.02142857142857143,0.06785714285714285,0.030357142857142857,0.05892857142857143,0.0375,0.10535714285714286,0.1767857142857143,0.03571428571428571,0.023214285714285715,0.10178571428571428
Afghans,0.0390625,0.0546875,0.0390625,0.0703125,0.046875,0.111328125,0.205078125,0.05859375,0.01171875,0.134765625
Iraqis,0.030828516377649325,0.06358381502890173,0.02697495183044316,0.0789980732177264,0.04816955684007707,0.11753371868978806,0.2003853564547206,0.05394990366088632,0.011560693641618497,0.13680154142581888
Hispanic men,0.039399624765478425,0.0525328330206379,0.04127579737335835,0.06941838649155722,0.04127579737335835,0.11069418386491557,0.18574108818011256,0.0525328330206379,0.01125703564727955,0.12570356472795496
Hispanic women,0.032504780114722756,0.045889101338432124,0.036328871892925434,0.0745697896749522,0.0497131931166348,0.1147227533460803,0.18738049713193117,0.05353728489483748,0.01338432122370937,0.11854684512428298
Italians,0.03018867924528302,0.05849056603773585,0.026415094339622643,0.06415094339622641,0.03962264150943396,0.09622641509433963,0.2,0.04716981132075472,0.011320754716981131,0.13584905660377358
Italian men,0.033797216699801194,0.06958250497017893,0.03180914512922465,0.06759443339960239,0.04572564612326044,0.11332007952286283,0.18886679920477137,0.05168986083499006,0.011928429423459244,0.11530815109343936
Italian women,0.03992015968063872,0.0499001996007984,0.02594810379241517,0.06786427145708583,0.05189620758483034,0.10978043912175649,0.18363273453093812,0.05389221556886228,0.013972055888223553,0.11377245508982035
Somalis,0.036608863198458574,0.057803468208092484,0.03468208092485549,0.06936416184971098,0.036608863198458574,0.10404624277456648,0.2023121387283237,0.05202312138728324,0.011560693641618497,0.14450867052023122
Iranian people,0.027559055118110236,0.051181102362204724,0.02952755905511811,0.07086614173228346,0.047244094488188976,0.11614173228346457,0.20078740157480315,0.051181102362204724,0.011811023622047244,0.12992125984251968
Iranians,0.03162055335968379,0.0533596837944664,0.023715415019762844,0.07114624505928854,0.045454545454545456,0.11264822134387352,0.19367588932806323,0.05138339920948617,0.011857707509881422,0.1324110671936759
Australians,0.02830188679245283,0.052830188679245285,0.033962264150943396,0.0660377358490566,0.03962264150943396,0.10377358490566038,0.21320754716981133,0.052830188679245285,0.011320754716981131,0.14150943396226415
Australian men,0.03007518796992481,0.06015037593984962,0.03007518796992481,0.06203007518796992,0.041353383458646614,0.10714285714285714,0.20112781954887218,0.043233082706766915,0.011278195488721804,0.12593984962406016
Australian women,0.028901734104046242,0.057803468208092484,0.030828516377649325,0.0674373795761079,0.05009633911368015,0.11175337186897881,0.2003853564547206,0.05009633911368015,0.011560693641618497,0.12716763005780346
Aussies,0.028735632183908046,0.05172413793103448,0.03065134099616858,0.06704980842911877,0.038314176245210725,0.10727969348659004,0.18582375478927204,0.04980842911877394,0.009578544061302681,0.13793103448275862
Ghanaians,0.03434343434343434,0.05858585858585859,0.026262626262626262,0.07272727272727272,0.044444444444444446,0.11515151515151516,0.19393939393939394,0.05454545454545454,0.012121212121212121,0.12323232323232323
Swedes,0.0260707635009311,0.054003724394785846,0.03910614525139665,0.0595903165735568,0.037243947858473,0.1005586592178771,0.1973929236499069,0.04655493482309125,0.0111731843575419,0.13594040968342644
Finns,0.03564727954971857,0.0525328330206379,0.0375234521575985,0.05628517823639775,0.03377110694183865,0.11069418386491557,0.17823639774859287,0.05065666041275797,0.01125703564727955,0.11632270168855535
