,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
L'Ethiopie,0.04881101376720901,0.0425531914893617,0.026282853566958697,0.058823529411764705,0.02127659574468085,0.11264080100125157,0.18648310387984982,0.04755944931163955,0.03254067584480601,0.13391739674593242
L'Europe,0.046192259675405745,0.04244694132334582,0.024968789013732832,0.06117353308364544,0.02247191011235955,0.10861423220973783,0.1947565543071161,0.046192259675405745,0.03245942571785269,0.13358302122347065
L'Ukraine,0.049079754601226995,0.046625766871165646,0.023312883435582823,0.06257668711656442,0.022085889570552148,0.11042944785276074,0.18650306748466258,0.049079754601226995,0.03190184049079755,0.12269938650306748
Le Soudan,0.05137844611528822,0.045112781954887216,0.023809523809523808,0.05889724310776942,0.018796992481203006,0.11152882205513784,0.18671679197994986,0.04887218045112782,0.02882205513784461,0.12030075187969924
L'Afghanistan,0.04744525547445255,0.040145985401459854,0.024330900243309004,0.06326034063260341,0.02068126520681265,0.10827250608272507,0.18613138686131386,0.043795620437956206,0.031630170316301706,0.12530413625304138
L'Irak,0.05276073619631902,0.051533742331288344,0.02822085889570552,0.06503067484662577,0.025766871165644172,0.11533742331288344,0.19386503067484662,0.04785276073619632,0.03190184049079755,0.1263803680981595
Le Yémen,0.05137844611528822,0.04887218045112782,0.02506265664160401,0.06140350877192982,0.020050125313283207,0.11904761904761904,0.18170426065162906,0.05263157894736842,0.02631578947368421,0.11779448621553884
La Russie,0.050697084917617236,0.04182509505703422,0.026615969581749048,0.062103929024081114,0.019011406844106463,0.11406844106463879,0.1888466413181242,0.051964512040557666,0.026615969581749048,0.12167300380228137
L'Italie,0.046625766871165646,0.04294478527607362,0.024539877300613498,0.05889570552147239,0.022085889570552148,0.11288343558282209,0.19631901840490798,0.05030674846625767,0.03190184049079755,0.1325153374233129
La Somalie,0.046365914786967416,0.041353383458646614,0.022556390977443608,0.05513784461152882,0.021303258145363407,0.11027568922305764,0.18922305764411027,0.047619047619047616,0.03007518796992481,0.12030075187969924
L'Iran,0.051533742331288344,0.04294478527607362,0.025766871165644172,0.0638036809815951,0.024539877300613498,0.11411042944785275,0.19386503067484662,0.05030674846625767,0.03680981595092025,0.12392638036809817
Le Venezuela,0.05086848635235732,0.043424317617866005,0.02357320099255583,0.062034739454094295,0.022332506203473945,0.11662531017369727,0.19851116625310175,0.05459057071960298,0.031017369727047148,0.12158808933002481
L'Oman,0.04665825977301387,0.0416141235813367,0.025220680958385876,0.0605296343001261,0.021437578814627996,0.10844892812105927,0.19293820933165196,0.04539722572509458,0.03530895334174023,0.12862547288776796
La Syrie,0.04424778761061947,0.040455120101137804,0.022756005056890013,0.056890012642225034,0.021491782553729456,0.10493046776232617,0.18710493046776233,0.04424778761061947,0.0316055625790139,0.12010113780025285
La Chine,0.04909560723514212,0.04392764857881137,0.023255813953488372,0.06201550387596899,0.01808785529715762,0.11627906976744186,0.17571059431524547,0.050387596899224806,0.027131782945736434,0.12532299741602068
L'Inde,0.049937578027465665,0.0449438202247191,0.02372034956304619,0.06117353308364544,0.02122347066167291,0.11610486891385768,0.19225967540574282,0.05118601747815231,0.033707865168539325,0.13108614232209737
La Grande-Bretagne,0.04477611940298507,0.043532338308457715,0.024875621890547265,0.055970149253731345,0.022388059701492536,0.11194029850746269,0.19776119402985073,0.05099502487562189,0.029850746268656716,0.1256218905472637
La France,0.04974489795918367,0.04336734693877551,0.02423469387755102,0.061224489795918366,0.021683673469387755,0.11607142857142858,0.17857142857142858,0.05229591836734694,0.030612244897959183,0.12627551020408162
La Grèce,0.04918032786885246,0.04539722572509458,0.02269861286254729,0.058007566204287514,0.021437578814627996,0.10970996216897856,0.1841109709962169,0.04665825977301387,0.03026481715006305,0.11853720050441362
L'Écosse,0.04625,0.04125,0.025,0.0625,0.02125,0.10875,0.18875,0.04625,0.03375,0.135
Le Paraguay,0.052565707133917394,0.0425531914893617,0.023779724655819776,0.0625782227784731,0.026282853566958697,0.11889862327909888,0.20400500625782228,0.05381727158948686,0.03254067584480601,0.1214017521902378
Le Brésil,0.04567901234567901,0.04197530864197531,0.024691358024691357,0.05555555555555555,0.020987654320987655,0.10987654320987654,0.19012345679012346,0.04691358024691358,0.03209876543209877,0.12098765432098765
L'Afrique,0.04523227383863081,0.040342298288508556,0.02444987775061125,0.0647921760391198,0.018337408312958436,0.10757946210268948,0.19193154034229828,0.044009779951100246,0.030562347188264057,0.1393643031784841
La Jordan,0.048567870485678705,0.0547945205479452,0.026151930261519303,0.05105853051058531,0.0273972602739726,0.11083437110834371,0.20298879202988793,0.047322540473225407,0.029887920298879204,0.12079701120797011
L'Indonésie,0.04733009708737864,0.04004854368932039,0.024271844660194174,0.06067961165048544,0.02063106796116505,0.11165048543689321,0.19781553398058252,0.050970873786407765,0.03155339805825243,0.13470873786407767
Le Viêt Nam,0.045454545454545456,0.05405405405405406,0.029484029484029485,0.060196560196560195,0.019656019656019656,0.10933660933660934,0.18304668304668303,0.045454545454545456,0.029484029484029485,0.1167076167076167
