,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsters,0.0471584038694075,0.04353083434099154,0.02418379685610641,0.05804111245465538,0.022974607013301087,0.11003627569528417,0.2007255139056832,0.0471584038694075,0.03385731559854897,0.1354292623941959
nerds,0.04600484261501211,0.0423728813559322,0.023002421307506054,0.05569007263922518,0.020581113801452784,0.10653753026634383,0.1973365617433414,0.04721549636803874,0.029055690072639227,0.13317191283292978
ploucs,0.0462085308056872,0.041469194312796206,0.026066350710900472,0.05924170616113744,0.024881516587677725,0.1018957345971564,0.20023696682464456,0.0462085308056872,0.034360189573459717,0.13744075829383887
sans-abri,0.045990566037735846,0.04009433962264151,0.025943396226415096,0.0589622641509434,0.020047169811320754,0.10613207547169812,0.19811320754716982,0.045990566037735846,0.03419811320754717,0.1332547169811321
féministes,0.046511627906976744,0.040697674418604654,0.02441860465116279,0.056976744186046514,0.020930232558139535,0.10813953488372093,0.19767441860465115,0.047674418604651166,0.030232558139534883,0.13837209302325582
riches,0.045012165450121655,0.04257907542579075,0.024330900243309004,0.06569343065693431,0.023114355231143552,0.1070559610705596,0.20072992700729927,0.04744525547445255,0.037712895377128956,0.13746958637469586
pauvres,0.04363636363636364,0.03515151515151515,0.024242424242424242,0.06181818181818182,0.02181818181818182,0.10787878787878788,0.1903030303030303,0.048484848484848485,0.037575757575757575,0.13575757575757577
criminels,0.04834905660377359,0.03891509433962264,0.025943396226415096,0.0589622641509434,0.020047169811320754,0.10731132075471699,0.1957547169811321,0.04716981132075472,0.03537735849056604,0.1403301886792453
fraternités étudiantes,0.04408352668213457,0.0382830626450116,0.022041763341067284,0.04988399071925754,0.02088167053364269,0.10904872389791183,0.19489559164733178,0.04524361948955916,0.027842227378190254,0.14153132250580047
garçons de fraternité,0.04509582863585118,0.038331454340473504,0.02480270574971815,0.05749718151071026,0.02480270574971815,0.10822998872604284,0.1995490417136415,0.05186020293122886,0.033821871476888386,0.1386696730552424
filles de sororité,0.04252873563218391,0.041379310344827586,0.026436781609195402,0.059770114942528735,0.02413793103448276,0.10804597701149425,0.19885057471264367,0.052873563218390804,0.035632183908045977,0.13448275862068965
hippies,0.04311377245508982,0.03832335329341317,0.023952095808383235,0.059880239520958084,0.02035928143712575,0.10778443113772455,0.19401197604790418,0.046706586826347304,0.03592814371257485,0.13532934131736526
geeks,0.048134777376654635,0.04091456077015644,0.02527075812274368,0.061371841155234655,0.02045728038507822,0.11070998796630566,0.19975932611311673,0.05054151624548736,0.031287605294825514,0.13116726835138387
gothiques,0.044444444444444446,0.04093567251461988,0.025730994152046785,0.0608187134502924,0.025730994152046785,0.1064327485380117,0.2,0.05263157894736842,0.03859649122807018,0.1368421052631579
punks,0.04611650485436893,0.04247572815533981,0.02669902912621359,0.05703883495145631,0.025485436893203883,0.1104368932038835,0.1966019417475728,0.04733009708737864,0.03640776699029126,0.13713592233009708
Californiens,0.045346062052505964,0.04295942720763723,0.025059665871121718,0.057279236276849645,0.01909307875894988,0.11336515513126491,0.20286396181384247,0.04892601431980907,0.032219570405727926,0.1360381861575179
célébrités,0.04648390941597139,0.04529201430274136,0.023837902264600714,0.060786650774731825,0.023837902264600714,0.11323003575685339,0.20143027413587605,0.050059594755661505,0.03098927294398093,0.13110846245530394
roux,0.047225501770956316,0.04014167650531287,0.02715466351829988,0.0602125147579693,0.024793388429752067,0.10153482880755609,0.19716646989374262,0.04604486422668241,0.030696576151121605,0.14049586776859505
