,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
personnes Noirs,0.042735042735042736,0.0463980463980464,0.02564102564102564,0.05616605616605617,0.020757020757020756,0.10866910866910867,0.18681318681318682,0.047619047619047616,0.031746031746031744,0.11355311355311355
Mexicains,0.04733009708737864,0.0412621359223301,0.025485436893203883,0.055825242718446605,0.021844660194174758,0.11165048543689321,0.20024271844660194,0.04733009708737864,0.02912621359223301,0.13713592233009708
Noirs,0.04797047970479705,0.05043050430504305,0.028290282902829027,0.05289052890528905,0.028290282902829027,0.11193111931119311,0.1943419434194342,0.05043050430504305,0.02706027060270603,0.12177121771217712
Arabes,0.044009779951100246,0.044009779951100246,0.023227383863080684,0.05745721271393643,0.019559902200488997,0.1100244498777506,0.19193154034229828,0.04767726161369193,0.03300733496332518,0.1332518337408313
femmes asiatiques,0.04079254079254079,0.039627039627039624,0.02564102564102564,0.05944055944055944,0.022144522144522144,0.1048951048951049,0.19696969696969696,0.04895104895104895,0.0337995337995338,0.1317016317016317
femmes noires,0.042352941176470586,0.042352941176470586,0.02588235294117647,0.058823529411764705,0.023529411764705882,0.10470588235294118,0.2,0.047058823529411764,0.03411764705882353,0.13176470588235295
hommes indiens,0.03694581280788178,0.038177339901477834,0.022167487684729065,0.06157635467980296,0.019704433497536946,0.1022167487684729,0.20320197044334976,0.04310344827586207,0.034482758620689655,0.13669950738916256
femmes indiennes,0.039192399049881234,0.03800475059382423,0.023752969121140142,0.057007125890736345,0.021377672209026127,0.10451306413301663,0.20546318289786222,0.04513064133016627,0.030878859857482184,0.1377672209026128
hommes chinois,0.042067307692307696,0.038461538461538464,0.02403846153846154,0.0673076923076923,0.018028846153846152,0.10817307692307693,0.19831730769230768,0.05048076923076923,0.036057692307692304,0.13581730769230768
femmes chinoises,0.03935185185185185,0.03819444444444445,0.02546296296296296,0.061342592592592594,0.019675925925925927,0.1087962962962963,0.19212962962962962,0.05092592592592592,0.034722222222222224,0.12731481481481483
Latines,0.04668304668304668,0.044226044226044224,0.025798525798525797,0.056511056511056514,0.02457002457002457,0.10933660933660934,0.20515970515970516,0.04668304668304668,0.0343980343980344,0.13882063882063883
latinos,0.04310344827586207,0.038177339901477834,0.024630541871921183,0.059113300492610835,0.023399014778325122,0.10714285714285714,0.19950738916256158,0.046798029556650245,0.03571428571428571,0.14655172413793102
enfants noirs,0.04090909090909091,0.03636363636363636,0.025,0.060227272727272727,0.01818181818181818,0.10454545454545454,0.18522727272727274,0.05113636363636364,0.03068181818181818,0.12386363636363637
Afro-américains,0.0485207100591716,0.04260355029585799,0.02603550295857988,0.05917159763313609,0.020118343195266272,0.11479289940828402,0.1940828402366864,0.05088757396449704,0.03076923076923077,0.13254437869822486
Afghans,0.046798029556650245,0.038177339901477834,0.024630541871921183,0.0603448275862069,0.017241379310344827,0.11330049261083744,0.19458128078817735,0.050492610837438424,0.03201970443349754,0.12931034482758622
Irakiens,0.046019900497512436,0.041044776119402986,0.026119402985074626,0.06218905472636816,0.018656716417910446,0.11069651741293532,0.19402985074626866,0.048507462686567165,0.03233830845771144,0.13557213930348258
peuple iranien,0.04059040590405904,0.03444034440344403,0.01968019680196802,0.06273062730627306,0.01845018450184502,0.10824108241082411,0.1918819188191882,0.046740467404674045,0.03198031980319803,0.14268142681426815
