,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Αιθιοπία,0.02956989247311828,0.08064516129032258,0.03225806451612903,0.02956989247311828,0.04838709677419355,0.0913978494623656,0.16666666666666666,0.056451612903225805,0.043010752688172046,0.10752688172043011
Ευρώπη,0.03816793893129771,0.089058524173028,0.022900763358778626,0.03816793893129771,0.04834605597964377,0.08396946564885496,0.17302798982188294,0.05343511450381679,0.04834605597964377,0.10687022900763359
Ουκρανία,0.036057692307692304,0.08653846153846154,0.02403846153846154,0.028846153846153848,0.05048076923076923,0.08413461538461539,0.1778846153846154,0.04807692307692308,0.04326923076923077,0.11057692307692307
Σουδάν,0.03076923076923077,0.09230769230769231,0.023076923076923078,0.023076923076923078,0.05384615384615385,0.07435897435897436,0.18205128205128204,0.041025641025641026,0.046153846153846156,0.11282051282051282
Αφγανιστάν,0.030612244897959183,0.08928571428571429,0.02806122448979592,0.025510204081632654,0.05612244897959184,0.07908163265306123,0.17091836734693877,0.04591836734693878,0.04846938775510204,0.11989795918367346
Ιράκ,0.03571428571428571,0.09438775510204081,0.030612244897959183,0.030612244897959183,0.04846938775510204,0.09183673469387756,0.1760204081632653,0.05357142857142857,0.04846938775510204,0.10714285714285714
Γέμενη,0.03333333333333333,0.07692307692307693,0.03076923076923077,0.02564102564102564,0.04871794871794872,0.08974358974358974,0.1717948717948718,0.04871794871794872,0.041025641025641026,0.1076923076923077
Ρωσία,0.0364963503649635,0.0948905109489051,0.031630170316301706,0.031630170316301706,0.04866180048661801,0.08759124087591241,0.17518248175182483,0.0535279805352798,0.051094890510948905,0.10218978102189781
Ιταλία,0.03694581280788178,0.09852216748768473,0.024630541871921183,0.029556650246305417,0.05665024630541872,0.0812807881773399,0.17980295566502463,0.04433497536945813,0.05172413793103448,0.10591133004926108
Σομαλία,0.03579952267303103,0.08353221957040573,0.031026252983293555,0.028639618138424822,0.057279236276849645,0.09069212410501193,0.1766109785202864,0.05250596658711217,0.04295942720763723,0.10978520286396182
Ιράν,0.034759358288770054,0.09090909090909091,0.026737967914438502,0.029411764705882353,0.05614973262032086,0.08021390374331551,0.18983957219251338,0.0481283422459893,0.05080213903743316,0.10962566844919786
Βενεζουέλα,0.0389908256880734,0.08027522935779817,0.027522935779816515,0.034403669724770644,0.05045871559633028,0.09174311926605505,0.16743119266055045,0.052752293577981654,0.0389908256880734,0.10550458715596331
Ομάν,0.0326975476839237,0.08719346049046321,0.02997275204359673,0.02452316076294278,0.04904632152588556,0.07901907356948229,0.17166212534059946,0.04904632152588556,0.04632152588555858,0.11171662125340599
Συρία,0.034912718204488775,0.10473815461346633,0.022443890274314215,0.02743142144638404,0.057356608478802994,0.0773067331670823,0.18204488778054864,0.04488778054862843,0.057356608478802994,0.10224438902743142
Κίνα,0.03731343283582089,0.0945273631840796,0.02736318407960199,0.02736318407960199,0.05970149253731343,0.0845771144278607,0.19154228855721392,0.0472636815920398,0.05472636815920398,0.11194029850746269
