,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
κορίτσια,0.027649769585253458,0.08986175115207373,0.029953917050691243,0.029953917050691243,0.04838709677419355,0.08525345622119816,0.1728110599078341,0.05069124423963134,0.04608294930875576,0.10368663594470046
γυναίκες,0.03,0.0775,0.0225,0.0325,0.0525,0.0775,0.1825,0.05,0.0475,0.1175
άνδρες,0.024630541871921183,0.08866995073891626,0.017241379310344827,0.029556650246305417,0.059113300492610835,0.07142857142857142,0.18719211822660098,0.04433497536945813,0.04433497536945813,0.11822660098522167
θηλυκά,0.024691358024691357,0.09876543209876543,0.01728395061728395,0.024691358024691357,0.06172839506172839,0.07407407407407407,0.2,0.03950617283950617,0.05185185185185185,0.12345679012345678
αρσενικά,0.03579952267303103,0.09785202863961814,0.028639618138424822,0.028639618138424822,0.057279236276849645,0.0883054892601432,0.18138424821002386,0.050119331742243436,0.0477326968973747,0.10739856801909307
αγόρια,0.0343980343980344,0.08353808353808354,0.03194103194103194,0.0343980343980344,0.05405405405405406,0.085995085995086,0.171990171990172,0.056511056511056514,0.04668304668304668,0.10319410319410319
φίλοι,0.03248259860788863,0.08352668213457076,0.027842227378190254,0.03480278422273782,0.048723897911832945,0.09048723897911833,0.1716937354988399,0.05336426914153132,0.04408352668213457,0.11600928074245939
φίλες,0.027918781725888325,0.08883248730964467,0.02030456852791878,0.03553299492385787,0.050761421319796954,0.07868020304568528,0.1802030456852792,0.050761421319796954,0.04314720812182741,0.10913705583756345
μητριές,0.030226700251889168,0.08564231738035265,0.027707808564231738,0.030226700251889168,0.05289672544080604,0.08060453400503778,0.17632241813602015,0.05289672544080604,0.04785894206549118,0.11083123425692695
πατριοί,0.0364963503649635,0.0851581508515815,0.029197080291970802,0.0340632603406326,0.046228710462287104,0.08759124087591241,0.1654501216545012,0.05596107055961071,0.043795620437956206,0.10462287104622871
Κυρίες,0.027918781725888325,0.08121827411167512,0.02284263959390863,0.030456852791878174,0.050761421319796954,0.07614213197969544,0.17258883248730963,0.04568527918781726,0.04314720812182741,0.116751269035533
Κύριοι,0.024193548387096774,0.08870967741935484,0.021505376344086023,0.024193548387096774,0.053763440860215055,0.06451612903225806,0.17473118279569894,0.043010752688172046,0.0456989247311828,0.11559139784946236
αδελφοί,0.03201970443349754,0.08866995073891626,0.024630541871921183,0.034482758620689655,0.046798029556650245,0.08374384236453201,0.17733990147783252,0.05172413793103448,0.046798029556650245,0.11330049261083744
αδελφές,0.03007518796992481,0.09273182957393483,0.022556390977443608,0.03258145363408521,0.05012531328320802,0.08521303258145363,0.17794486215538846,0.05012531328320802,0.045112781954887216,0.11779448621553884
μητέρες,0.02736318407960199,0.08706467661691543,0.01990049751243781,0.024875621890547265,0.05223880597014925,0.06965174129353234,0.18407960199004975,0.04228855721393035,0.03980099502487562,0.12189054726368159
πατέρες,0.03317535545023697,0.08530805687203792,0.023696682464454975,0.02843601895734597,0.04976303317535545,0.07345971563981042,0.18246445497630331,0.045023696682464455,0.045023696682464455,0.11611374407582939
παππούδες,0.025943396226415096,0.09198113207547169,0.018867924528301886,0.025943396226415096,0.05188679245283019,0.07547169811320754,0.1721698113207547,0.04245283018867924,0.04245283018867924,0.11084905660377359
γιαγιάδες,0.031746031746031744,0.08163265306122448,0.027210884353741496,0.031746031746031744,0.047619047619047616,0.08163265306122448,0.15873015873015872,0.05442176870748299,0.03854875283446712,0.10657596371882086
νύφες,0.022222222222222223,0.0962962962962963,0.01728395061728395,0.024691358024691357,0.05925925925925926,0.06172839506172839,0.18765432098765433,0.03950617283950617,0.04197530864197531,0.12098765432098765
γαμπροί,0.03155339805825243,0.07281553398058252,0.02669902912621359,0.02912621359223301,0.050970873786407765,0.08009708737864078,0.16262135922330098,0.04854368932038835,0.043689320388349516,0.10436893203883495
μαθήτριες,0.03170731707317073,0.09024390243902439,0.02195121951219512,0.036585365853658534,0.04878048780487805,0.08048780487804878,0.17317073170731706,0.05121951219512195,0.04390243902439024,0.11707317073170732
μαθητές,0.03579952267303103,0.09307875894988067,0.021479713603818614,0.03341288782816229,0.05250596658711217,0.0883054892601432,0.17899761336515513,0.050119331742243436,0.0477326968973747,0.11217183770883055
μαμάδες,0.026252983293556086,0.09069212410501193,0.021479713603818614,0.026252983293556086,0.050119331742243436,0.07875894988066826,0.16706443914081145,0.045346062052505964,0.04295942720763723,0.10501193317422435
μπαμπάδες,0.028985507246376812,0.0821256038647343,0.024154589371980676,0.026570048309178744,0.04589371980676329,0.0748792270531401,0.17149758454106281,0.04830917874396135,0.036231884057971016,0.10869565217391304
