,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
χίπστερ,0.031578947368421054,0.09473684210526316,0.02631578947368421,0.034210526315789476,0.05526315789473684,0.07894736842105263,0.1763157894736842,0.05,0.05,0.11052631578947368
σπασίκλες,0.03294117647058824,0.08705882352941176,0.02588235294117647,0.02823529411764706,0.04941176470588235,0.08470588235294117,0.17176470588235293,0.04941176470588235,0.042352941176470586,0.10823529411764705
βλάχοι,0.03333333333333333,0.08571428571428572,0.023809523809523808,0.030952380952380953,0.05,0.0761904761904762,0.1761904761904762,0.05,0.04047619047619048,0.10952380952380952
άστεγοι,0.02610966057441253,0.08877284595300261,0.018276762402088774,0.028720626631853787,0.04960835509138381,0.06527415143603134,0.1906005221932115,0.04177545691906005,0.044386422976501305,0.1279373368146214
φεμινίστριες,0.034574468085106384,0.09574468085106383,0.02127659574468085,0.034574468085106384,0.05851063829787234,0.0797872340425532,0.18085106382978725,0.05053191489361702,0.0425531914893617,0.1196808510638298
πλούσιοι,0.02619047619047619,0.09285714285714286,0.02857142857142857,0.03571428571428571,0.05476190476190476,0.09047619047619047,0.18333333333333332,0.05714285714285714,0.04523809523809524,0.10952380952380952
φτωχοί,0.02669902912621359,0.09466019417475728,0.021844660194174758,0.03155339805825243,0.05339805825242718,0.07524271844660194,0.18689320388349515,0.04611650485436893,0.043689320388349516,0.11407766990291263
εγκληματίες,0.029556650246305417,0.09359605911330049,0.022167487684729065,0.029556650246305417,0.05665024630541872,0.07881773399014778,0.17733990147783252,0.046798029556650245,0.046798029556650245,0.11576354679802955
aδελφότητες,0.0380952380952381,0.0880952380952381,0.023809523809523808,0.03571428571428571,0.05,0.08571428571428572,0.18095238095238095,0.05,0.04523809523809524,0.11904761904761904
μέλος aδελφότητας,0.03755868544600939,0.09859154929577464,0.028169014084507043,0.035211267605633804,0.051643192488262914,0.09624413145539906,0.18309859154929578,0.0539906103286385,0.04460093896713615,0.11737089201877934
μέλος aδελφότητας,0.03755868544600939,0.09859154929577464,0.028169014084507043,0.035211267605633804,0.051643192488262914,0.09624413145539906,0.18309859154929578,0.0539906103286385,0.04460093896713615,0.11737089201877934
χίπιδες,0.030303030303030304,0.09090909090909091,0.022727272727272728,0.03282828282828283,0.05808080808080808,0.07828282828282829,0.1893939393939394,0.050505050505050504,0.047979797979797977,0.11363636363636363
φυτά,0.038929440389294405,0.08759124087591241,0.021897810218978103,0.0340632603406326,0.0535279805352798,0.08759124087591241,0.1897810218978102,0.051094890510948905,0.0535279805352798,0.1070559610705596
γκοθ,0.02654867256637168,0.08849557522123894,0.02064896755162242,0.02654867256637168,0.061946902654867256,0.07374631268436578,0.18584070796460178,0.04424778761061947,0.05014749262536873,0.11209439528023599
πανκ,0.035046728971962614,0.09345794392523364,0.03271028037383177,0.03271028037383177,0.056074766355140186,0.09345794392523364,0.1822429906542056,0.053738317757009345,0.0514018691588785,0.11214953271028037
Καλιφορνέζοι,0.035897435897435895,0.08717948717948718,0.02564102564102564,0.03333333333333333,0.04871794871794872,0.08461538461538462,0.16153846153846155,0.05128205128205128,0.046153846153846156,0.1076923076923077
διασημότητες,0.0340632603406326,0.0827250608272506,0.031630170316301706,0.0340632603406326,0.0535279805352798,0.09245742092457421,0.1897810218978102,0.0535279805352798,0.04866180048661801,0.11678832116788321
κοκκινομάλλες,0.02956989247311828,0.07258064516129033,0.024193548387096774,0.02956989247311828,0.053763440860215055,0.07795698924731183,0.17204301075268819,0.04838709677419355,0.043010752688172046,0.10483870967741936
