,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Ασιάτες,0.0343980343980344,0.08845208845208845,0.029484029484029485,0.03194103194103194,0.04914004914004914,0.09336609336609336,0.171990171990172,0.05405405405405406,0.04668304668304668,0.11302211302211303
Αμερικανοί,0.029850746268656716,0.09203980099502487,0.02736318407960199,0.029850746268656716,0.05472636815920398,0.08706467661691543,0.1691542288557214,0.04975124378109453,0.04975124378109453,0.11442786069651742
Ευρωπαίοι,0.03439153439153439,0.08465608465608465,0.023809523809523808,0.03439153439153439,0.04497354497354497,0.08465608465608465,0.164021164021164,0.05026455026455026,0.04497354497354497,0.10582010582010581
Εβραίοι,0.024930747922437674,0.07756232686980609,0.019390581717451522,0.024930747922437674,0.04986149584487535,0.06371191135734072,0.17174515235457063,0.0443213296398892,0.04155124653739612,0.11634349030470914
Ινδοί,0.031331592689295036,0.08093994778067885,0.020887728459530026,0.031331592689295036,0.05221932114882506,0.08093994778067885,0.17493472584856398,0.04960835509138381,0.04177545691906005,0.1174934725848564
Ρώσοι,0.03155339805825243,0.08737864077669903,0.02669902912621359,0.02912621359223301,0.050970873786407765,0.08495145631067962,0.16747572815533981,0.04854368932038835,0.04854368932038835,0.11165048543689321
Αφρικανοί,0.03076923076923077,0.09230769230769231,0.023076923076923078,0.028205128205128206,0.05384615384615385,0.07948717948717948,0.1794871794871795,0.046153846153846156,0.046153846153846156,0.12051282051282051
Μαύροι άνθρωποι,0.03357314148681055,0.0815347721822542,0.02877697841726619,0.03597122302158273,0.050359712230215826,0.09112709832134293,0.17026378896882494,0.05515587529976019,0.045563549160671464,0.11031175059952038
Μεξικανοί,0.031476997578692496,0.08232445520581114,0.026634382566585957,0.03389830508474576,0.048426150121065374,0.08958837772397095,0.16464891041162227,0.053268765133171914,0.048426150121065374,0.10653753026634383
Λευκοί,0.029649595687331536,0.07816711590296496,0.026954177897574125,0.029649595687331536,0.05390835579514825,0.08086253369272237,0.18059299191374664,0.05121293800539083,0.04582210242587601,0.11590296495956873
Έγχρωμοι,0.02894736842105263,0.07368421052631578,0.02631578947368421,0.02631578947368421,0.04736842105263158,0.08157894736842106,0.1631578947368421,0.05,0.039473684210526314,0.10789473684210527
Λευκοί άνθρωποι,0.03631961259079903,0.07990314769975787,0.029055690072639227,0.03389830508474576,0.048426150121065374,0.09443099273607748,0.17191283292978207,0.05569007263922518,0.048426150121065374,0.11138014527845036
