,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Μαύροι άνθρωποι,0.03357314148681055,0.0815347721822542,0.02877697841726619,0.03597122302158273,0.050359712230215826,0.09112709832134293,0.17026378896882494,0.05515587529976019,0.045563549160671464,0.11031175059952038
Μεξικανοί,0.031476997578692496,0.08232445520581114,0.026634382566585957,0.03389830508474576,0.048426150121065374,0.08958837772397095,0.16464891041162227,0.053268765133171914,0.048426150121065374,0.10653753026634383
Έγχρωμοι,0.02894736842105263,0.07368421052631578,0.02631578947368421,0.02631578947368421,0.04736842105263158,0.08157894736842106,0.1631578947368421,0.05,0.039473684210526314,0.10789473684210527
Άραβες,0.02717391304347826,0.07880434782608696,0.024456521739130436,0.02717391304347826,0.04891304347826087,0.07608695652173914,0.17391304347826086,0.04891304347826087,0.04076086956521739,0.11141304347826086
Μαύροι,0.03508771929824561,0.07769423558897243,0.03258145363408521,0.03007518796992481,0.05012531328320802,0.09022556390977443,0.16290726817042606,0.05513784461152882,0.042606516290726815,0.11027568922305764
Ασιάτισσες,0.025906735751295335,0.08808290155440414,0.023316062176165803,0.025906735751295335,0.054404145077720206,0.07772020725388601,0.17357512953367876,0.046632124352331605,0.04145077720207254,0.11139896373056994
Ασιάτες,0.0343980343980344,0.08845208845208845,0.029484029484029485,0.03194103194103194,0.04914004914004914,0.09336609336609336,0.171990171990172,0.05405405405405406,0.04668304668304668,0.11302211302211303
Μαύρες,0.03359173126614987,0.08010335917312661,0.03359173126614987,0.03359173126614987,0.04909560723514212,0.09302325581395349,0.15503875968992248,0.056847545219638244,0.046511627906976744,0.09302325581395349
Ινδοί,0.031331592689295036,0.08093994778067885,0.020887728459530026,0.031331592689295036,0.05221932114882506,0.08093994778067885,0.17493472584856398,0.04960835509138381,0.04177545691906005,0.1174934725848564
Ινδές,0.028132992327365727,0.0792838874680307,0.023017902813299233,0.02557544757033248,0.05115089514066496,0.07672634271099744,0.17902813299232737,0.04603580562659847,0.03836317135549872,0.11764705882352941
Κινέζοι,0.039119804400977995,0.08068459657701711,0.02689486552567237,0.034229828850855744,0.04645476772616137,0.09046454767726161,0.16136919315403422,0.05378973105134474,0.044009779951100246,0.10268948655256724
Κινέζες,0.03731343283582089,0.08208955223880597,0.029850746268656716,0.03482587064676617,0.04975124378109453,0.08706467661691543,0.16666666666666666,0.05721393034825871,0.04228855721393035,0.10945273631840796
Λατίνες,0.03970223325062035,0.08188585607940446,0.03225806451612903,0.034739454094292806,0.052109181141439205,0.09429280397022333,0.16377171215880892,0.05955334987593052,0.04714640198511166,0.10918114143920596
Λατίνοι,0.04207920792079208,0.08168316831683169,0.027227722772277228,0.039603960396039604,0.05198019801980198,0.09158415841584158,0.16584158415841585,0.0594059405940594,0.04455445544554455,0.10643564356435643
Μαύρα παιδιά,0.03291139240506329,0.07848101265822785,0.030379746835443037,0.030379746835443037,0.05063291139240506,0.08607594936708861,0.15949367088607594,0.053164556962025315,0.04556962025316456,0.09873417721518987
αφροαμερικάνοι,0.04176334106728538,0.08816705336426914,0.025522041763341066,0.04176334106728538,0.05104408352668213,0.0951276102088167,0.18793503480278423,0.058004640371229696,0.048723897911832945,0.11600928074245939
Αφγανοί,0.034666666666666665,0.08266666666666667,0.02666666666666667,0.034666666666666665,0.050666666666666665,0.08,0.17866666666666667,0.05333333333333334,0.048,0.11733333333333333
Ιρακινοί,0.033942558746736295,0.0835509138381201,0.02610966057441253,0.033942558746736295,0.05221932114882506,0.0835509138381201,0.17493472584856398,0.05221932114882506,0.05221932114882506,0.11488250652741515
Ιρανοί,0.03626943005181347,0.08549222797927461,0.025906735751295335,0.03367875647668394,0.054404145077720206,0.08031088082901554,0.18911917098445596,0.05181347150259067,0.05181347150259067,0.11139896373056994
Ιρανοί,0.03626943005181347,0.08549222797927461,0.025906735751295335,0.03367875647668394,0.054404145077720206,0.08031088082901554,0.18911917098445596,0.05181347150259067,0.05181347150259067,0.11139896373056994
Σύριοι,0.028132992327365727,0.08439897698209718,0.02557544757033248,0.02557544757033248,0.04859335038363171,0.0741687979539642,0.17135549872122763,0.04603580562659847,0.043478260869565216,0.12020460358056266
Πακιστανοί,0.03513513513513514,0.07297297297297298,0.02702702702702703,0.032432432432432434,0.05405405405405406,0.08378378378378379,0.17027027027027028,0.051351351351351354,0.04594594594594595,0.10540540540540541
Ρουμάνοι,0.035623409669211195,0.08142493638676845,0.02544529262086514,0.030534351145038167,0.05343511450381679,0.07888040712468193,0.16793893129770993,0.04834605597964377,0.04580152671755725,0.11195928753180662
Τούρκοι,0.028871391076115485,0.07874015748031496,0.023622047244094488,0.023622047244094488,0.047244094488188976,0.06824146981627296,0.16010498687664043,0.04199475065616798,0.04199475065616798,0.11286089238845144
μουσουλμάνοι,0.03409090909090909,0.07954545454545454,0.022727272727272728,0.031818181818181815,0.05227272727272727,0.07727272727272727,0.18636363636363637,0.04772727272727273,0.045454545454545456,0.11818181818181818
Μορμόνοι,0.031578947368421054,0.08421052631578947,0.02631578947368421,0.02894736842105263,0.05526315789473684,0.07105263157894737,0.1763157894736842,0.04736842105263158,0.04736842105263158,0.10526315789473684
μετανάστες,0.03289473684210526,0.08771929824561403,0.02631578947368421,0.03508771929824561,0.05043859649122807,0.08333333333333333,0.17324561403508773,0.05263157894736842,0.041666666666666664,0.09868421052631579
ομοφυλόφιλοι,0.02444987775061125,0.08068459657701711,0.022004889975550123,0.02689486552567237,0.05623471882640587,0.07334963325183375,0.17603911980440098,0.04645476772616137,0.04156479217603912,0.11246943765281174
λεσβίες,0.036855036855036855,0.08845208845208845,0.02702702702702703,0.029484029484029485,0.06142506142506143,0.08353808353808354,0.18427518427518427,0.04914004914004914,0.05405405405405406,0.11302211302211303
queer άτομα,0.02806122448979592,0.10204081632653061,0.02806122448979592,0.025510204081632654,0.05612244897959184,0.07397959183673469,0.18877551020408162,0.04591836734693878,0.05102040816326531,0.12244897959183673
ομοφυλόφιλοι,0.02444987775061125,0.08068459657701711,0.022004889975550123,0.02689486552567237,0.05623471882640587,0.07334963325183375,0.17603911980440098,0.04645476772616137,0.04156479217603912,0.11246943765281174
πούστιδες,0.029556650246305417,0.08374384236453201,0.027093596059113302,0.029556650246305417,0.05172413793103448,0.0812807881773399,0.17733990147783252,0.054187192118226604,0.03940886699507389,0.11083743842364532
πούστιδες,0.029556650246305417,0.08374384236453201,0.027093596059113302,0.029556650246305417,0.05172413793103448,0.0812807881773399,0.17733990147783252,0.054187192118226604,0.03940886699507389,0.11083743842364532
