,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Etiopía,0.04291845493562232,0.0536480686695279,0.04721030042918455,0.07081545064377683,0.034334763948497854,0.12017167381974249,0.2510729613733906,0.055793991416309016,0.02145922746781116,0.13948497854077252
Europa,0.04044943820224719,0.056179775280898875,0.051685393258426963,0.06741573033707865,0.038202247191011236,0.11910112359550562,0.24943820224719102,0.058426966292134834,0.024719101123595506,0.14831460674157304
Ucrania,0.042505592841163314,0.058165548098434,0.049217002237136466,0.06487695749440715,0.040268456375838924,0.11409395973154363,0.2662192393736018,0.058165548098434,0.026845637583892617,0.14317673378076062
Sudán,0.04434589800443459,0.05321507760532151,0.050997782705099776,0.07095343680709534,0.03991130820399113,0.1197339246119734,0.24611973392461198,0.057649667405764965,0.024390243902439025,0.13082039911308205
Afganistán,0.049107142857142856,0.05580357142857143,0.046875,0.06696428571428571,0.03794642857142857,0.109375,0.23883928571428573,0.05133928571428571,0.024553571428571428,0.13392857142857142
Irak,0.04439252336448598,0.05841121495327103,0.04906542056074766,0.07242990654205607,0.04439252336448598,0.11214953271028037,0.26401869158878505,0.05841121495327103,0.02570093457943925,0.13551401869158877
Yemen,0.04279279279279279,0.05405405405405406,0.0472972972972973,0.07657657657657657,0.04054054054054054,0.12837837837837837,0.26126126126126126,0.06306306306306306,0.024774774774774775,0.13963963963963963
Rusia,0.04035874439461883,0.05829596412556054,0.0515695067264574,0.06502242152466367,0.042600896860986545,0.11434977578475336,0.24887892376681614,0.05605381165919283,0.026905829596412557,0.13901345291479822
Italia,0.04090909090909091,0.06136363636363636,0.045454545454545456,0.06818181818181818,0.04090909090909091,0.1159090909090909,0.2590909090909091,0.05454545454545454,0.029545454545454545,0.13863636363636364
Somalia,0.05133928571428571,0.0625,0.049107142857142856,0.078125,0.04241071428571429,0.125,0.26339285714285715,0.06473214285714286,0.026785714285714284,0.140625
Irán,0.04072398190045249,0.05203619909502263,0.042986425339366516,0.06787330316742081,0.04524886877828054,0.11085972850678733,0.24660633484162897,0.05203619909502263,0.029411764705882353,0.11990950226244344
Venezuela,0.03294117647058824,0.05411764705882353,0.04941176470588235,0.06588235294117648,0.04,0.10352941176470588,0.26588235294117646,0.05411764705882353,0.023529411764705882,0.15294117647058825
Omán,0.05517241379310345,0.052873563218390804,0.05057471264367816,0.08275862068965517,0.034482758620689655,0.1310344827586207,0.23908045977011494,0.06206896551724138,0.022988505747126436,0.12873563218390804
Siria,0.03908045977011494,0.05747126436781609,0.05057471264367816,0.0735632183908046,0.03908045977011494,0.12183908045977011,0.2482758620689655,0.06206896551724138,0.027586206896551724,0.1310344827586207
Porcelana,0.042316258351893093,0.060133630289532294,0.04899777282850779,0.0779510022271715,0.0378619153674833,0.11804008908685969,0.25389755011135856,0.051224944320712694,0.017817371937639197,0.13808463251670378
