,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
chicas,0.04578313253012048,0.05542168674698795,0.04819277108433735,0.07228915662650602,0.03132530120481928,0.10843373493975904,0.20240963855421687,0.06265060240963856,0.01927710843373494,0.13253012048192772
mujeres,0.035211267605633804,0.05868544600938967,0.04929577464788732,0.05868544600938967,0.03286384976525822,0.10093896713615023,0.20422535211267606,0.051643192488262914,0.018779342723004695,0.13380281690140844
hombres,0.033734939759036145,0.05542168674698795,0.04819277108433735,0.060240963855421686,0.03132530120481928,0.10602409638554217,0.21204819277108433,0.05060240963855422,0.016867469879518072,0.14457831325301204
hembras,0.04878048780487805,0.05543237250554324,0.050997782705099776,0.07538802660753881,0.04212860310421286,0.1197339246119734,0.24168514412416853,0.06651884700665188,0.024390243902439025,0.1419068736141907
machos,0.04081632653061224,0.05668934240362812,0.04308390022675737,0.06575963718820861,0.034013605442176874,0.1111111111111111,0.22448979591836735,0.06349206349206349,0.015873015873015872,0.16099773242630386
niños,0.035955056179775284,0.05393258426966292,0.04044943820224719,0.06741573033707865,0.033707865168539325,0.10337078651685393,0.20449438202247192,0.056179775280898875,0.017977528089887642,0.15955056179775282
novios,0.04856512141280353,0.05739514348785872,0.046357615894039736,0.0728476821192053,0.03532008830022075,0.11258278145695365,0.2251655629139073,0.06181015452538632,0.02207505518763797,0.1368653421633554
novias,0.05274725274725275,0.05274725274725275,0.04835164835164835,0.08131868131868132,0.035164835164835165,0.12527472527472527,0.22857142857142856,0.06593406593406594,0.01978021978021978,0.13186813186813187
madrastras,0.05191873589164785,0.04966139954853273,0.045146726862302484,0.07900677200902935,0.033860045146726865,0.12866817155756208,0.23024830699774265,0.05869074492099323,0.022573363431151242,0.13318284424379231
padrastros,0.05506607929515418,0.05066079295154185,0.05726872246696035,0.08590308370044053,0.030837004405286344,0.1299559471365639,0.22246696035242292,0.06828193832599119,0.01762114537444934,0.13876651982378854
damas,0.0585480093676815,0.053864168618266976,0.05152224824355972,0.08430913348946135,0.03278688524590164,0.13348946135831383,0.22014051522248243,0.06557377049180328,0.01873536299765808,0.12412177985948478
caballeros,0.04856512141280353,0.05739514348785872,0.04856512141280353,0.07947019867549669,0.033112582781456956,0.11699779249448124,0.2251655629139073,0.0640176600441501,0.017660044150110375,0.141280353200883
hermanos,0.027586206896551724,0.052873563218390804,0.029885057471264367,0.059770114942528735,0.03218390804597701,0.08735632183908046,0.23218390804597702,0.04597701149425287,0.016091954022988506,0.1632183908045977
hermanas,0.04328018223234624,0.05239179954441914,0.04100227790432802,0.0774487471526196,0.0387243735763098,0.11617312072892938,0.2528473804100228,0.05239179954441914,0.022779043280182234,0.14350797266514806
madres,0.045662100456621,0.0502283105022831,0.03881278538812785,0.0776255707762557,0.0365296803652968,0.1141552511415525,0.2328767123287671,0.05251141552511415,0.02054794520547945,0.13926940639269406
padres,0.0468384074941452,0.04918032786885246,0.03747072599531616,0.07728337236533958,0.03278688524590164,0.10772833723653395,0.22950819672131148,0.0585480093676815,0.01639344262295082,0.16159250585480095
abuelos,0.05088495575221239,0.05309734513274336,0.0420353982300885,0.07079646017699115,0.033185840707964605,0.11504424778761062,0.2234513274336283,0.061946902654867256,0.015486725663716814,0.1504424778761062
abuelas,0.05591397849462366,0.05161290322580645,0.04946236559139785,0.08172043010752689,0.034408602150537634,0.12473118279569892,0.23225806451612904,0.06236559139784946,0.01935483870967742,0.13978494623655913
esposas,0.039473684210526314,0.05263157894736842,0.039473684210526314,0.06359649122807018,0.039473684210526314,0.10526315789473684,0.2543859649122807,0.046052631578947366,0.021929824561403508,0.1425438596491228
esposos,0.04212860310421286,0.0598669623059867,0.04878048780487805,0.07095343680709534,0.03325942350332594,0.1130820399113082,0.22838137472283815,0.0598669623059867,0.019955654101995565,0.14634146341463414
colegialas,0.046620046620046623,0.04895104895104895,0.037296037296037296,0.0675990675990676,0.030303030303030304,0.11421911421911422,0.23776223776223776,0.055944055944055944,0.016317016317016316,0.13752913752913754
colegiales,0.053691275167785234,0.049217002237136466,0.0447427293064877,0.0738255033557047,0.029082774049217,0.10738255033557047,0.22371364653243847,0.06711409395973154,0.015659955257270694,0.15212527964205816
mamis,0.0467706013363029,0.053452115812917596,0.0467706013363029,0.06904231625835189,0.0334075723830735,0.11804008908685969,0.22939866369710468,0.062360801781737196,0.022271714922048998,0.12249443207126949
papis,0.046296296296296294,0.05555555555555555,0.04861111111111111,0.08101851851851852,0.034722222222222224,0.12268518518518519,0.2222222222222222,0.06481481481481481,0.018518518518518517,0.13657407407407407
