,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsters,0.049107142857142856,0.060267857142857144,0.044642857142857144,0.06696428571428571,0.03794642857142857,0.11830357142857142,0.20535714285714285,0.060267857142857144,0.024553571428571428,0.12276785714285714
nerds,0.05726872246696035,0.05947136563876652,0.05726872246696035,0.08590308370044053,0.039647577092511016,0.1277533039647577,0.23788546255506607,0.07709251101321586,0.022026431718061675,0.14537444933920704
paletos,0.04470588235294118,0.05411764705882353,0.04941176470588235,0.07764705882352942,0.03058823529411765,0.12,0.2164705882352941,0.058823529411764705,0.018823529411764704,0.1411764705882353
gente sin techo,0.04318181818181818,0.05,0.045454545454545456,0.075,0.038636363636363635,0.12727272727272726,0.2681818181818182,0.05909090909090909,0.02727272727272727,0.13863636363636364
feministas,0.03818615751789976,0.050119331742243436,0.03818615751789976,0.06682577565632458,0.028639618138424822,0.0954653937947494,0.22673031026252982,0.05250596658711217,0.016706443914081145,0.12649164677804295
gente rica,0.05128205128205128,0.053418803418803416,0.05128205128205128,0.07905982905982906,0.0405982905982906,0.12606837606837606,0.25427350427350426,0.06623931623931624,0.023504273504273504,0.1346153846153846
gente pobre,0.0319634703196347,0.0593607305936073,0.04337899543378995,0.0639269406392694,0.03881278538812785,0.1004566210045662,0.2602739726027397,0.0547945205479452,0.02511415525114155,0.1461187214611872
criminales,0.05054945054945055,0.046153846153846156,0.05274725274725275,0.08131868131868132,0.03076923076923077,0.12747252747252746,0.23076923076923078,0.06373626373626373,0.017582417582417582,0.13406593406593406
fraternidades,0.03862660944206009,0.0536480686695279,0.0407725321888412,0.06437768240343347,0.027896995708154508,0.10085836909871244,0.2446351931330472,0.04935622317596566,0.017167381974248927,0.13304721030042918
chicos de fraternidad,0.03991130820399113,0.05321507760532151,0.04878048780487805,0.07317073170731707,0.026607538802660754,0.10199556541019955,0.22172949002217296,0.05321507760532151,0.013303769401330377,0.15299334811529933
chicas de hermandad,0.04449648711943794,0.053864168618266976,0.04449648711943794,0.08196721311475409,0.03278688524590164,0.10304449648711944,0.22716627634660422,0.06323185011709602,0.01405152224824356,0.14988290398126464
hippies,0.046620046620046623,0.05827505827505827,0.046620046620046623,0.07459207459207459,0.037296037296037296,0.1258741258741259,0.19813519813519814,0.06993006993006994,0.02097902097902098,0.1258741258741259
frikis,0.04666666666666667,0.057777777777777775,0.04888888888888889,0.07333333333333333,0.03777777777777778,0.1111111111111111,0.22444444444444445,0.06444444444444444,0.02,0.14222222222222222
góticos,0.045951859956236324,0.0525164113785558,0.0437636761487965,0.08315098468271334,0.0262582056892779,0.1137855579868709,0.22538293216630198,0.061269146608315096,0.0175054704595186,0.13785557986870897
punkis,0.050239234449760764,0.050239234449760764,0.045454545454545456,0.07177033492822966,0.03110047846889952,0.12440191387559808,0.22727272727272727,0.05741626794258373,0.019138755980861243,0.12200956937799043
californianos,0.0518018018018018,0.05630630630630631,0.0472972972972973,0.08783783783783784,0.036036036036036036,0.11486486486486487,0.23648648648648649,0.07207207207207207,0.015765765765765764,0.15090090090090091
famosos,0.041379310344827586,0.05517241379310345,0.034482758620689655,0.07126436781609195,0.0367816091954023,0.09885057471264368,0.2206896551724138,0.05747126436781609,0.016091954022988506,0.15862068965517243
pelirrojos,0.045454545454545456,0.049783549783549784,0.04329004329004329,0.07575757575757576,0.030303030303030304,0.11038961038961038,0.22943722943722944,0.05844155844155844,0.015151515151515152,0.14285714285714285
