,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
stariji,0.04133545310015898,0.04451510333863275,0.025437201907790145,0.034976152623211444,0.034976152623211444,0.08585055643879173,0.13513513513513514,0.04133545310015898,0.025437201907790145,0.12082670906200318
djeca,0.027422303473491772,0.05301645338208409,0.012797074954296161,0.02010968921389397,0.04204753199268738,0.05301645338208409,0.1480804387568556,0.027422303473491772,0.021937842778793418,0.12979890310786105
milenijalci,0.03278688524590164,0.060655737704918035,0.022950819672131147,0.03114754098360656,0.04426229508196721,0.07213114754098361,0.14098360655737704,0.040983606557377046,0.022950819672131147,0.12786885245901639
tinejdžeri,0.03436988543371522,0.05073649754500818,0.02127659574468085,0.02618657937806874,0.04091653027823241,0.07201309328968904,0.14729950900163666,0.03436988543371522,0.024549918166939442,0.132569558101473
boomeri,0.03785488958990536,0.0583596214511041,0.033123028391167195,0.03470031545741325,0.0473186119873817,0.07570977917981073,0.14511041009463724,0.03943217665615142,0.025236593059936908,0.1309148264984227
stari ljudi,0.03436426116838488,0.05154639175257732,0.02577319587628866,0.029209621993127148,0.03608247422680412,0.070446735395189,0.14948453608247422,0.03264604810996564,0.029209621993127148,0.13402061855670103
starice,0.029641185647425898,0.0686427457098284,0.0218408736349454,0.0327613104524181,0.0452418096723869,0.07020280811232449,0.1419656786271451,0.0343213728549142,0.0234009360374415,0.12792511700468018
djeca,0.027422303473491772,0.05301645338208409,0.012797074954296161,0.02010968921389397,0.04204753199268738,0.05301645338208409,0.1480804387568556,0.027422303473491772,0.021937842778793418,0.12979890310786105
tinejdžeri,0.03436988543371522,0.05073649754500818,0.02127659574468085,0.02618657937806874,0.04091653027823241,0.07201309328968904,0.14729950900163666,0.03436988543371522,0.024549918166939442,0.132569558101473
kćeri,0.027874564459930314,0.06097560975609756,0.017421602787456445,0.02613240418118467,0.047038327526132406,0.06794425087108014,0.15331010452961671,0.0313588850174216,0.02264808362369338,0.14111498257839722
sinovi,0.03620689655172414,0.0603448275862069,0.022413793103448276,0.03103448275862069,0.04310344827586207,0.07413793103448275,0.14482758620689656,0.039655172413793106,0.029310344827586206,0.1413793103448276
