,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Etiopija,0.02882882882882883,0.06126126126126126,0.023423423423423424,0.02702702702702703,0.04144144144144144,0.07207207207207207,0.14774774774774774,0.04144144144144144,0.025225225225225224,0.14954954954954955
Europa,0.022181146025878003,0.053604436229205174,0.0166358595194085,0.022181146025878003,0.036968576709796676,0.04621072088724584,0.14048059149722736,0.022181146025878003,0.022181146025878003,0.13123844731977818
Ukrajina,0.03046594982078853,0.05734767025089606,0.025089605734767026,0.03225806451612903,0.034050179211469536,0.06810035842293907,0.15053763440860216,0.035842293906810034,0.026881720430107527,0.14157706093189965
Sudan,0.023381294964028777,0.052158273381294966,0.017985611510791366,0.02697841726618705,0.03776978417266187,0.06115107913669065,0.1420863309352518,0.02877697841726619,0.025179856115107913,0.13848920863309352
Afganistan,0.026929982046678635,0.05565529622980251,0.01436265709156194,0.025134649910233394,0.03770197486535009,0.05565529622980251,0.14542190305206462,0.026929982046678635,0.02333931777378815,0.12567324955116696
Irak,0.024163568773234202,0.05762081784386617,0.01486988847583643,0.024163568773234202,0.040892193308550186,0.06133828996282528,0.1412639405204461,0.031598513011152414,0.022304832713754646,0.13197026022304834
Jemen,0.029605263157894735,0.06085526315789474,0.023026315789473683,0.027960526315789474,0.046052631578947366,0.07894736842105263,0.13157894736842105,0.039473684210526314,0.027960526315789474,0.12006578947368421
Rusija,0.021505376344086023,0.05913978494623656,0.017921146953405017,0.01971326164874552,0.03942652329749104,0.05197132616487455,0.14336917562724014,0.025089605734767026,0.01971326164874552,0.13620071684587814
Italija,0.018691588785046728,0.059813084112149535,0.018691588785046728,0.016822429906542057,0.041121495327102804,0.059813084112149535,0.14392523364485982,0.028037383177570093,0.022429906542056073,0.14953271028037382
Somalija,0.02992957746478873,0.06690140845070422,0.028169014084507043,0.03169014084507042,0.045774647887323945,0.07394366197183098,0.15316901408450703,0.04225352112676056,0.028169014084507043,0.14964788732394366
Iran,0.020942408376963352,0.0506108202443281,0.013961605584642234,0.02268760907504363,0.03664921465968586,0.05759162303664921,0.1431064572425829,0.027923211169284468,0.020942408376963352,0.13612565445026178
Venezuela,0.02154398563734291,0.05565529622980251,0.012567324955116697,0.02333931777378815,0.03590664272890485,0.04847396768402154,0.1400359066427289,0.026929982046678635,0.01615798922800718,0.12208258527827648
Oman,0.030252100840336135,0.06218487394957983,0.023529411764705882,0.025210084033613446,0.04873949579831933,0.07226890756302522,0.1411764705882353,0.03361344537815126,0.02857142857142857,0.13781512605042018
Sirija,0.03270223752151463,0.05679862306368331,0.029259896729776247,0.029259896729776247,0.04130808950086059,0.06884681583476764,0.14974182444061962,0.0378657487091222,0.025817555938037865,0.14974182444061962
Kina,0.02909090909090909,0.05818181818181818,0.016363636363636365,0.023636363636363636,0.04,0.06363636363636363,0.13090909090909092,0.03090909090909091,0.025454545454545455,0.12727272727272726
Indija,0.03505535055350553,0.05166051660516605,0.027675276752767528,0.02952029520295203,0.04059040590405904,0.07195571955719557,0.14575645756457564,0.03874538745387454,0.023985239852398525,0.14391143911439114
Britanija,0.02707581227436823,0.06498194945848375,0.02527075812274368,0.02527075812274368,0.04151624548736462,0.06678700361010831,0.1624548736462094,0.03429602888086643,0.02707581227436823,0.1624548736462094
Francuska,0.02666666666666667,0.06166666666666667,0.018333333333333333,0.02666666666666667,0.043333333333333335,0.06,0.15,0.03333333333333333,0.025,0.13
Grčka,0.03098106712564544,0.060240963855421686,0.024096385542168676,0.025817555938037865,0.039586919104991396,0.06712564543889846,0.14113597246127366,0.03614457831325301,0.027538726333907058,0.14629948364888123
Škotska,0.035175879396984924,0.06197654941373534,0.02512562814070352,0.03015075376884422,0.04355108877721943,0.07537688442211055,0.13400335008375208,0.04020100502512563,0.023450586264656615,0.1323283082077052
Paragvaj,0.023728813559322035,0.04745762711864407,0.020338983050847456,0.025423728813559324,0.03898305084745763,0.0711864406779661,0.13389830508474576,0.03559322033898305,0.025423728813559324,0.13050847457627118
Brazil,0.01867572156196944,0.05263157894736842,0.01697792869269949,0.02037351443123939,0.03904923599320883,0.05263157894736842,0.13752122241086587,0.027164685908319185,0.022071307300509338,0.12393887945670629
Afrika,0.025974025974025976,0.05380333951762523,0.016697588126159554,0.025974025974025976,0.03525046382189239,0.05380333951762523,0.14100185528756956,0.02411873840445269,0.025974025974025976,0.1261595547309833
Jordan,0.026402640264026403,0.06105610561056106,0.01485148514851485,0.0231023102310231,0.041254125412541254,0.066006600660066,0.1485148514851485,0.033003300330033,0.024752475247524754,0.132013201320132
Indonezija,0.02640845070422535,0.061619718309859156,0.02112676056338028,0.02464788732394366,0.03873239436619718,0.06338028169014084,0.1426056338028169,0.035211267605633804,0.022887323943661973,0.13732394366197184
Vijetnam,0.03135313531353135,0.057755775577557754,0.02145214521452145,0.028052805280528052,0.041254125412541254,0.07095709570957096,0.15016501650165018,0.0297029702970297,0.028052805280528052,0.14356435643564355
Pakistan,0.02982456140350877,0.05263157894736842,0.014035087719298246,0.02631578947368421,0.03508771929824561,0.06140350877192982,0.13508771929824562,0.03333333333333333,0.021052631578947368,0.12631578947368421
Rumunjska,0.029950083194675542,0.06156405990016639,0.02329450915141431,0.033277870216306155,0.04326123128119801,0.07820299500831947,0.15141430948419302,0.03993344425956739,0.02329450915141431,0.14143094841930118
Ekvador,0.02422145328719723,0.050173010380622836,0.01903114186851211,0.02249134948096886,0.03806228373702422,0.06401384083044982,0.1384083044982699,0.029411764705882353,0.025951557093425604,0.12802768166089964
Meksiko,0.023890784982935155,0.05802047781569966,0.013651877133105802,0.025597269624573378,0.042662116040955635,0.06484641638225255,0.1348122866894198,0.03583617747440273,0.020477815699658702,0.11604095563139932
