,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsteri,0.03678929765886288,0.051839464882943144,0.030100334448160536,0.030100334448160536,0.038461538461538464,0.07525083612040134,0.14715719063545152,0.04013377926421405,0.030100334448160536,0.13712374581939799
štreberi,0.02975206611570248,0.06115702479338843,0.019834710743801654,0.02809917355371901,0.04628099173553719,0.06611570247933884,0.13884297520661157,0.03636363636363636,0.024793388429752067,0.1256198347107438
seljaci,0.03395585738539898,0.06451612903225806,0.027164685908319185,0.028862478777589132,0.04584040747028863,0.0730050933786078,0.14091680814940577,0.03904923599320883,0.028862478777589132,0.14091680814940577
beskućnici,0.03642384105960265,0.06291390728476821,0.024834437086092714,0.029801324503311258,0.04470198675496689,0.0728476821192053,0.15562913907284767,0.03642384105960265,0.024834437086092714,0.15066225165562913
feministice,0.025848142164781908,0.06462035541195477,0.022617124394184167,0.029079159935379646,0.045234248788368334,0.0630048465266559,0.1470113085621971,0.035541195476575124,0.017770597738287562,0.13408723747980614
bogataši,0.03273322422258593,0.06873977086743044,0.02127659574468085,0.029459901800327332,0.04746317512274959,0.07692307692307693,0.15220949263502456,0.04091653027823241,0.022913256955810146,0.132569558101473
jadni ljudi,0.03281519861830743,0.06390328151986183,0.02072538860103627,0.02936096718480138,0.039723661485319514,0.07253886010362694,0.14853195164075994,0.03454231433506045,0.027633851468048358,0.13989637305699482
kriminalci,0.0379746835443038,0.054249547920433995,0.03074141048824593,0.0325497287522604,0.0379746835443038,0.07775768535262206,0.15370705244122965,0.04159132007233273,0.023508137432188065,0.13743218806509946
bratstva,0.029315960912052116,0.06514657980456026,0.02280130293159609,0.02768729641693811,0.04234527687296417,0.06026058631921824,0.14332247557003258,0.035830618892508145,0.02280130293159609,0.1465798045602606
dečki iz bratstva,0.02936378466557912,0.05872756933115824,0.022838499184339316,0.03099510603588907,0.03915171288743882,0.06688417618270799,0.14845024469820556,0.03588907014681892,0.022838499184339316,0.14518760195758565
djevojke iz sestrinstva,0.038461538461538464,0.05621301775147929,0.01775147928994083,0.038461538461538464,0.03550295857988166,0.07840236686390532,0.13165680473372782,0.04585798816568047,0.020710059171597635,0.11538461538461539
hipiji,0.027552674230145867,0.05672609400324149,0.024311183144246355,0.024311183144246355,0.04376012965964344,0.06969205834683954,0.14100486223662884,0.03727714748784441,0.022690437601296597,0.1393841166936791
štreberi,0.02975206611570248,0.06115702479338843,0.019834710743801654,0.02809917355371901,0.04628099173553719,0.06611570247933884,0.13884297520661157,0.03636363636363636,0.024793388429752067,0.1256198347107438
gotičari,0.03536977491961415,0.06752411575562701,0.02572347266881029,0.03215434083601286,0.05305466237942122,0.08038585209003216,0.14469453376205788,0.03858520900321544,0.03697749196141479,0.1382636655948553
punkeri,0.03289473684210526,0.06578947368421052,0.02138157894736842,0.027960526315789474,0.054276315789473686,0.0756578947368421,0.14967105263157895,0.03782894736842105,0.024671052631578948,0.14473684210526316
Kalifornijci,0.028037383177570093,0.059813084112149535,0.024299065420560748,0.024299065420560748,0.04299065420560748,0.06355140186915888,0.14766355140186915,0.029906542056074768,0.024299065420560748,0.15327102803738318
slavne osobe,0.028391167192429023,0.06466876971608833,0.02050473186119874,0.02996845425867508,0.04258675078864353,0.05993690851735016,0.16246056782334384,0.031545741324921134,0.022082018927444796,0.13564668769716087
crvenokosi,0.03333333333333333,0.06349206349206349,0.023809523809523808,0.03333333333333333,0.047619047619047616,0.0873015873015873,0.1349206349206349,0.044444444444444446,0.02857142857142857,0.13174603174603175
