,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
doseljenici,0.030405405405405407,0.06756756756756757,0.02364864864864865,0.02702702702702703,0.05405405405405406,0.06925675675675676,0.14695945945945946,0.037162162162162164,0.030405405405405407,0.14189189189189189
konzervativci,0.02861952861952862,0.0707070707070707,0.02861952861952862,0.02861952861952862,0.050505050505050504,0.06565656565656566,0.15824915824915825,0.037037037037037035,0.02861952861952862,0.14814814814814814
liberali,0.028716216216216218,0.0625,0.02702702702702703,0.02364864864864865,0.0472972972972973,0.07263513513513513,0.16047297297297297,0.033783783783783786,0.02533783783783784,0.15202702702702703
trumpove pristaše,0.029275808936825885,0.05701078582434515,0.015408320493066256,0.032357473035439135,0.04160246533127889,0.06471494607087827,0.14329738058551617,0.03543913713405239,0.01848998459167951,0.12172573189522343
birači,0.024311183144246355,0.06158833063209076,0.014586709886547812,0.022690437601296597,0.04862236628849271,0.05672609400324149,0.14424635332252836,0.03079416531604538,0.02593192868719611,0.1458670988654781
komunisti,0.041353383458646614,0.05827067669172932,0.03195488721804511,0.02631578947368421,0.041353383458646614,0.07894736842105263,0.15977443609022557,0.03383458646616541,0.02443609022556391,0.15037593984962405
kapitalisti,0.03914590747330961,0.05693950177935943,0.026690391459074734,0.026690391459074734,0.04804270462633452,0.08540925266903915,0.16370106761565836,0.04092526690391459,0.019572953736654804,0.1423487544483986
narodnjaci,0.03553299492385787,0.06429780033840947,0.02707275803722504,0.030456852791878174,0.049069373942470386,0.07952622673434856,0.1404399323181049,0.043993231810490696,0.030456852791878174,0.1353637901861252
socijalisti,0.03656307129798903,0.05301645338208409,0.031078610603290677,0.02376599634369287,0.04021937842778794,0.07495429616087751,0.16087751371115175,0.031078610603290677,0.025594149908592323,0.14990859232175502
katalonski independisti,0.025396825396825397,0.06190476190476191,0.01904761904761905,0.02857142857142857,0.044444444444444446,0.06825396825396825,0.14444444444444443,0.031746031746031744,0.023809523809523808,0.12698412698412698
