,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
studenti,0.030612244897959183,0.06292517006802721,0.017006802721088437,0.025510204081632654,0.04421768707482993,0.06292517006802721,0.15816326530612246,0.02891156462585034,0.023809523809523808,0.14625850340136054
političari,0.033962264150943396,0.05471698113207547,0.03018867924528302,0.02830188679245283,0.03962264150943396,0.07169811320754717,0.15660377358490565,0.035849056603773584,0.02830188679245283,0.1490566037735849
liječnici,0.03616636528028933,0.05244122965641953,0.02531645569620253,0.028933092224231464,0.03616636528028933,0.06329113924050633,0.1410488245931284,0.034358047016274866,0.027124773960216998,0.14466546112115733
poslovni ljudi,0.037267080745341616,0.062111801242236024,0.020186335403726708,0.03571428571428571,0.034161490683229816,0.08385093167701864,0.15372670807453417,0.03881987577639751,0.023291925465838508,0.13043478260869565
knjižničari,0.029876977152899824,0.05799648506151142,0.022847100175746926,0.02460456942003515,0.043936731107205626,0.061511423550087874,0.15289982425307558,0.028119507908611598,0.022847100175746926,0.14411247803163443
umjetnici,0.0351493848857645,0.054481546572934976,0.02460456942003515,0.026362038664323375,0.040421792618629174,0.06678383128295255,0.15114235500878734,0.029876977152899824,0.029876977152899824,0.13532513181019332
profesori,0.02640845070422535,0.061619718309859156,0.017605633802816902,0.022887323943661973,0.04929577464788732,0.056338028169014086,0.17253521126760563,0.02464788732394366,0.02112676056338028,0.1602112676056338
svećenici,0.03214285714285714,0.060714285714285714,0.026785714285714284,0.023214285714285715,0.039285714285714285,0.060714285714285714,0.15178571428571427,0.02142857142857143,0.02857142857142857,0.14285714285714285
šefovi,0.03298611111111111,0.057291666666666664,0.022569444444444444,0.026041666666666668,0.043402777777777776,0.057291666666666664,0.1527777777777778,0.026041666666666668,0.024305555555555556,0.15104166666666666
policajci,0.033210332103321034,0.04981549815498155,0.025830258302583026,0.027675276752767528,0.042435424354243544,0.06826568265682657,0.15129151291512916,0.03505535055350553,0.025830258302583026,0.13837638376383765
policajci,0.033210332103321034,0.04981549815498155,0.025830258302583026,0.027675276752767528,0.042435424354243544,0.06826568265682657,0.15129151291512916,0.03505535055350553,0.025830258302583026,0.13837638376383765
vojnici,0.043936731107205626,0.06502636203866433,0.02460456942003515,0.0351493848857645,0.03866432337434095,0.07381370826010544,0.15114235500878734,0.03690685413005272,0.028119507908611598,0.13708260105448156
znanstvenici,0.04189435336976321,0.056466302367941715,0.025500910746812388,0.025500910746812388,0.04189435336976321,0.06739526411657559,0.1657559198542805,0.023679417122040074,0.029143897996357013,0.151183970856102
liječnici,0.03616636528028933,0.05244122965641953,0.02531645569620253,0.028933092224231464,0.03616636528028933,0.06329113924050633,0.1410488245931284,0.034358047016274866,0.027124773960216998,0.14466546112115733
Blagajnici,0.02531645569620253,0.0650994575045208,0.0162748643761302,0.02531645569620253,0.05244122965641953,0.054249547920433995,0.15009041591320071,0.0325497287522604,0.028933092224231464,0.1518987341772152
domaćice,0.027777777777777776,0.06699346405228758,0.0196078431372549,0.029411764705882353,0.0457516339869281,0.05718954248366013,0.14705882352941177,0.032679738562091505,0.016339869281045753,0.1323529411764706
učitelji,0.028119507908611598,0.06678383128295255,0.015817223198594025,0.026362038664323375,0.0492091388400703,0.05799648506151142,0.1616871704745167,0.026362038664323375,0.02460456942003515,0.14938488576449913
domari,0.024671052631578948,0.054276315789473686,0.023026315789473683,0.024671052631578948,0.047697368421052634,0.06743421052631579,0.14967105263157895,0.03125,0.023026315789473683,0.13157894736842105
modeli,0.023809523809523808,0.06825396825396825,0.01746031746031746,0.022222222222222223,0.03650793650793651,0.05873015873015873,0.13968253968253969,0.03015873015873016,0.014285714285714285,0.11746031746031746
