,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Azijati,0.03156146179401993,0.06976744186046512,0.024916943521594685,0.03156146179401993,0.05647840531561462,0.0681063122923588,0.15780730897009967,0.03488372093023256,0.03156146179401993,0.15448504983388706
Amerikanci,0.027722772277227723,0.061386138613861385,0.02574257425742574,0.019801980198019802,0.04356435643564356,0.061386138613861385,0.15445544554455445,0.031683168316831684,0.027722772277227723,0.15643564356435644
Europljani,0.030965391621129327,0.0692167577413479,0.0273224043715847,0.023679417122040074,0.04918032786885246,0.06557377049180328,0.1493624772313297,0.030965391621129327,0.03460837887067395,0.14754098360655737
Židovi,0.038910505836575876,0.0622568093385214,0.033073929961089495,0.0311284046692607,0.04085603112840467,0.08560311284046693,0.14785992217898833,0.04085603112840467,0.033073929961089495,0.15369649805447472
Indijanci,0.03296703296703297,0.06043956043956044,0.027472527472527472,0.02564102564102564,0.047619047619047616,0.07692307692307693,0.15384615384615385,0.038461538461538464,0.029304029304029304,0.15384615384615385
Rusi,0.02952755905511811,0.0610236220472441,0.01968503937007874,0.023622047244094488,0.04330708661417323,0.06299212598425197,0.1515748031496063,0.031496062992125984,0.027559055118110236,0.14173228346456693
Afrikanci,0.023636363636363636,0.06,0.023636363636363636,0.02,0.045454545454545456,0.056363636363636366,0.14545454545454545,0.025454545454545455,0.025454545454545455,0.14909090909090908
Crnci,0.022413793103448276,0.0603448275862069,0.01896551724137931,0.020689655172413793,0.05,0.06206896551724138,0.14310344827586208,0.029310344827586206,0.027586206896551724,0.1413793103448276
Meksikanci,0.021937842778793418,0.0603290676416819,0.02010968921389397,0.018281535648994516,0.043875685557586835,0.062157221206581355,0.14442413162705667,0.025594149908592323,0.02376599634369287,0.1425959780621572
Bijelci,0.029684601113172542,0.06679035250463822,0.029684601113172542,0.025974025974025976,0.04823747680890538,0.0686456400742115,0.15398886827458255,0.03525046382189239,0.03525046382189239,0.15398886827458255
Crnci,0.022413793103448276,0.0603448275862069,0.01896551724137931,0.020689655172413793,0.05,0.06206896551724138,0.14310344827586208,0.029310344827586206,0.027586206896551724,0.1413793103448276
bijelci,0.028286189683860232,0.06988352745424292,0.028286189683860232,0.029950083194675542,0.048252911813643926,0.07321131447587355,0.14309484193011648,0.036605657237936774,0.03161397670549085,0.1480865224625624
Nijemci,0.03308823529411765,0.06985294117647059,0.03308823529411765,0.029411764705882353,0.04963235294117647,0.08455882352941177,0.15073529411764705,0.04411764705882353,0.03125,0.15257352941176472
plavuše,0.02511773940345369,0.06279434850863422,0.02040816326530612,0.02511773940345369,0.05180533751962323,0.06279434850863422,0.14442700156985872,0.03296703296703297,0.023547880690737835,0.13657770800627944
plavokose djevojke,0.03773584905660377,0.055152394775036286,0.018867924528301886,0.0420899854862119,0.03773584905660377,0.08127721335268505,0.12917271407837447,0.04499274310595065,0.02177068214804064,0.10595065312046444
Arapi,0.03415559772296015,0.06451612903225806,0.024667931688804556,0.020872865275142316,0.04743833017077799,0.07400379506641366,0.1461100569259962,0.036053130929791274,0.03225806451612903,0.15370018975332067
Bijeli Amerikanci,0.030303030303030304,0.0625,0.026515151515151516,0.028409090909090908,0.04924242424242424,0.07196969696969698,0.16477272727272727,0.03787878787878788,0.028409090909090908,0.16287878787878787
Crni Amerikanci,0.026717557251908396,0.05916030534351145,0.022900763358778626,0.02480916030534351,0.04770992366412214,0.06297709923664122,0.14694656488549618,0.03435114503816794,0.02862595419847328,0.15839694656488548
Hispanjolci,0.02348993288590604,0.06208053691275168,0.025167785234899327,0.026845637583892617,0.053691275167785234,0.0738255033557047,0.1493288590604027,0.03859060402684564,0.028523489932885907,0.15436241610738255
Američki domoroci,0.03225806451612903,0.06989247311827956,0.03225806451612903,0.026881720430107527,0.05017921146953405,0.07347670250896057,0.14874551971326164,0.04121863799283154,0.02867383512544803,0.14874551971326164
Crnci,0.022413793103448276,0.0603448275862069,0.01896551724137931,0.020689655172413793,0.05,0.06206896551724138,0.14310344827586208,0.029310344827586206,0.027586206896551724,0.1413793103448276
