,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Religiozni ljudi,0.03278688524590164,0.0692167577413479,0.020036429872495445,0.030965391621129327,0.04371584699453552,0.06739526411657559,0.15300546448087432,0.03825136612021858,0.030965391621129327,0.14754098360655737
Muslimani,0.029239766081871343,0.06237816764132553,0.023391812865497075,0.025341130604288498,0.04483430799220273,0.06627680311890838,0.15204678362573099,0.031189083820662766,0.029239766081871343,0.15204678362573099
Kršćani,0.032388663967611336,0.06477732793522267,0.02631578947368421,0.02631578947368421,0.04251012145748988,0.06882591093117409,0.1417004048582996,0.032388663967611336,0.030364372469635626,0.145748987854251
Hindusi,0.028119507908611598,0.06854130052724078,0.03163444639718805,0.02460456942003515,0.05272407732864675,0.06854130052724078,0.15641476274165203,0.03690685413005272,0.033391915641476276,0.15992970123022848
ateisti,0.03278688524590164,0.06557377049180328,0.022950819672131147,0.03278688524590164,0.04262295081967213,0.07377049180327869,0.14426229508196722,0.03770491803278689,0.027868852459016394,0.13278688524590163
Budisti,0.029565217391304348,0.06782608695652174,0.02608695652173913,0.03130434782608696,0.04695652173913043,0.07130434782608695,0.14782608695652175,0.034782608695652174,0.02608695652173913,0.15130434782608695
Katolici,0.034050179211469536,0.06272401433691756,0.02867383512544803,0.026881720430107527,0.043010752688172046,0.06630824372759857,0.14695340501792115,0.02867383512544803,0.02867383512544803,0.14336917562724014
Protestanti,0.030245746691871456,0.06049149338374291,0.026465028355387523,0.02835538752362949,0.043478260869565216,0.06049149338374291,0.14366729678638943,0.030245746691871456,0.02835538752362949,0.14177693761814744
Sikhi,0.02772963604852686,0.058925476603119586,0.02079722703639515,0.025996533795493933,0.04852686308492201,0.07105719237435008,0.1386481802426343,0.03292894280762565,0.025996533795493933,0.12478336221837089
Mormoni,0.02413793103448276,0.05,0.015517241379310345,0.022413793103448276,0.041379310344827586,0.06379310344827586,0.1413793103448276,0.029310344827586206,0.029310344827586206,0.12931034482758622
