,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
gay ljudi,0.03571428571428571,0.05194805194805195,0.02922077922077922,0.027597402597402596,0.02922077922077922,0.07467532467532467,0.1461038961038961,0.03571428571428571,0.025974025974025976,0.12337662337662338
lezbijke,0.02364864864864865,0.05912162162162162,0.018581081081081082,0.030405405405405407,0.04222972972972973,0.07094594594594594,0.14358108108108109,0.03885135135135135,0.02195945945945946,0.1266891891891892
queer ljudi,0.031818181818181815,0.06666666666666667,0.019696969696969695,0.02727272727272727,0.05,0.07575757575757576,0.1393939393939394,0.03939393939393939,0.024242424242424242,0.11060606060606061
transrodne osobe,0.03531300160513644,0.05778491171749599,0.02247191011235955,0.030497592295345103,0.038523274478330656,0.07704654895666131,0.14125200642054575,0.04012841091492777,0.02086677367576244,0.1332263242375602
homoseksualci,0.03304347826086956,0.057391304347826085,0.02782608695652174,0.02782608695652174,0.04173913043478261,0.06782608695652174,0.15478260869565216,0.03826086956521739,0.02434782608695652,0.13217391304347825
panseksualne osobe,0.03284072249589491,0.06568144499178982,0.022988505747126436,0.031198686371100164,0.042692939244663386,0.06568144499178982,0.1592775041050903,0.03776683087027915,0.021346469622331693,0.1444991789819376
pederi,0.028523489932885907,0.06208053691275168,0.02348993288590604,0.025167785234899327,0.05201342281879195,0.07046979865771812,0.1493288590604027,0.030201342281879196,0.025167785234899327,0.15268456375838926
pederi,0.028523489932885907,0.06208053691275168,0.02348993288590604,0.025167785234899327,0.05201342281879195,0.07046979865771812,0.1493288590604027,0.030201342281879196,0.025167785234899327,0.15268456375838926
biseksualne osobe,0.036303630363036306,0.0627062706270627,0.02145214521452145,0.03135313531353135,0.034653465346534656,0.06930693069306931,0.1485148514851485,0.036303630363036306,0.02145214521452145,0.1353135313531353
aseksualne osobe,0.030497592295345103,0.06420545746388442,0.02086677367576244,0.03210272873194221,0.04012841091492777,0.06420545746388442,0.15248796147672553,0.03531300160513644,0.02086677367576244,0.13162118780096307
crossdresserke,0.0344311377245509,0.061377245508982034,0.025449101796407185,0.02844311377245509,0.04491017964071856,0.07634730538922156,0.1497005988023952,0.03592814371257485,0.019461077844311378,0.13323353293413173
pederi,0.028523489932885907,0.06208053691275168,0.02348993288590604,0.025167785234899327,0.05201342281879195,0.07046979865771812,0.1493288590604027,0.030201342281879196,0.025167785234899327,0.15268456375838926
