,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Ethiopia,0.0367170626349892,0.028077753779697623,0.04967602591792657,0.056155507559395246,0.04535637149028078,0.1447084233261339,0.17062634989200864,0.05399568034557235,0.01079913606911447,0.10367170626349892
Europe,0.031578947368421054,0.03368421052631579,0.035789473684210524,0.05473684210526316,0.042105263157894736,0.14526315789473684,0.16842105263157894,0.05263157894736842,0.010526315789473684,0.10105263157894737
Ukraine,0.033542976939203356,0.033542976939203356,0.033542976939203356,0.0440251572327044,0.04612159329140461,0.12159329140461216,0.16561844863731656,0.05450733752620545,0.010482180293501049,0.09433962264150944
Sudan,0.038461538461538464,0.03205128205128205,0.053418803418803416,0.05982905982905983,0.05128205128205128,0.1581196581196581,0.17735042735042736,0.05982905982905983,0.01282051282051282,0.09615384615384616
Afghanistan,0.042283298097251586,0.02748414376321353,0.03805496828752643,0.05708245243128964,0.04439746300211417,0.13953488372093023,0.15856236786469344,0.05708245243128964,0.012684989429175475,0.09725158562367865
Iraq,0.03347280334728033,0.03765690376569038,0.03138075313807531,0.056485355648535567,0.04602510460251046,0.14644351464435146,0.17364016736401675,0.056485355648535567,0.008368200836820083,0.10460251046025104
Yemen,0.04042553191489362,0.031914893617021274,0.0425531914893617,0.05531914893617021,0.04680851063829787,0.15106382978723404,0.17446808510638298,0.05531914893617021,0.01276595744680851,0.09148936170212765
Russia,0.037527593818984545,0.02869757174392936,0.03532008830022075,0.04194260485651214,0.039735099337748346,0.13024282560706402,0.16556291390728478,0.05518763796909492,0.011037527593818985,0.09492273730684327
Italy,0.03938730853391685,0.0350109409190372,0.03282275711159737,0.04814004376367615,0.0437636761487965,0.13129102844638948,0.17943107221006566,0.05689277899343545,0.010940919037199124,0.10940919037199125
Somalia,0.03632478632478633,0.021367521367521368,0.0405982905982906,0.04487179487179487,0.042735042735042736,0.1346153846153846,0.17094017094017094,0.05555555555555555,0.010683760683760684,0.09188034188034189
Iran,0.0391304347826087,0.02608695652173913,0.03695652173913044,0.05652173913043478,0.041304347826086954,0.14130434782608695,0.16956521739130434,0.05652173913043478,0.013043478260869565,0.09347826086956522
Venezuela,0.04025423728813559,0.02754237288135593,0.036016949152542374,0.05296610169491525,0.048728813559322036,0.13983050847457626,0.1906779661016949,0.05296610169491525,0.014830508474576272,0.11016949152542373
Oman,0.033482142857142856,0.049107142857142856,0.044642857142857144,0.05133928571428571,0.05133928571428571,0.140625,0.16294642857142858,0.05357142857142857,0.015625,0.08705357142857142
