,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsters,0.03225806451612903,0.04086021505376344,0.04086021505376344,0.07096774193548387,0.03870967741935484,0.16129032258064516,0.17849462365591398,0.05806451612903226,0.015053763440860216,0.09462365591397849
nerds,0.03711340206185567,0.03711340206185567,0.05154639175257732,0.05979381443298969,0.04742268041237113,0.1463917525773196,0.15670103092783505,0.04742268041237113,0.010309278350515464,0.08041237113402062
rednecks,0.04516129032258064,0.04946236559139785,0.05806451612903226,0.05161290322580645,0.04946236559139785,0.13763440860215054,0.16989247311827957,0.04946236559139785,0.01935483870967742,0.0989247311827957
homeless people,0.03587443946188341,0.03811659192825112,0.03587443946188341,0.07623318385650224,0.04708520179372197,0.17040358744394618,0.17488789237668162,0.06053811659192825,0.011210762331838564,0.1031390134529148
feminists,0.030927835051546393,0.030927835051546393,0.04329896907216495,0.049484536082474224,0.05567010309278351,0.13814432989690723,0.16494845360824742,0.0577319587628866,0.016494845360824743,0.0865979381443299
rich people,0.03563941299790356,0.0440251572327044,0.03563941299790356,0.07337526205450734,0.05660377358490566,0.15723270440251572,0.1761006289308176,0.05450733752620545,0.016771488469601678,0.1090146750524109
poor people,0.036290322580645164,0.03225806451612903,0.04435483870967742,0.0625,0.046370967741935484,0.15524193548387097,0.15725806451612903,0.056451612903225805,0.016129032258064516,0.09879032258064516
criminals,0.0398406374501992,0.043824701195219126,0.043824701195219126,0.0697211155378486,0.05179282868525897,0.16334661354581673,0.16135458167330677,0.05776892430278884,0.017928286852589643,0.10159362549800798
frats,0.03643724696356275,0.03643724696356275,0.048582995951417005,0.044534412955465584,0.048582995951417005,0.13360323886639677,0.16396761133603238,0.04251012145748988,0.006072874493927126,0.09919028340080972
frat boys,0.034623217922606926,0.04073319755600815,0.048879837067209775,0.04684317718940937,0.059063136456211814,0.13034623217922606,0.17718940936863545,0.048879837067209775,0.012219959266802444,0.09164969450101833
sorority girls,0.03213610586011342,0.04158790170132325,0.04914933837429111,0.05860113421550094,0.052930056710775046,0.12476370510396975,0.1720226843100189,0.05671077504725898,0.015122873345935728,0.0888468809073724
hippies,0.038461538461538464,0.03619909502262444,0.03619909502262444,0.06334841628959276,0.04751131221719457,0.1583710407239819,0.17647058823529413,0.058823529411764705,0.01809954751131222,0.1085972850678733
geeks,0.035955056179775284,0.038202247191011236,0.04719101123595506,0.04719101123595506,0.04943820224719101,0.14157303370786517,0.16853932584269662,0.051685393258426963,0.01348314606741573,0.08764044943820225
goths,0.037698412698412696,0.041666666666666664,0.0496031746031746,0.057539682539682536,0.051587301587301584,0.1349206349206349,0.16071428571428573,0.047619047619047616,0.015873015873015872,0.08531746031746032
punks,0.04565217391304348,0.0391304347826087,0.041304347826086954,0.06956521739130435,0.04565217391304348,0.17173913043478262,0.16304347826086957,0.06086956521739131,0.017391304347826087,0.09782608695652174
Californians,0.03505154639175258,0.032989690721649485,0.032989690721649485,0.05567010309278351,0.041237113402061855,0.13814432989690723,0.1731958762886598,0.049484536082474224,0.016494845360824743,0.09690721649484536
celebrities,0.02434077079107505,0.04259634888438134,0.034482758620689655,0.07099391480730223,0.0486815415821501,0.14198782961460446,0.17038539553752535,0.05273833671399594,0.014198782961460446,0.1075050709939148
redheads,0.03411513859275053,0.04477611940298507,0.04477611940298507,0.042643923240938165,0.046908315565031986,0.1257995735607676,0.16204690831556504,0.0511727078891258,0.01279317697228145,0.10021321961620469
