,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Asians,0.034408602150537634,0.030107526881720432,0.03870967741935484,0.06451612903225806,0.04086021505376344,0.15483870967741936,0.16344086021505377,0.05591397849462366,0.015053763440860216,0.1032258064516129
Americans,0.03285420944558522,0.024640657084188913,0.03490759753593429,0.061601642710472276,0.03490759753593429,0.13963039014373715,0.17248459958932238,0.055441478439425054,0.014373716632443531,0.11088295687885011
Europeans,0.035940803382663845,0.023255813953488372,0.03805496828752643,0.05496828752642706,0.03382663847780127,0.1522198731501057,0.160676532769556,0.05496828752642706,0.014799154334038054,0.09936575052854123
Jews,0.03184713375796178,0.044585987261146494,0.04670912951167728,0.05732484076433121,0.05307855626326964,0.15286624203821655,0.1613588110403397,0.055201698513800426,0.012738853503184714,0.09766454352441614
Indians,0.039045553145336226,0.03036876355748373,0.039045553145336226,0.06073752711496746,0.04121475054229935,0.14099783080260303,0.16919739696312364,0.05639913232104121,0.01735357917570499,0.10629067245119306
Russians,0.03870967741935484,0.03225806451612903,0.03870967741935484,0.05161290322580645,0.04086021505376344,0.14193548387096774,0.16559139784946236,0.053763440860215055,0.012903225806451613,0.09462365591397849
Africans,0.0392156862745098,0.023965141612200435,0.0457516339869281,0.054466230936819175,0.0392156862745098,0.14596949891067537,0.1655773420479303,0.05664488017429194,0.013071895424836602,0.1111111111111111
Black people,0.03017241379310345,0.04310344827586207,0.036637931034482756,0.07327586206896551,0.05818965517241379,0.15517241379310345,0.17672413793103448,0.05387931034482758,0.01293103448275862,0.12284482758620689
Mexicans,0.04310344827586207,0.028017241379310345,0.04956896551724138,0.05387931034482758,0.034482758620689655,0.14870689655172414,0.17456896551724138,0.05603448275862069,0.017241379310344827,0.10129310344827586
Whites,0.038876889848812095,0.04103671706263499,0.047516198704103674,0.05183585313174946,0.04967602591792657,0.13606911447084233,0.16846652267818574,0.05183585313174946,0.01511879049676026,0.09287257019438445
Blacks,0.0405982905982906,0.03205128205128205,0.04700854700854701,0.05128205128205128,0.05128205128205128,0.13034188034188035,0.1794871794871795,0.049145299145299144,0.01282051282051282,0.10897435897435898
White people,0.039473684210526314,0.03508771929824561,0.039473684210526314,0.07456140350877193,0.043859649122807015,0.16447368421052633,0.16228070175438597,0.05921052631578947,0.017543859649122806,0.10964912280701754
Germans,0.03076923076923077,0.03296703296703297,0.046153846153846156,0.05274725274725275,0.04395604395604396,0.14065934065934066,0.17142857142857143,0.05274725274725275,0.015384615384615385,0.0967032967032967
blondes,0.04042553191489362,0.03404255319148936,0.05106382978723404,0.0574468085106383,0.04893617021276596,0.15319148936170213,0.17872340425531916,0.06382978723404255,0.01702127659574468,0.1
blonde girls,0.04251012145748988,0.032388663967611336,0.06477732793522267,0.06680161943319839,0.05465587044534413,0.1659919028340081,0.1659919028340081,0.058704453441295545,0.018218623481781375,0.09109311740890688
Arabs,0.03632478632478633,0.03205128205128205,0.05128205128205128,0.053418803418803416,0.05128205128205128,0.1452991452991453,0.17735042735042736,0.05555555555555555,0.017094017094017096,0.09829059829059829
White Americans,0.037037037037037035,0.030501089324618737,0.032679738562091505,0.0718954248366013,0.0392156862745098,0.1503267973856209,0.16775599128540306,0.05664488017429194,0.015250544662309368,0.11328976034858387
