,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Black people,0.03017241379310345,0.04310344827586207,0.036637931034482756,0.07327586206896551,0.05818965517241379,0.15517241379310345,0.17672413793103448,0.05387931034482758,0.01293103448275862,0.12284482758620689
Mexicans,0.04310344827586207,0.028017241379310345,0.04956896551724138,0.05387931034482758,0.034482758620689655,0.14870689655172414,0.17456896551724138,0.05603448275862069,0.017241379310344827,0.10129310344827586
Blacks,0.0405982905982906,0.03205128205128205,0.04700854700854701,0.05128205128205128,0.05128205128205128,0.13034188034188035,0.1794871794871795,0.049145299145299144,0.01282051282051282,0.10897435897435898
Arabs,0.03632478632478633,0.03205128205128205,0.05128205128205128,0.053418803418803416,0.05128205128205128,0.1452991452991453,0.17735042735042736,0.05555555555555555,0.017094017094017096,0.09829059829059829
Black men,0.0367170626349892,0.04103671706263499,0.047516198704103674,0.06047516198704104,0.05399568034557235,0.13606911447084233,0.183585313174946,0.06047516198704104,0.01511879049676026,0.1079913606911447
Asian women,0.03805496828752643,0.035940803382663845,0.046511627906976744,0.07610993657505286,0.0507399577167019,0.16279069767441862,0.1649048625792812,0.05708245243128964,0.014799154334038054,0.08668076109936575
Asian men,0.03112033195020747,0.03734439834024896,0.043568464730290454,0.06224066390041494,0.04564315352697095,0.14522821576763487,0.17219917012448133,0.056016597510373446,0.016597510373443983,0.1016597510373444
Black women,0.035269709543568464,0.04149377593360996,0.04564315352697095,0.07261410788381743,0.056016597510373446,0.15560165975103735,0.17219917012448133,0.058091286307053944,0.014522821576763486,0.1078838174273859
Indian men,0.04008438818565401,0.046413502109704644,0.0379746835443038,0.04852320675105485,0.05485232067510549,0.11814345991561181,0.18565400843881857,0.05063291139240506,0.016877637130801686,0.09915611814345991
Indian women,0.04025423728813559,0.03389830508474576,0.04449152542372881,0.07203389830508475,0.048728813559322036,0.16101694915254236,0.1694915254237288,0.059322033898305086,0.012711864406779662,0.08686440677966102
Chinese men,0.03260869565217391,0.04565217391304348,0.041304347826086954,0.041304347826086954,0.04565217391304348,0.11739130434782609,0.17173913043478262,0.05217391304347826,0.015217391304347827,0.09130434782608696
Chinese women,0.03171247357293869,0.04439746300211417,0.046511627906976744,0.0507399577167019,0.0507399577167019,0.14376321353065538,0.17758985200845667,0.05496828752642706,0.014799154334038054,0.09513742071881606
Latinas,0.037578288100208766,0.033402922755741124,0.03549060542797495,0.060542797494780795,0.04801670146137787,0.14613778705636743,0.17536534446764093,0.05636743215031315,0.016701461377870562,0.10438413361169102
Latinos,0.0371900826446281,0.03512396694214876,0.028925619834710745,0.05991735537190083,0.047520661157024795,0.14049586776859505,0.1756198347107438,0.05165289256198347,0.01859504132231405,0.10743801652892562
Black kids,0.030364372469635626,0.04251012145748988,0.0465587044534413,0.06477732793522267,0.05263157894736842,0.14979757085020243,0.17611336032388664,0.05263157894736842,0.01417004048582996,0.10526315789473684
African Americans,0.03303964757709251,0.024229074889867842,0.03303964757709251,0.06607929515418502,0.046255506607929514,0.13876651982378854,0.1762114537444934,0.05726872246696035,0.013215859030837005,0.1211453744493392
Afghans,0.04338394793926247,0.03470715835140998,0.04772234273318872,0.06073752711496746,0.04772234273318872,0.15835140997830802,0.1822125813449024,0.05639913232104121,0.019522776572668113,0.0911062906724512
Iraqis,0.04139433551198257,0.034858387799564274,0.034858387799564274,0.06100217864923747,0.05010893246187364,0.15250544662309368,0.17647058823529413,0.058823529411764705,0.013071895424836602,0.10021786492374728
Iranian people,0.03347280334728033,0.03556485355648536,0.0397489539748954,0.06694560669456066,0.04184100418410042,0.1694560669456067,0.17154811715481172,0.058577405857740586,0.014644351464435146,0.09205020920502092
Iranians,0.0367965367965368,0.032467532467532464,0.03463203463203463,0.06277056277056277,0.045454545454545456,0.15151515151515152,0.17316017316017315,0.05627705627705628,0.012987012987012988,0.09307359307359307
Syrians,0.038876889848812095,0.028077753779697623,0.04103671706263499,0.04967602591792657,0.04967602591792657,0.13390928725701945,0.16846652267818574,0.05183585313174946,0.012958963282937365,0.08855291576673865
Pakistanis,0.043859649122807015,0.02631578947368421,0.046052631578947366,0.05043859649122807,0.043859649122807015,0.14912280701754385,0.17324561403508773,0.05701754385964912,0.015350877192982455,0.09868421052631579
Romanians,0.04462474645030426,0.04056795131845842,0.05070993914807302,0.058823529411764705,0.05070993914807302,0.13793103448275862,0.1643002028397566,0.04259634888438134,0.02231237322515213,0.08316430020283976
Turkish people,0.04139433551198257,0.0392156862745098,0.037037037037037035,0.05228758169934641,0.04139433551198257,0.14814814814814814,0.16122004357298475,0.058823529411764705,0.013071895424836602,0.08061002178649238
Muslims,0.03296703296703297,0.03956043956043956,0.035164835164835165,0.07252747252747253,0.046153846153846156,0.15384615384615385,0.15604395604395604,0.05934065934065934,0.015384615384615385,0.11868131868131868
Mormons,0.040339702760084924,0.03821656050955414,0.044585987261146494,0.06157112526539278,0.04883227176220807,0.1613588110403397,0.16560509554140126,0.059447983014861996,0.012738853503184714,0.1040339702760085
immigrants,0.03368421052631579,0.03368421052631579,0.031578947368421054,0.06315789473684211,0.037894736842105266,0.14105263157894737,0.16,0.056842105263157895,0.010526315789473684,0.09894736842105263
gay people,0.035794183445190156,0.040268456375838924,0.040268456375838924,0.06935123042505593,0.05145413870246085,0.16554809843400448,0.16554809843400448,0.058165548098434,0.011185682326621925,0.09619686800894854
lesbians,0.03549060542797495,0.03549060542797495,0.04592901878914405,0.06471816283924843,0.04801670146137787,0.14822546972860126,0.17118997912317327,0.05845511482254697,0.014613778705636743,0.09812108559498957
queer people,0.03592814371257485,0.04790419161676647,0.0499001996007984,0.05588822355289421,0.04790419161676647,0.1277445109780439,0.17964071856287425,0.05588822355289421,0.015968063872255488,0.08582834331337326
homosexuals,0.035940803382663845,0.03805496828752643,0.046511627906976744,0.06553911205073996,0.048625792811839326,0.16279069767441862,0.15644820295983086,0.05919661733615222,0.014799154334038054,0.10359408033826638
faggots,0.04201680672268908,0.046218487394957986,0.05042016806722689,0.05672268907563025,0.0546218487394958,0.14705882352941177,0.15336134453781514,0.04831932773109244,0.01050420168067227,0.08403361344537816
